experiment_id	path	size_bytes	file_count	has_run_manifest	data_file_count	figure_file_count	figure_notes_count	latest_mtime_utc
1	outputs/experiments/001_landscape_numbering_smoke	165024	10	True	6	3	0	2026-05-28T09:55:59.299616+00:00
2	outputs/experiments/002_radius_grid2mm_probe	174879	10	True	6	3	0	2026-05-28T10:10:51.575192+00:00
3	outputs/experiments/003_radius_grid1mm_probe	177272	10	True	6	3	0	2026-05-28T10:13:57.175952+00:00
4	outputs/experiments/004_radius_subcell2mm_probe	175738	10	True	6	3	0	2026-05-28T10:35:39.717481+00:00
5	outputs/experiments/005_radius_subcell2mm_s9_probe	176152	10	True	6	3	0	2026-05-28T10:37:20.955629+00:00
6	outputs/experiments/006_radius_subcell2mm_s9_logsigma_probe	178202	10	True	6	3	0	2026-05-28T10:45:22.156196+00:00
7	outputs/experiments/007_single_rebar_grid1mm_cli_smoke	5219558	7	True	2	4	0	2026-05-28T10:55:09.267598+00:00
8	outputs/experiments/008_single_rebar_grid1mm_de_5src_60eval_bounded	5542106	7	True	2	4	0	2026-05-28T11:02:11.347092+00:00
9	outputs/experiments/009_single_rebar_grid1mm_powell_refine_from_2mm	5496973	7	True	2	4	0	2026-05-28T11:07:12.362234+00:00
10	outputs/experiments/010_radius_profile_grid1mm_5src_at_run009	73609	6	True	4	1	0	2026-05-28T11:25:31.699188+00:00
11	outputs/experiments/011_radius_profile_grid1mm_5src_run009x_truez	78093	6	True	4	1	0	2026-05-28T11:29:25.670919+00:00
12	outputs/experiments/012_z_radius_grid1mm_5src_run009x	148442	8	True	5	2	0	2026-05-28T11:45:42.637097+00:00
13	outputs/experiments/013_radius_profile_grid1mm_9src_at_run009	73634	6	True	4	1	0	2026-05-28T11:52:12.015024+00:00
14	outputs/experiments/014_single_rebar_grid1mm_gridpolish_from_run009	5497258	7	True	2	4	0	2026-05-28T12:09:20.097937+00:00
15	outputs/experiments/015_single_rebar_grid1mm_powell_gridpolish_from_2mm	5496099	7	True	2	4	0	2026-05-28T12:30:07.038529+00:00
16	outputs/experiments/016_single_rebar_grid1mm_gridpolish_earlystop_from_run009	5440537	7	True	2	4	0	2026-05-28T12:31:57.003554+00:00
17	outputs/experiments/017_single_rebar_grid1mm_noise01_gridpolish	5657621	7	True	2	4	0	2026-05-28T13:04:54.366183+00:00
18	outputs/experiments/018_single_rebar_grid1mm_noise05_gridpolish	5658445	7	True	2	4	0	2026-05-28T13:24:24.217055+00:00
