run,slug,path,reference_file_count,reference_files,safe_move_requirement
537,marathon_checkpoint_reporting_handoff,outputs/experiments/537_marathon_checkpoint_reporting_handoff,3,docs/experiments/70_marathon_checkpoint_reporting_handoff.md|outputs/experiments/538_current_evidence_synthesis/run_manifest.json|outputs/experiments/537_marathon_checkpoint_reporting_handoff/run_manifest.json,move directory then create compatibility symlink at original outputs/experiments path
550,archive_status_checkpoint,outputs/experiments/550_archive_status_checkpoint,8,docs/experiments/83_archive_status_checkpoint.md|docs/experiments/84_commit_archive_inventory.md|outputs/experiments/551_commit_archive_inventory/run_manifest.json|outputs/experiments/553_post_hardening_resume_checkpoint/README.md|outputs/experiments/550_archive_status_checkpoint/run_manifest.json|outputs/experiments/554_report_dependency_size_audit/data/report_dependency_size_audit.json|outputs/experiments/554_report_dependency_size_audit/data/report_dependency_size_audit.csv|outputs/experiments/555_report_dependency_archive/data/archive_file_list.txt,move directory then create compatibility symlink at original outputs/experiments path
551,commit_archive_inventory,outputs/experiments/551_commit_archive_inventory,13,docs/experiments/84_commit_archive_inventory.md|outputs/experiments/570_commit_pr_summary_refresh/run_manifest.json|outputs/experiments/557_commit_pr_summary_draft/run_manifest.json|outputs/experiments/569_next_action_queue_post_polish/next_action_queue.md|outputs/experiments/569_next_action_queue_post_polish/run_manifest.json|outputs/experiments/551_commit_archive_inventory/run_manifest.json|outputs/experiments/553_post_hardening_resume_checkpoint/README.md|outputs/experiments/558_next_action_queue/next_action_queue.md|outputs/experiments/566_next_action_queue_manuscript_refresh/next_action_queue.md|outputs/experiments/561_next_action_queue_refresh/next_action_queue.md|outputs/experiments/554_report_dependency_size_audit/data/report_dependency_size_audit.json|outputs/experiments/554_report_dependency_size_audit/data/report_dependency_size_audit.csv|outputs/experiments/555_report_dependency_archive/data/archive_file_list.txt,move directory then create compatibility symlink at original outputs/experiments path
553,post_hardening_resume_checkpoint,outputs/experiments/553_post_hardening_resume_checkpoint,6,docs/experiments/86_post_hardening_resume_checkpoint.md|outputs/experiments/554_report_dependency_size_audit/run_manifest.json|outputs/experiments/553_post_hardening_resume_checkpoint/run_manifest.json|outputs/experiments/554_report_dependency_size_audit/data/report_dependency_size_audit.json|outputs/experiments/554_report_dependency_size_audit/data/report_dependency_size_audit.csv|outputs/experiments/555_report_dependency_archive/data/archive_file_list.txt,move directory then create compatibility symlink at original outputs/experiments path
556,post_archive_resume_checkpoint,outputs/experiments/556_post_archive_resume_checkpoint,8,docs/experiments/89_post_archive_resume_checkpoint.md|outputs/experiments/557_commit_pr_summary_draft/commit_pr_summary.md|outputs/experiments/557_commit_pr_summary_draft/run_manifest.json|outputs/experiments/556_post_archive_resume_checkpoint/run_manifest.json|outputs/experiments/558_next_action_queue/run_manifest.json|outputs/experiments/559_final_report_reproducibility_refresh/README.md|outputs/experiments/559_final_report_reproducibility_refresh/final_report_revised.md|outputs/experiments/559_final_report_reproducibility_refresh/run_manifest.json,move directory then create compatibility symlink at original outputs/experiments path
557,commit_pr_summary_draft,outputs/experiments/557_commit_pr_summary_draft,9,docs/experiments/90_commit_pr_summary_draft.md|outputs/experiments/570_commit_pr_summary_refresh/run_manifest.json|outputs/experiments/557_commit_pr_summary_draft/run_manifest.json|outputs/experiments/569_next_action_queue_post_polish/next_action_queue.md|outputs/experiments/569_next_action_queue_post_polish/run_manifest.json|outputs/experiments/558_next_action_queue/next_action_queue.md|outputs/experiments/558_next_action_queue/run_manifest.json|outputs/experiments/566_next_action_queue_manuscript_refresh/next_action_queue.md|outputs/experiments/561_next_action_queue_refresh/next_action_queue.md,move directory then create compatibility symlink at original outputs/experiments path
558,next_action_queue,outputs/experiments/558_next_action_queue,4,docs/experiments/91_next_action_queue.md|docs/experiments/94_next_action_queue_refresh.md|outputs/experiments/558_next_action_queue/run_manifest.json|outputs/experiments/561_next_action_queue_refresh/run_manifest.json,move directory then create compatibility symlink at original outputs/experiments path
561,next_action_queue_refresh,outputs/experiments/561_next_action_queue_refresh,7,docs/experiments/99_next_action_queue_manuscript_refresh.md|docs/experiments/94_next_action_queue_refresh.md|outputs/experiments/562_imrad_manuscript_draft/run_manifest.json|outputs/experiments/566_next_action_queue_manuscript_refresh/run_manifest.json|outputs/experiments/561_next_action_queue_refresh/run_manifest.json|outputs/experiments/564_post_imrad_resume_checkpoint/README.md|outputs/experiments/564_post_imrad_resume_checkpoint/run_manifest.json,move directory then create compatibility symlink at original outputs/experiments path
564,post_imrad_resume_checkpoint,outputs/experiments/564_post_imrad_resume_checkpoint,2,docs/experiments/97_post_imrad_resume_checkpoint.md|outputs/experiments/564_post_imrad_resume_checkpoint/run_manifest.json,move directory then create compatibility symlink at original outputs/experiments path
566,next_action_queue_manuscript_refresh,outputs/experiments/566_next_action_queue_manuscript_refresh,3,docs/experiments/99_next_action_queue_manuscript_refresh.md|docs/experiments/102_next_action_queue_post_polish.md|outputs/experiments/566_next_action_queue_manuscript_refresh/run_manifest.json,move directory then create compatibility symlink at original outputs/experiments path
568,post_manuscript_polish_checkpoint,outputs/experiments/568_post_manuscript_polish_checkpoint,7,docs/experiments/101_post_manuscript_polish_checkpoint.md|outputs/experiments/570_commit_pr_summary_refresh/run_manifest.json|outputs/experiments/570_commit_pr_summary_refresh/commit_pr_summary_refresh.md|outputs/experiments/569_next_action_queue_post_polish/README.md|outputs/experiments/569_next_action_queue_post_polish/run_manifest.json|outputs/experiments/568_post_manuscript_polish_checkpoint/run_manifest.json|outputs/experiments/572_commit_pr_summary_post_hardening/commit_pr_summary_post_hardening.md,move directory then create compatibility symlink at original outputs/experiments path
569,next_action_queue_post_polish,outputs/experiments/569_next_action_queue_post_polish,6,docs/experiments/107_next_action_queue_post_hardening.md|docs/experiments/102_next_action_queue_post_polish.md|outputs/experiments/570_commit_pr_summary_refresh/run_manifest.json|outputs/experiments/570_commit_pr_summary_refresh/commit_pr_summary_refresh.md|outputs/experiments/569_next_action_queue_post_polish/run_manifest.json|outputs/experiments/572_commit_pr_summary_post_hardening/commit_pr_summary_post_hardening.md,move directory then create compatibility symlink at original outputs/experiments path
570,commit_pr_summary_refresh,outputs/experiments/570_commit_pr_summary_refresh,3,docs/experiments/103_commit_pr_summary_refresh.md|outputs/experiments/570_commit_pr_summary_refresh/run_manifest.json|outputs/experiments/572_commit_pr_summary_post_hardening/run_manifest.json,move directory then create compatibility symlink at original outputs/experiments path
572,commit_pr_summary_post_hardening,outputs/experiments/572_commit_pr_summary_post_hardening,11,docs/experiments/105_commit_pr_summary_post_hardening.md|outputs/experiments/577_commit_pr_summary_current_refresh/run_manifest.json|outputs/experiments/576_next_action_queue_manuscript_validation_refresh/next_action_queue.md|outputs/experiments/576_next_action_queue_manuscript_validation_refresh/README.md|outputs/experiments/576_next_action_queue_manuscript_validation_refresh/run_manifest.json|outputs/experiments/574_next_action_queue_post_hardening/next_action_queue.md|outputs/experiments/574_next_action_queue_post_hardening/README.md|outputs/experiments/574_next_action_queue_post_hardening/run_manifest.json|outputs/experiments/572_commit_pr_summary_post_hardening/run_manifest.json|outputs/experiments/573_post_hardening_resume_checkpoint/README.md|outputs/experiments/573_post_hardening_resume_checkpoint/run_manifest.json,move directory then create compatibility symlink at original outputs/experiments path
573,post_hardening_resume_checkpoint,outputs/experiments/573_post_hardening_resume_checkpoint,13,docs/experiments/106_post_hardening_resume_checkpoint.md|outputs/experiments/577_commit_pr_summary_current_refresh/commit_pr_summary_current_refresh.md|outputs/experiments/576_next_action_queue_manuscript_validation_refresh/README.md|outputs/experiments/576_next_action_queue_manuscript_validation_refresh/run_manifest.json|outputs/experiments/574_next_action_queue_post_hardening/README.md|outputs/experiments/574_next_action_queue_post_hardening/run_manifest.json|outputs/experiments/586_commit_pr_summary_sparse_hardening_refresh/commit_pr_summary_sparse_hardening_refresh.md|outputs/experiments/575_imrad_manuscript_validation_refresh/run_manifest.json|outputs/experiments/573_post_hardening_resume_checkpoint/run_manifest.json|outputs/experiments/578_next_action_queue_commit_summary_refresh/run_manifest.json|outputs/experiments/580_current_handoff_archive/data/current_handoff_archive_file_list.txt|outputs/experiments/579_current_handoff_archive_size_audit/data/current_handoff_archive_file_list.txt|outputs/experiments/579_current_handoff_archive_size_audit/data/current_handoff_archive_size_audit.json,move directory then create compatibility symlink at original outputs/experiments path
574,next_action_queue_post_hardening,outputs/experiments/574_next_action_queue_post_hardening,3,docs/experiments/107_next_action_queue_post_hardening.md|docs/experiments/109_next_action_queue_manuscript_validation_refresh.md|outputs/experiments/574_next_action_queue_post_hardening/run_manifest.json,move directory then create compatibility symlink at original outputs/experiments path
