doc,slug,path,word_count,line_count,bucket,proposed_action
100,manuscript_guardrail_prose_polish,docs/experiments/100_manuscript_guardrail_prose_polish.md,121,52,keep_report_dev_or_analysis,append_verbatim_to_report_dev_tracker_bundle_review_first
101,post_manuscript_polish_checkpoint,docs/experiments/101_post_manuscript_polish_checkpoint.md,160,60,relocate_or_consolidate_admin_churn,append_verbatim_to_admin_tracker_bundle_then_replace_with_stub_or_index_link
102,next_action_queue_post_polish,docs/experiments/102_next_action_queue_post_polish.md,120,43,relocate_or_consolidate_admin_churn,append_verbatim_to_admin_tracker_bundle_then_replace_with_stub_or_index_link
103,commit_pr_summary_refresh,docs/experiments/103_commit_pr_summary_refresh.md,139,51,relocate_or_consolidate_admin_churn,append_verbatim_to_admin_tracker_bundle_then_replace_with_stub_or_index_link
104,coordinate_aggregate_note_hardening,docs/experiments/104_coordinate_aggregate_note_hardening.md,129,52,keep_report_dev_or_analysis,append_verbatim_to_report_dev_tracker_bundle_review_first
105,commit_pr_summary_post_hardening,docs/experiments/105_commit_pr_summary_post_hardening.md,124,50,relocate_or_consolidate_admin_churn,append_verbatim_to_admin_tracker_bundle_then_replace_with_stub_or_index_link
106,post_hardening_resume_checkpoint,docs/experiments/106_post_hardening_resume_checkpoint.md,151,57,relocate_or_consolidate_admin_churn,append_verbatim_to_admin_tracker_bundle_then_replace_with_stub_or_index_link
107,next_action_queue_post_hardening,docs/experiments/107_next_action_queue_post_hardening.md,121,49,relocate_or_consolidate_admin_churn,append_verbatim_to_admin_tracker_bundle_then_replace_with_stub_or_index_link
108,imrad_manuscript_validation_refresh,docs/experiments/108_imrad_manuscript_validation_refresh.md,145,56,keep_report_dev_or_analysis,append_verbatim_to_report_dev_tracker_bundle_review_first
109,next_action_queue_manuscript_validation_refresh,docs/experiments/109_next_action_queue_manuscript_validation_refresh.md,121,49,relocate_or_consolidate_admin_churn,append_verbatim_to_admin_tracker_bundle_then_replace_with_stub_or_index_link
110,commit_pr_summary_current_refresh,docs/experiments/110_commit_pr_summary_current_refresh.md,165,54,relocate_or_consolidate_admin_churn,append_verbatim_to_admin_tracker_bundle_then_replace_with_stub_or_index_link
111,next_action_queue_commit_summary_refresh,docs/experiments/111_next_action_queue_commit_summary_refresh.md,123,49,relocate_or_consolidate_admin_churn,append_verbatim_to_admin_tracker_bundle_then_replace_with_stub_or_index_link
112,current_handoff_archive_size_audit,docs/experiments/112_current_handoff_archive_size_audit.md,159,56,relocate_or_consolidate_admin_churn,append_verbatim_to_admin_tracker_bundle_then_replace_with_stub_or_index_link
113,current_handoff_archive,docs/experiments/113_current_handoff_archive.md,118,52,relocate_or_consolidate_admin_churn,append_verbatim_to_admin_tracker_bundle_then_replace_with_stub_or_index_link
