branch_key,seed,case_label,case_variant,source_optimizer_run_name,target_index,backend,gpu_allowed,max_parallel_processes,grid_step_mm,scan_step_mm,sources,tx_rx_offset_mm,receiver_sampling,frequency_ghz,truth_x_values_mm,truth_z_values_mm,truth_radius_values_mm,frequency_scale,time_shift_ps,amplitude_scale,noise_fraction,noise_seed,detector_x_values_mm,detector_z_values_mm,detector_time_offset_ps_values,top_k,detector_min_separation_mm,truth_tolerance_mm,run_name,status,skip_existing,existing_output_dir,command_text,comparison_question
target2_close14,13,noise15p361328125_seed13,nominal,coordinate_optimizer_close14_seed13_sources5_txrx45_noise15p361328125_objectives,2,cpu,False,1,1.0,8.0,5,45.0,nearest,1.5,"190,250,264","90,90,90","5,6,8",1.0,0.0,1.0,0.15361328125,13,180:274:1,75:110:1,"500,550,600,650,667,700,750",20,4.0,8.0,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,existing,True,outputs/experiments/1326_local2d_detector_baseline_target2_close14_seed13_nominal_cpu,"conda run -n gpr-fdtd-fwi python run_rebar_detection_pipeline.py --backend cpu --grid-step-mm 1 --scan-step-mm 8 --sources 5 --tx-rx-offset-mm 45 --receiver-sampling nearest --frequency-ghz 1.5 --truth-x-values-mm 190,250,264 --truth-z-values-mm 90,90,90 --truth-radius-values-mm 5,6,8 --frequency-scale 1 --time-shift-ps 0 --amplitude-scale 1 --noise-fraction 0.153613 --noise-seed 13 --detector-x-values-mm 180:274:1 --detector-z-values-mm 75:110:1 --detector-time-offset-ps-values 500,550,600,650,667,700,750 --top-k 20 --x-min-separation-mm 4 --z-min-separation-mm 4 --window-half-x-mm 16 --window-half-z-mm 16 --truth-tolerance-x-mm 8 --truth-tolerance-z-mm 8 --background-mode median --geometry-mode hard --run-name local2d_detector_baseline_target2_close14_seed13_nominal_cpu","Does the detector/database baseline merge the close14 250/264 mm pair, or can it separate the image cues while FWI remains objective-ambiguous?"
target2_close14,13,source_mismatch_noise15p361328125_seed13,source_mismatch,coordinate_optimizer_close14_seed13_sources5_txrx45_noise15p361328125_objectives,2,cpu,False,1,1.0,8.0,5,45.0,nearest,1.5,"190,250,264","90,90,90","5,6,8",1.1,-50.0,1.1,0.15361328125,13,180:274:1,75:110:1,"500,550,600,650,667,700,750",20,4.0,8.0,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,existing,True,outputs/experiments/1327_local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,"conda run -n gpr-fdtd-fwi python run_rebar_detection_pipeline.py --backend cpu --grid-step-mm 1 --scan-step-mm 8 --sources 5 --tx-rx-offset-mm 45 --receiver-sampling nearest --frequency-ghz 1.5 --truth-x-values-mm 190,250,264 --truth-z-values-mm 90,90,90 --truth-radius-values-mm 5,6,8 --frequency-scale 1.1 --time-shift-ps -50 --amplitude-scale 1.1 --noise-fraction 0.153613 --noise-seed 13 --detector-x-values-mm 180:274:1 --detector-z-values-mm 75:110:1 --detector-time-offset-ps-values 500,550,600,650,667,700,750 --top-k 20 --x-min-separation-mm 4 --z-min-separation-mm 4 --window-half-x-mm 16 --window-half-z-mm 16 --truth-tolerance-x-mm 8 --truth-tolerance-z-mm 8 --background-mode median --geometry-mode hard --run-name local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu","Does the detector/database baseline merge the close14 250/264 mm pair, or can it separate the image cues while FWI remains objective-ambiguous?"
target2_close14,21,noise15p361328125_seed21,nominal,coordinate_optimizer_close14_seed21_sources5_txrx45_noise15p361328125_objectives,2,cpu,False,1,1.0,8.0,5,45.0,nearest,1.5,"190,250,264","90,90,90","5,6,8",1.0,0.0,1.0,0.15361328125,21,180:274:1,75:110:1,"500,550,600,650,667,700,750",20,4.0,8.0,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,existing,True,outputs/experiments/1328_local2d_detector_baseline_target2_close14_seed21_nominal_cpu,"conda run -n gpr-fdtd-fwi python run_rebar_detection_pipeline.py --backend cpu --grid-step-mm 1 --scan-step-mm 8 --sources 5 --tx-rx-offset-mm 45 --receiver-sampling nearest --frequency-ghz 1.5 --truth-x-values-mm 190,250,264 --truth-z-values-mm 90,90,90 --truth-radius-values-mm 5,6,8 --frequency-scale 1 --time-shift-ps 0 --amplitude-scale 1 --noise-fraction 0.153613 --noise-seed 21 --detector-x-values-mm 180:274:1 --detector-z-values-mm 75:110:1 --detector-time-offset-ps-values 500,550,600,650,667,700,750 --top-k 20 --x-min-separation-mm 4 --z-min-separation-mm 4 --window-half-x-mm 16 --window-half-z-mm 16 --truth-tolerance-x-mm 8 --truth-tolerance-z-mm 8 --background-mode median --geometry-mode hard --run-name local2d_detector_baseline_target2_close14_seed21_nominal_cpu","Does the detector/database baseline merge the close14 250/264 mm pair, or can it separate the image cues while FWI remains objective-ambiguous?"
target2_close14,21,source_mismatch_noise15p361328125_seed21,source_mismatch,coordinate_optimizer_close14_seed21_sources5_txrx45_noise15p361328125_objectives,2,cpu,False,1,1.0,8.0,5,45.0,nearest,1.5,"190,250,264","90,90,90","5,6,8",1.1,-50.0,1.1,0.15361328125,21,180:274:1,75:110:1,"500,550,600,650,667,700,750",20,4.0,8.0,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,existing,True,outputs/experiments/1329_local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,"conda run -n gpr-fdtd-fwi python run_rebar_detection_pipeline.py --backend cpu --grid-step-mm 1 --scan-step-mm 8 --sources 5 --tx-rx-offset-mm 45 --receiver-sampling nearest --frequency-ghz 1.5 --truth-x-values-mm 190,250,264 --truth-z-values-mm 90,90,90 --truth-radius-values-mm 5,6,8 --frequency-scale 1.1 --time-shift-ps -50 --amplitude-scale 1.1 --noise-fraction 0.153613 --noise-seed 21 --detector-x-values-mm 180:274:1 --detector-z-values-mm 75:110:1 --detector-time-offset-ps-values 500,550,600,650,667,700,750 --top-k 20 --x-min-separation-mm 4 --z-min-separation-mm 4 --window-half-x-mm 16 --window-half-z-mm 16 --truth-tolerance-x-mm 8 --truth-tolerance-z-mm 8 --background-mode median --geometry-mode hard --run-name local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu","Does the detector/database baseline merge the close14 250/264 mm pair, or can it separate the image cues while FWI remains objective-ambiguous?"
target2_close14,34,noise15p361328125_seed34,nominal,coordinate_optimizer_close14_seed34_sources5_txrx45_noise15p361328125_objectives,2,cpu,False,1,1.0,8.0,5,45.0,nearest,1.5,"190,250,264","90,90,90","5,6,8",1.0,0.0,1.0,0.15361328125,34,180:274:1,75:110:1,"500,550,600,650,667,700,750",20,4.0,8.0,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,existing,True,outputs/experiments/1330_local2d_detector_baseline_target2_close14_seed34_nominal_cpu,"conda run -n gpr-fdtd-fwi python run_rebar_detection_pipeline.py --backend cpu --grid-step-mm 1 --scan-step-mm 8 --sources 5 --tx-rx-offset-mm 45 --receiver-sampling nearest --frequency-ghz 1.5 --truth-x-values-mm 190,250,264 --truth-z-values-mm 90,90,90 --truth-radius-values-mm 5,6,8 --frequency-scale 1 --time-shift-ps 0 --amplitude-scale 1 --noise-fraction 0.153613 --noise-seed 34 --detector-x-values-mm 180:274:1 --detector-z-values-mm 75:110:1 --detector-time-offset-ps-values 500,550,600,650,667,700,750 --top-k 20 --x-min-separation-mm 4 --z-min-separation-mm 4 --window-half-x-mm 16 --window-half-z-mm 16 --truth-tolerance-x-mm 8 --truth-tolerance-z-mm 8 --background-mode median --geometry-mode hard --run-name local2d_detector_baseline_target2_close14_seed34_nominal_cpu","Does the detector/database baseline merge the close14 250/264 mm pair, or can it separate the image cues while FWI remains objective-ambiguous?"
target2_close14,34,source_mismatch_noise15p361328125_seed34,source_mismatch,coordinate_optimizer_close14_seed34_sources5_txrx45_noise15p361328125_objectives,2,cpu,False,1,1.0,8.0,5,45.0,nearest,1.5,"190,250,264","90,90,90","5,6,8",1.1,-50.0,1.1,0.15361328125,34,180:274:1,75:110:1,"500,550,600,650,667,700,750",20,4.0,8.0,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,existing,True,outputs/experiments/1331_local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,"conda run -n gpr-fdtd-fwi python run_rebar_detection_pipeline.py --backend cpu --grid-step-mm 1 --scan-step-mm 8 --sources 5 --tx-rx-offset-mm 45 --receiver-sampling nearest --frequency-ghz 1.5 --truth-x-values-mm 190,250,264 --truth-z-values-mm 90,90,90 --truth-radius-values-mm 5,6,8 --frequency-scale 1.1 --time-shift-ps -50 --amplitude-scale 1.1 --noise-fraction 0.153613 --noise-seed 34 --detector-x-values-mm 180:274:1 --detector-z-values-mm 75:110:1 --detector-time-offset-ps-values 500,550,600,650,667,700,750 --top-k 20 --x-min-separation-mm 4 --z-min-separation-mm 4 --window-half-x-mm 16 --window-half-z-mm 16 --truth-tolerance-x-mm 8 --truth-tolerance-z-mm 8 --background-mode median --geometry-mode hard --run-name local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu","Does the detector/database baseline merge the close14 250/264 mm pair, or can it separate the image cues while FWI remains objective-ambiguous?"
target2_close50_linear29p5,13,noise10_seed13,nominal,coordinate_optimizer_close50_seed13_sources4_txrx29p5_linear_receiver_objectives,2,cpu,False,1,1.0,8.0,4,29.5,linear,1.5,"190,250,300","90,90,90","5,6,8",1.0,0.0,1.0,0.1,13,180:310:1,75:110:1,"500,550,600,650,667,700,750",20,4.0,8.0,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,existing,True,outputs/experiments/1332_local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,"conda run -n gpr-fdtd-fwi python run_rebar_detection_pipeline.py --backend cpu --grid-step-mm 1 --scan-step-mm 8 --sources 4 --tx-rx-offset-mm 29.5 --receiver-sampling linear --frequency-ghz 1.5 --truth-x-values-mm 190,250,300 --truth-z-values-mm 90,90,90 --truth-radius-values-mm 5,6,8 --frequency-scale 1 --time-shift-ps 0 --amplitude-scale 1 --noise-fraction 0.1 --noise-seed 13 --detector-x-values-mm 180:310:1 --detector-z-values-mm 75:110:1 --detector-time-offset-ps-values 500,550,600,650,667,700,750 --top-k 20 --x-min-separation-mm 4 --z-min-separation-mm 4 --window-half-x-mm 16 --window-half-z-mm 16 --truth-tolerance-x-mm 8 --truth-tolerance-z-mm 8 --background-mode median --geometry-mode hard --run-name local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu","Does detector-only ambiguity track the seed13 x-ambiguity caveat, or is the 29.5 mm issue specific to the waveform objective?"
target2_close50_linear29p5,13,source_mismatch_noise10_seed13,source_mismatch,coordinate_optimizer_close50_seed13_sources4_txrx29p5_linear_receiver_objectives,2,cpu,False,1,1.0,8.0,4,29.5,linear,1.5,"190,250,300","90,90,90","5,6,8",1.1,-50.0,1.1,0.1,13,180:310:1,75:110:1,"500,550,600,650,667,700,750",20,4.0,8.0,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,existing,True,outputs/experiments/1333_local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,"conda run -n gpr-fdtd-fwi python run_rebar_detection_pipeline.py --backend cpu --grid-step-mm 1 --scan-step-mm 8 --sources 4 --tx-rx-offset-mm 29.5 --receiver-sampling linear --frequency-ghz 1.5 --truth-x-values-mm 190,250,300 --truth-z-values-mm 90,90,90 --truth-radius-values-mm 5,6,8 --frequency-scale 1.1 --time-shift-ps -50 --amplitude-scale 1.1 --noise-fraction 0.1 --noise-seed 13 --detector-x-values-mm 180:310:1 --detector-z-values-mm 75:110:1 --detector-time-offset-ps-values 500,550,600,650,667,700,750 --top-k 20 --x-min-separation-mm 4 --z-min-separation-mm 4 --window-half-x-mm 16 --window-half-z-mm 16 --truth-tolerance-x-mm 8 --truth-tolerance-z-mm 8 --background-mode median --geometry-mode hard --run-name local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu","Does detector-only ambiguity track the seed13 x-ambiguity caveat, or is the 29.5 mm issue specific to the waveform objective?"
target2_close50_linear29p5,21,noise10_seed21,nominal,coordinate_optimizer_close50_seed21_sources4_txrx29p5_linear_receiver_objectives,2,cpu,False,1,1.0,8.0,4,29.5,linear,1.5,"190,250,300","90,90,90","5,6,8",1.0,0.0,1.0,0.1,21,180:310:1,75:110:1,"500,550,600,650,667,700,750",20,4.0,8.0,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,existing,True,outputs/experiments/1334_local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,"conda run -n gpr-fdtd-fwi python run_rebar_detection_pipeline.py --backend cpu --grid-step-mm 1 --scan-step-mm 8 --sources 4 --tx-rx-offset-mm 29.5 --receiver-sampling linear --frequency-ghz 1.5 --truth-x-values-mm 190,250,300 --truth-z-values-mm 90,90,90 --truth-radius-values-mm 5,6,8 --frequency-scale 1 --time-shift-ps 0 --amplitude-scale 1 --noise-fraction 0.1 --noise-seed 21 --detector-x-values-mm 180:310:1 --detector-z-values-mm 75:110:1 --detector-time-offset-ps-values 500,550,600,650,667,700,750 --top-k 20 --x-min-separation-mm 4 --z-min-separation-mm 4 --window-half-x-mm 16 --window-half-z-mm 16 --truth-tolerance-x-mm 8 --truth-tolerance-z-mm 8 --background-mode median --geometry-mode hard --run-name local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu","Does detector-only ambiguity track the seed13 x-ambiguity caveat, or is the 29.5 mm issue specific to the waveform objective?"
target2_close50_linear29p5,21,source_mismatch_noise10_seed21,source_mismatch,coordinate_optimizer_close50_seed21_sources4_txrx29p5_linear_receiver_objectives,2,cpu,False,1,1.0,8.0,4,29.5,linear,1.5,"190,250,300","90,90,90","5,6,8",1.1,-50.0,1.1,0.1,21,180:310:1,75:110:1,"500,550,600,650,667,700,750",20,4.0,8.0,local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,existing,True,outputs/experiments/1335_local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,"conda run -n gpr-fdtd-fwi python run_rebar_detection_pipeline.py --backend cpu --grid-step-mm 1 --scan-step-mm 8 --sources 4 --tx-rx-offset-mm 29.5 --receiver-sampling linear --frequency-ghz 1.5 --truth-x-values-mm 190,250,300 --truth-z-values-mm 90,90,90 --truth-radius-values-mm 5,6,8 --frequency-scale 1.1 --time-shift-ps -50 --amplitude-scale 1.1 --noise-fraction 0.1 --noise-seed 21 --detector-x-values-mm 180:310:1 --detector-z-values-mm 75:110:1 --detector-time-offset-ps-values 500,550,600,650,667,700,750 --top-k 20 --x-min-separation-mm 4 --z-min-separation-mm 4 --window-half-x-mm 16 --window-half-z-mm 16 --truth-tolerance-x-mm 8 --truth-tolerance-z-mm 8 --background-mode median --geometry-mode hard --run-name local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu","Does detector-only ambiguity track the seed13 x-ambiguity caveat, or is the 29.5 mm issue specific to the waveform objective?"
