branch_key,seed,case_variant,case_label,run_name,output_dir,detected_candidate_count,all_truths_within_tolerance,truth_hit_count,truth_count,target0_hit,target1_hit,target2_hit,unique_truth_hit_count,unique_all_truths_within_tolerance,unique_target0_hit,unique_target1_hit,unique_target2_hit,assigned_candidate_ranks,matched_truth_x_values_mm,missed_truth_x_values_mm,best_candidate_x_mm,best_candidate_z_mm,best_candidate_score,candidate_x_min_mm,candidate_x_max_mm,candidate_x_median_mm,candidate_z_median_mm,candidate_x_span_mm,max_truth_x_error_mm,max_truth_z_error_mm,elapsed_time_s,outcome
target2_close14,13,nominal,noise15p361328125_seed13,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,outputs/experiments/1326_local2d_detector_baseline_target2_close14_seed13_nominal_cpu,20,False,2,3,False,True,True,2,False,False,True,True,"18,6,12","250,264",190,261.0,88.0,1.2670388469589275,249.0,268.0,259.5,86.0,19.0,59.0,1.0,80.5047116279602,close_pair_detected_left_target_missed
target2_close14,13,source_mismatch,source_mismatch_noise15p361328125_seed13,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,outputs/experiments/1327_local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,20,False,2,3,False,True,True,2,False,False,True,True,"20,11,17","250,264",190,258.0,78.0,1.2596720403316455,240.0,271.0,258.0,80.5,31.0,50.0,13.0,82.37242007255554,close_pair_detected_left_target_missed
target2_close14,21,nominal,noise15p361328125_seed21,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,outputs/experiments/1328_local2d_detector_baseline_target2_close14_seed21_nominal_cpu,20,False,2,3,False,True,True,2,False,False,True,True,"3,14,5","250,264",190,258.0,84.0,1.2488376854727916,250.0,266.0,258.0,85.5,16.0,60.0,4.0,85.8285162448883,close_pair_detected_left_target_missed
target2_close14,21,source_mismatch,source_mismatch_noise15p361328125_seed21,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,outputs/experiments/1329_local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,20,False,2,3,False,True,True,2,False,False,True,True,"18,10,7","250,264",190,263.0,81.0,1.2475013603236675,244.0,272.0,257.0,81.0,28.0,57.0,5.0,81.30372714996338,close_pair_detected_left_target_missed
target2_close14,34,nominal,noise15p361328125_seed34,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,outputs/experiments/1330_local2d_detector_baseline_target2_close14_seed34_nominal_cpu,20,False,2,3,False,True,True,2,False,False,True,True,"14,17,4","250,264",190,261.0,90.0,1.3151407667815873,248.0,269.0,258.0,88.0,21.0,58.0,1.0,71.35067963600159,close_pair_detected_left_target_missed
target2_close14,34,source_mismatch,source_mismatch_noise15p361328125_seed34,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,outputs/experiments/1331_local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,20,False,2,3,False,True,True,2,False,False,True,True,"20,14,15","250,264",190,260.0,79.0,1.246464870751656,239.0,271.0,258.0,81.0,32.0,49.0,9.0,77.15276789665222,close_pair_detected_left_target_missed
target2_close50_linear29p5,13,nominal,noise10_seed13,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,outputs/experiments/1332_local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,20,False,1,3,False,True,False,1,False,False,True,False,"20,3,11",250,"190,300",274.0,78.0,1.2359204315979984,245.0,278.0,254.0,87.5,33.0,56.0,8.0,54.14106273651123,middle_target_only_detected
target2_close50_linear29p5,13,source_mismatch,source_mismatch_noise10_seed13,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,outputs/experiments/1333_local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,20,False,1,3,False,True,False,1,False,False,True,False,"19,10,20",250,"190,300",252.0,85.0,1.1045412527264344,244.0,271.0,253.5,85.0,27.0,54.0,1.0,72.37636756896973,middle_target_only_detected
target2_close50_linear29p5,21,nominal,noise10_seed21,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,outputs/experiments/1334_local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,20,False,1,3,False,True,False,1,False,False,True,False,"18,5,15",250,"190,300",253.0,101.0,1.2341100041704314,247.0,278.0,255.0,86.5,31.0,57.0,9.0,73.93348860740662,middle_target_only_detected
target2_close50_linear29p5,21,source_mismatch,source_mismatch_noise10_seed21,local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,outputs/experiments/1335_local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,20,False,1,3,False,True,False,1,False,False,True,False,"16,7,14",250,"190,300",252.0,82.0,1.1262611163273062,244.0,271.0,253.5,83.0,27.0,55.0,2.0,55.020580768585205,middle_target_only_detected
