branch_key,seed,case_variant,run_name,best_config_key,best_unique_truth_hit_count,best_unique_all_truths_within_tolerance,best_unique_target0_hit,best_unique_target1_hit,best_unique_target2_hit
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,median_top20_distinct20_wide,3,True,True,True,True
target2_close14,13,source_mismatch,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,median_top20_moderate12_wide,3,True,True,True,True
target2_close14,21,nominal,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,median_top20_distinct20_wide,3,True,True,True,True
target2_close14,21,source_mismatch,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,median_top20_moderate12_wide,3,True,True,True,True
target2_close14,34,nominal,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,median_top20_moderate12_baseline,3,True,True,True,True
target2_close14,34,source_mismatch,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,median_top20_moderate12_wide,3,True,True,True,True
target2_close50_linear29p5,13,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,median_top20_distinct20_wide,3,True,True,True,True
target2_close50_linear29p5,13,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,median_top20_moderate12_wide,3,True,True,True,True
target2_close50_linear29p5,21,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,median_top20_distinct20_wide,3,True,True,True,True
target2_close50_linear29p5,21,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,median_top20_distinct20_wide,3,True,True,True,True
target2_close50_linear29p5,34,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed34_nominal_cpu,median_top40_moderate12_wide,3,True,True,True,True
target2_close50_linear29p5,34,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed34_source_mismatch_cpu,median_top20_distinct20_wide,3,True,True,True,True
