config_key,background_mode,top_k,separation_profile,time_offset_family,case_count,all_truth_case_count,unique_all_truth_case_count,target0_hit_count,target1_hit_count,target2_hit_count,unique_target0_hit_count,unique_target1_hit_count,unique_target2_hit_count,mean_unique_truth_hit_count,mean_elapsed_time_s
median_top40_moderate12_single667,median,40,moderate12,single667,12,12,12,12,12,12,12,12,12,3.0,0.10078907012939453
median_top80_moderate12_single667,median,80,moderate12,single667,12,12,12,12,12,12,12,12,12,3.0,0.10109049081802368
none_top40_moderate12_baseline,none,40,moderate12,baseline,12,12,12,12,12,12,12,12,12,3.0,0.6227723956108093
none_top40_moderate12_single667,none,40,moderate12,single667,12,10,12,11,12,11,12,12,12,3.0,0.10000421603520711
none_top40_moderate12_wide,none,40,moderate12,wide,12,12,12,12,12,12,12,12,12,3.0,0.9746117989222208
none_top80_moderate12_baseline,none,80,moderate12,baseline,12,12,12,12,12,12,12,12,12,3.0,0.6258159677187601
none_top80_moderate12_single667,none,80,moderate12,single667,12,10,12,11,12,11,12,12,12,3.0,0.10133788983027141
none_top80_moderate12_wide,none,80,moderate12,wide,12,12,12,12,12,12,12,12,12,3.0,0.9771184325218201
mean_top40_moderate12_baseline,mean,40,moderate12,baseline,12,11,11,11,12,12,11,12,12,2.9166666666666665,0.635097066561381
mean_top40_moderate12_single667,mean,40,moderate12,single667,12,9,11,10,12,11,11,12,12,2.9166666666666665,0.10157597064971924
mean_top40_moderate12_wide,mean,40,moderate12,wide,12,11,11,11,12,12,11,12,12,2.9166666666666665,0.9948864181836446
mean_top80_moderate12_baseline,mean,80,moderate12,baseline,12,11,11,11,12,12,11,12,12,2.9166666666666665,0.6362854242324829
mean_top80_moderate12_single667,mean,80,moderate12,single667,12,9,11,10,12,11,11,12,12,2.9166666666666665,0.10167078177134196
mean_top80_moderate12_wide,mean,80,moderate12,wide,12,11,11,11,12,12,11,12,12,2.9166666666666665,0.9922912915547689
median_top40_moderate12_baseline,median,40,moderate12,baseline,12,11,11,11,12,12,11,12,12,2.9166666666666665,0.6328272819519043
median_top40_moderate12_wide,median,40,moderate12,wide,12,10,11,10,12,12,11,12,12,2.9166666666666665,0.9907752672831217
median_top80_moderate12_baseline,median,80,moderate12,baseline,12,11,11,11,12,12,11,12,12,2.9166666666666665,0.6417635679244995
