branch_key,seed,case_variant,run_name,config_key,background_mode,top_k,separation_profile,time_offset_family,x_min_separation_mm,z_min_separation_mm,detected_candidate_count,all_truths_within_tolerance,truth_hit_count,target0_hit,target1_hit,target2_hit,unique_truth_hit_count,unique_all_truths_within_tolerance,unique_target0_hit,unique_target1_hit,unique_target2_hit,assigned_candidate_ranks,best_candidate_x_mm,best_candidate_z_mm,best_candidate_score,elapsed_time_s
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_baseline,mean,20,dense4,baseline,4.0,4.0,20,False,2,False,True,True,2,False,False,True,True,"6,9,8",265.0,85.0,1.1466866922793297,0.5582716464996338
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_single667,mean,20,dense4,single667,4.0,4.0,20,False,2,False,True,True,2,False,False,True,True,"17,18,20",259.0,80.0,1.0102732383036794,0.08061790466308594
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_dense4_wide,mean,20,dense4,wide,4.0,4.0,20,False,2,False,True,True,2,False,False,True,True,"18,19,5",263.0,98.0,1.1761678911181814,0.8937239646911621
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_distinct20_baseline,mean,20,distinct20,baseline,20.0,10.0,13,True,3,True,True,True,3,True,True,True,True,"8,5,1",265.0,85.0,1.1466866922793297,0.5082528591156006
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_distinct20_single667,mean,20,distinct20,single667,20.0,10.0,15,True,3,True,True,True,3,True,True,True,True,"6,4,3",259.0,80.0,1.0102732383036794,0.07340455055236816
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_distinct20_wide,mean,20,distinct20,wide,20.0,10.0,14,True,3,True,True,True,3,True,True,True,True,"11,7,2",263.0,98.0,1.1761678911181814,0.8028960227966309
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_moderate12_baseline,mean,20,moderate12,baseline,12.0,8.0,20,True,3,True,True,True,3,True,True,True,True,"15,6,1",265.0,85.0,1.1466866922793297,0.5152144432067871
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_moderate12_single667,mean,20,moderate12,single667,12.0,8.0,20,True,3,True,True,True,3,True,True,True,True,"13,5,4",259.0,80.0,1.0102732383036794,0.07520031929016113
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top20_moderate12_wide,mean,20,moderate12,wide,12.0,8.0,20,True,3,True,True,True,3,True,True,True,True,"19,7,2",263.0,98.0,1.1761678911181814,0.810081958770752
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top40_dense4_baseline,mean,40,dense4,baseline,4.0,4.0,40,False,2,False,True,True,2,False,False,True,True,"40,9,8",265.0,85.0,1.1466866922793297,0.5806498527526855
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top40_dense4_single667,mean,40,dense4,single667,4.0,4.0,40,True,3,True,True,True,3,True,True,True,True,"39,26,24",259.0,80.0,1.0102732383036794,0.10025572776794434
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top40_dense4_wide,mean,40,dense4,wide,4.0,4.0,40,False,2,False,True,True,2,False,False,True,True,"36,18,5",263.0,98.0,1.1761678911181814,0.894784688949585
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top40_distinct20_baseline,mean,40,distinct20,baseline,20.0,10.0,13,True,3,True,True,True,3,True,True,True,True,"8,5,1",265.0,85.0,1.1466866922793297,0.5286667346954346
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top40_distinct20_single667,mean,40,distinct20,single667,20.0,10.0,15,True,3,True,True,True,3,True,True,True,True,"6,4,3",259.0,80.0,1.0102732383036794,0.07375025749206543
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top40_distinct20_wide,mean,40,distinct20,wide,20.0,10.0,14,True,3,True,True,True,3,True,True,True,True,"11,7,2",263.0,98.0,1.1761678911181814,0.8031008243560791
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top40_moderate12_baseline,mean,40,moderate12,baseline,12.0,8.0,28,True,3,True,True,True,3,True,True,True,True,"15,6,1",265.0,85.0,1.1466866922793297,0.5213446617126465
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top40_moderate12_single667,mean,40,moderate12,single667,12.0,8.0,29,True,3,True,True,True,3,True,True,True,True,"13,5,4",259.0,80.0,1.0102732383036794,0.08170652389526367
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top40_moderate12_wide,mean,40,moderate12,wide,12.0,8.0,25,True,3,True,True,True,3,True,True,True,True,"19,7,2",263.0,98.0,1.1761678911181814,0.817124605178833
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top80_dense4_baseline,mean,80,dense4,baseline,4.0,4.0,80,True,3,True,True,True,3,True,True,True,True,"70,9,8",265.0,85.0,1.1466866922793297,0.7370991706848145
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top80_dense4_single667,mean,80,dense4,single667,4.0,4.0,80,True,3,True,True,True,3,True,True,True,True,"46,26,24",259.0,80.0,1.0102732383036794,0.2565877437591553
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top80_dense4_wide,mean,80,dense4,wide,4.0,4.0,80,False,2,False,True,True,2,False,False,True,True,"76,18,5",263.0,98.0,1.1761678911181814,1.0559287071228027
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,mean_top80_distinct20_baseline,mean,80,distinct20,baseline,20.0,10.0,13,True,3,True,True,True,3,True,True,True,True,"8,5,1",265.0,85.0,1.1466866922793297,0.5098638534545898
