config_key,background_mode,top_k,separation_profile,time_offset_family,case_count,all_truth_case_count,unique_all_truth_case_count,target0_hit_count,target1_hit_count,target2_hit_count,unique_target0_hit_count,unique_target1_hit_count,unique_target2_hit_count,mean_unique_truth_hit_count,mean_max_assigned_rank,max_assigned_rank,mean_elapsed_time_s
median_top40_moderate12_single667,median,40,moderate12,single667,12,12,12,12,12,12,12,12,12,3.0,23.416666666666668,36.0,0.0994518796602885
median_top80_moderate12_single667,median,80,moderate12,single667,12,12,12,12,12,12,12,12,12,3.0,23.416666666666668,36.0,0.09990121920903523
none_top40_moderate12_baseline,none,40,moderate12,baseline,12,12,12,12,12,12,12,12,12,3.0,21.333333333333332,32.0,0.6176671187082926
none_top40_moderate12_single667,none,40,moderate12,single667,12,10,12,11,12,11,12,12,12,3.0,24.666666666666668,37.0,0.09924207131067912
none_top40_moderate12_wide,none,40,moderate12,wide,12,12,12,12,12,12,12,12,12,3.0,24.333333333333332,37.0,0.967723031838735
none_top80_moderate12_baseline,none,80,moderate12,baseline,12,12,12,12,12,12,12,12,12,3.0,21.333333333333332,32.0,0.6206538279851278
none_top80_moderate12_single667,none,80,moderate12,single667,12,10,12,11,12,11,12,12,12,3.0,24.666666666666668,37.0,0.09990932544072469
none_top80_moderate12_wide,none,80,moderate12,wide,12,12,12,12,12,12,12,12,12,3.0,24.333333333333332,37.0,0.9680302341779073
mean_top40_moderate12_baseline,mean,40,moderate12,baseline,12,11,11,11,12,12,11,12,12,2.9166666666666665,20.818181818181817,35.0,0.6209995547930399
mean_top40_moderate12_single667,mean,40,moderate12,single667,12,9,11,10,12,11,11,12,12,2.9166666666666665,23.181818181818183,37.0,0.09963130950927734
mean_top40_moderate12_wide,mean,40,moderate12,wide,12,11,11,11,12,12,11,12,12,2.9166666666666665,22.0,32.0,0.9700246651967367
mean_top80_moderate12_baseline,mean,80,moderate12,baseline,12,11,11,11,12,12,11,12,12,2.9166666666666665,20.818181818181817,35.0,0.6227489511171976
mean_top80_moderate12_single667,mean,80,moderate12,single667,12,9,11,10,12,11,11,12,12,2.9166666666666665,23.181818181818183,37.0,0.10018342733383179
mean_top80_moderate12_wide,mean,80,moderate12,wide,12,11,11,11,12,12,11,12,12,2.9166666666666665,22.0,32.0,0.9714071949323019
median_top40_moderate12_baseline,median,40,moderate12,baseline,12,11,11,11,12,12,11,12,12,2.9166666666666665,19.818181818181817,35.0,0.623634954293569
median_top40_moderate12_wide,median,40,moderate12,wide,12,10,11,10,12,12,11,12,12,2.9166666666666665,22.181818181818183,37.0,0.9741052389144897
median_top80_moderate12_baseline,median,80,moderate12,baseline,12,11,11,11,12,12,11,12,12,2.9166666666666665,19.818181818181817,35.0,0.6356382568677267
median_top80_moderate12_wide,median,80,moderate12,wide,12,10,11,10,12,12,11,12,12,2.9166666666666665,22.181818181818183,37.0,0.9784742395083109
mean_top20_distinct20_baseline,mean,20,distinct20,baseline,12,9,10,12,10,11,12,10,12,2.8333333333333335,11.3,18.0,0.6035845279693604
mean_top40_distinct20_baseline,mean,40,distinct20,baseline,12,9,10,12,10,11,12,10,12,2.8333333333333335,11.3,18.0,0.6142910520235697
mean_top80_distinct20_baseline,mean,80,distinct20,baseline,12,9,10,12,10,11,12,10,12,2.8333333333333335,11.3,18.0,0.60393758614858
none_top20_distinct20_wide,none,20,distinct20,wide,12,10,10,11,11,12,11,11,12,2.8333333333333335,12.5,17.0,0.9476707379023234
none_top40_distinct20_wide,none,40,distinct20,wide,12,10,10,11,11,12,11,11,12,2.8333333333333335,12.5,17.0,0.9609797994295756
none_top80_distinct20_wide,none,80,distinct20,wide,12,10,10,11,11,12,11,11,12,2.8333333333333335,12.5,17.0,0.9500255187352499
none_top20_distinct20_baseline,none,20,distinct20,baseline,12,9,9,11,10,12,11,10,12,2.75,11.11111111111111,17.0,0.6006755630175272
none_top40_distinct20_baseline,none,40,distinct20,baseline,12,9,9,11,10,12,11,10,12,2.75,11.11111111111111,17.0,0.6023011803627014
none_top80_distinct20_baseline,none,80,distinct20,baseline,12,9,9,11,10,12,11,10,12,2.75,11.11111111111111,17.0,0.6019115249315897
none_top20_moderate12_baseline,none,20,moderate12,baseline,12,9,9,9,12,12,9,12,12,2.75,13.333333333333334,17.0,0.6085530122121176
none_top20_moderate12_wide,none,20,moderate12,wide,12,9,9,9,12,12,9,12,12,2.75,17.666666666666668,20.0,0.9571478962898254
mean_top80_dense4_single667,mean,80,dense4,single667,12,7,8,7,12,11,8,12,12,2.6666666666666665,61.125,78.0,0.2702975074450175
median_top80_dense4_single667,median,80,dense4,single667,12,6,8,6,12,11,8,12,12,2.6666666666666665,60.625,79.0,0.27225395043691
none_top80_dense4_baseline,none,80,dense4,baseline,12,8,8,8,12,12,8,12,12,2.6666666666666665,60.5,75.0,0.8412277698516846
mean_top20_moderate12_wide,mean,20,moderate12,wide,12,8,8,8,12,11,8,12,11,2.5833333333333335,16.75,19.0,0.9618935783704122
median_top20_distinct20_baseline,median,20,distinct20,baseline,12,6,7,10,9,11,10,10,11,2.5833333333333335,12.0,18.0,0.6052473187446594
median_top40_distinct20_baseline,median,40,distinct20,baseline,12,6,7,10,9,11,10,10,11,2.5833333333333335,12.0,18.0,0.6157768170038859
median_top80_distinct20_baseline,median,80,distinct20,baseline,12,6,7,10,9,11,10,10,11,2.5833333333333335,12.0,18.0,0.6080681085586548
median_top20_moderate12_single667,median,20,moderate12,single667,12,7,7,8,12,11,8,12,11,2.5833333333333335,12.0,20.0,0.08982376257578532
