config_key,background_mode,top_k,separation_profile,time_offset_family,case_count,unique_all_truth_case_count,mean_max_assigned_rank,worst_max_assigned_rank,min_rank_cap_for_all_cases,all_truth_within_top3_case_count,all_truth_within_top5_case_count,all_truth_within_top10_case_count,all_truth_within_top20_case_count,all_truth_within_top40_case_count,all_truth_within_top80_case_count
none_top40_moderate12_baseline,none,40,moderate12,baseline,12,12,21.333333333333332,32.0,40,0,0,3,6,12,12
none_top80_moderate12_baseline,none,80,moderate12,baseline,12,12,21.333333333333332,32.0,40,0,0,3,6,12,12
median_top40_moderate12_single667,median,40,moderate12,single667,12,12,23.416666666666668,36.0,40,0,0,0,5,12,12
median_top80_moderate12_single667,median,80,moderate12,single667,12,12,23.416666666666668,36.0,40,0,0,0,5,12,12
none_top40_moderate12_wide,none,40,moderate12,wide,12,12,24.333333333333332,37.0,40,0,0,0,7,12,12
none_top80_moderate12_wide,none,80,moderate12,wide,12,12,24.333333333333332,37.0,40,0,0,0,7,12,12
none_top40_moderate12_single667,none,40,moderate12,single667,12,12,24.666666666666668,37.0,40,0,0,2,3,12,12
none_top80_moderate12_single667,none,80,moderate12,single667,12,12,24.666666666666668,37.0,40,0,0,2,3,12,12
median_top40_moderate12_baseline,median,40,moderate12,baseline,12,11,19.818181818181817,35.0,,0,0,2,6,11,11
median_top80_moderate12_baseline,median,80,moderate12,baseline,12,11,19.818181818181817,35.0,,0,0,2,6,11,11
mean_top40_moderate12_baseline,mean,40,moderate12,baseline,12,11,20.818181818181817,35.0,,0,0,1,6,11,11
mean_top80_moderate12_baseline,mean,80,moderate12,baseline,12,11,20.818181818181817,35.0,,0,0,1,6,11,11
mean_top40_moderate12_wide,mean,40,moderate12,wide,12,11,22.0,32.0,,0,0,0,6,11,11
mean_top80_moderate12_wide,mean,80,moderate12,wide,12,11,22.0,32.0,,0,0,0,6,11,11
median_top40_moderate12_wide,median,40,moderate12,wide,12,11,22.181818181818183,37.0,,0,0,0,6,11,11
median_top80_moderate12_wide,median,80,moderate12,wide,12,11,22.181818181818183,37.0,,0,0,0,6,11,11
mean_top40_moderate12_single667,mean,40,moderate12,single667,12,11,23.181818181818183,37.0,,0,0,2,5,11,11
mean_top80_moderate12_single667,mean,80,moderate12,single667,12,11,23.181818181818183,37.0,,0,0,2,5,11,11
mean_top20_distinct20_baseline,mean,20,distinct20,baseline,12,10,11.3,18.0,,0,2,4,10,10,10
mean_top40_distinct20_baseline,mean,40,distinct20,baseline,12,10,11.3,18.0,,0,2,4,10,10,10
mean_top80_distinct20_baseline,mean,80,distinct20,baseline,12,10,11.3,18.0,,0,2,4,10,10,10
none_top20_distinct20_wide,none,20,distinct20,wide,12,10,12.5,17.0,,0,0,3,10,10,10
none_top40_distinct20_wide,none,40,distinct20,wide,12,10,12.5,17.0,,0,0,3,10,10,10
none_top80_distinct20_wide,none,80,distinct20,wide,12,10,12.5,17.0,,0,0,3,10,10,10
none_top20_distinct20_baseline,none,20,distinct20,baseline,12,9,11.11111111111111,17.0,,0,2,4,9,9,9
none_top40_distinct20_baseline,none,40,distinct20,baseline,12,9,11.11111111111111,17.0,,0,2,4,9,9,9
none_top80_distinct20_baseline,none,80,distinct20,baseline,12,9,11.11111111111111,17.0,,0,2,4,9,9,9
none_top20_moderate12_baseline,none,20,moderate12,baseline,12,9,13.333333333333334,17.0,,0,0,3,9,9,9
none_top20_moderate12_wide,none,20,moderate12,wide,12,9,17.666666666666668,20.0,,0,0,0,9,9,9
mean_top20_moderate12_wide,mean,20,moderate12,wide,12,8,16.75,19.0,,0,0,0,8,8,8
none_top80_dense4_baseline,none,80,dense4,baseline,12,8,60.5,75.0,,0,0,0,0,1,8
median_top80_dense4_single667,median,80,dense4,single667,12,8,60.625,79.0,,0,0,0,0,1,8
mean_top80_dense4_single667,mean,80,dense4,single667,12,8,61.125,78.0,,0,0,0,0,1,8
median_top20_distinct20_baseline,median,20,distinct20,baseline,12,7,12.0,18.0,,0,1,3,7,7,7
median_top20_moderate12_single667,median,20,moderate12,single667,12,7,12.0,20.0,,0,0,1,7,7,7
median_top40_distinct20_baseline,median,40,distinct20,baseline,12,7,12.0,18.0,,0,1,3,7,7,7
median_top80_distinct20_baseline,median,80,distinct20,baseline,12,7,12.0,18.0,,0,1,3,7,7,7
mean_top20_distinct20_wide,mean,20,distinct20,wide,12,7,13.142857142857142,18.0,,0,0,1,7,7,7
mean_top20_moderate12_baseline,mean,20,moderate12,baseline,12,7,13.142857142857142,17.0,,0,0,1,7,7,7
mean_top40_distinct20_wide,mean,40,distinct20,wide,12,7,13.142857142857142,18.0,,0,0,1,7,7,7
mean_top80_distinct20_wide,mean,80,distinct20,wide,12,7,13.142857142857142,18.0,,0,0,1,7,7,7
median_top20_moderate12_wide,median,20,moderate12,wide,12,7,16.0,19.0,,0,0,0,7,7,7
mean_top80_dense4_baseline,mean,80,dense4,baseline,12,7,61.42857142857143,76.0,,0,0,0,0,0,7
median_top20_moderate12_baseline,median,20,moderate12,baseline,12,6,11.333333333333334,15.0,,0,0,2,6,6,6
none_top20_distinct20_single667,none,20,distinct20,single667,12,6,11.5,15.0,,0,1,2,6,6,6
none_top40_distinct20_single667,none,40,distinct20,single667,12,6,11.5,15.0,,0,1,2,6,6,6
none_top80_distinct20_single667,none,80,distinct20,single667,12,6,11.5,15.0,,0,1,2,6,6,6
median_top20_distinct20_single667,median,20,distinct20,single667,12,6,11.833333333333334,19.0,,0,1,3,6,6,6
median_top40_distinct20_single667,median,40,distinct20,single667,12,6,11.833333333333334,19.0,,0,1,3,6,6,6
median_top80_distinct20_single667,median,80,distinct20,single667,12,6,11.833333333333334,19.0,,0,1,3,6,6,6
median_top20_distinct20_wide,median,20,distinct20,wide,12,6,13.0,17.0,,0,0,1,6,6,6
median_top40_distinct20_wide,median,40,distinct20,wide,12,6,13.0,17.0,,0,0,1,6,6,6
median_top80_distinct20_wide,median,80,distinct20,wide,12,6,13.0,17.0,,0,0,1,6,6,6
mean_top40_dense4_single667,mean,40,dense4,single667,12,6,36.0,39.0,,0,0,0,0,6,6
none_top40_dense4_single667,none,40,dense4,single667,12,6,37.166666666666664,40.0,,0,0,0,0,6,6
none_top80_dense4_single667,none,80,dense4,single667,12,6,51.5,77.0,,0,0,0,0,2,6
median_top80_dense4_baseline,median,80,dense4,baseline,12,6,54.666666666666664,71.0,,0,0,0,0,0,6
mean_top20_moderate12_single667,mean,20,moderate12,single667,12,5,11.6,16.0,,0,0,2,5,5,5
mean_top20_distinct20_single667,mean,20,distinct20,single667,12,5,12.0,20.0,,0,1,2,5,5,5
mean_top40_distinct20_single667,mean,40,distinct20,single667,12,5,12.0,20.0,,0,1,2,5,5,5
mean_top80_distinct20_single667,mean,80,distinct20,single667,12,5,12.0,20.0,,0,1,2,5,5,5
median_top40_dense4_single667,median,40,dense4,single667,12,5,34.2,39.0,,0,0,0,0,5,5
none_top20_moderate12_single667,none,20,moderate12,single667,12,4,9.5,13.0,,0,0,3,4,4,4
median_top80_dense4_wide,median,80,dense4,wide,12,4,74.0,80.0,,0,0,0,0,0,4
mean_top80_dense4_wide,mean,80,dense4,wide,12,4,74.75,80.0,,0,0,0,0,0,4
median_top40_dense4_baseline,median,40,dense4,baseline,12,3,35.333333333333336,40.0,,0,0,0,0,3,3
mean_top40_dense4_baseline,mean,40,dense4,baseline,12,3,38.666666666666664,39.0,,0,0,0,0,3,3
none_top80_dense4_wide,none,80,dense4,wide,12,3,73.66666666666667,77.0,,0,0,0,0,0,3
none_top40_dense4_baseline,none,40,dense4,baseline,12,1,40.0,40.0,,0,0,0,0,1,1
mean_top20_dense4_baseline,mean,20,dense4,baseline,12,0,,,,0,0,0,0,0,0
mean_top20_dense4_single667,mean,20,dense4,single667,12,0,,,,0,0,0,0,0,0
mean_top20_dense4_wide,mean,20,dense4,wide,12,0,,,,0,0,0,0,0,0
mean_top40_dense4_wide,mean,40,dense4,wide,12,0,,,,0,0,0,0,0,0
median_top20_dense4_baseline,median,20,dense4,baseline,12,0,,,,0,0,0,0,0,0
median_top20_dense4_single667,median,20,dense4,single667,12,0,,,,0,0,0,0,0,0
median_top20_dense4_wide,median,20,dense4,wide,12,0,,,,0,0,0,0,0,0
median_top40_dense4_wide,median,40,dense4,wide,12,0,,,,0,0,0,0,0,0
none_top20_dense4_baseline,none,20,dense4,baseline,12,0,,,,0,0,0,0,0,0
none_top20_dense4_single667,none,20,dense4,single667,12,0,,,,0,0,0,0,0,0
none_top20_dense4_wide,none,20,dense4,wide,12,0,,,,0,0,0,0,0,0
none_top40_dense4_wide,none,40,dense4,wide,12,0,,,,0,0,0,0,0,0
