config_key,assignment_policy_key,background_mode,top_k,separation_profile,time_offset_family,candidate_budget,min_x_separation_mm,case_count,assigned_case_count,all_truth_case_count,unique_all_truth_case_count,unique_target0_hit_count,unique_target1_hit_count,unique_target2_hit_count,mean_unique_truth_hit_count,mean_elapsed_time_s
median_top40_dense4_baseline,top40_minx20,median,40,dense4,baseline,40,20.0,12,11,1,1,1,4,7,1.0,0.004568119843800862
median_top80_dense4_baseline,top40_minx20,median,80,dense4,baseline,40,20.0,12,11,1,1,1,4,7,1.0,0.004558483759562175
median_top40_moderate12_wide,top40_minx45,median,40,moderate12,wide,40,45.0,12,8,1,1,2,3,5,0.8333333333333334,0.0024602413177490234
median_top80_moderate12_wide,top40_minx45,median,80,moderate12,wide,40,45.0,12,8,1,1,2,3,5,0.8333333333333334,0.002464433511098226
median_top20_moderate12_wide,top20_minx45,median,20,moderate12,wide,20,45.0,12,6,1,1,1,3,4,0.6666666666666666,0.0005388855934143066
median_top40_moderate12_wide,top20_minx45,median,40,moderate12,wide,20,45.0,12,6,1,1,1,3,4,0.6666666666666666,0.0005317330360412598
median_top80_moderate12_wide,top20_minx45,median,80,moderate12,wide,20,45.0,12,6,1,1,1,3,4,0.6666666666666666,0.0005359649658203125
none_top40_dense4_single667,top40_minx20,none,40,dense4,single667,40,20.0,12,12,1,1,1,5,2,0.6666666666666666,0.005200684070587158
none_top80_dense4_single667,top40_minx20,none,80,dense4,single667,40,20.0,12,12,1,1,1,5,2,0.6666666666666666,0.005191365877787272
median_top20_moderate12_wide,top40_minx45,median,20,moderate12,wide,40,45.0,12,6,1,1,1,3,4,0.6666666666666666,0.000537872314453125
none_top20_moderate12_baseline,top20_minx20,none,20,moderate12,baseline,20,20.0,12,12,1,0,4,5,9,1.5,0.0006652474403381348
none_top40_moderate12_baseline,top20_minx20,none,40,moderate12,baseline,20,20.0,12,12,1,0,4,5,9,1.5,0.0006610552469889323
none_top80_moderate12_baseline,top20_minx20,none,80,moderate12,baseline,20,20.0,12,12,1,0,4,5,9,1.5,0.0006636977195739746
none_top20_moderate12_baseline,top40_minx20,none,20,moderate12,baseline,40,20.0,12,12,1,0,4,5,9,1.5,0.0006646911303202311
none_top40_moderate12_baseline,top40_minx20,none,40,moderate12,baseline,40,20.0,12,12,1,0,4,5,9,1.5,0.0029873251914978027
none_top80_moderate12_baseline,top40_minx20,none,80,moderate12,baseline,40,20.0,12,12,1,0,4,5,9,1.5,0.002973020076751709
none_top20_dense4_baseline,top20_minx8,none,20,dense4,baseline,20,8.0,12,12,0,0,0,11,6,1.4166666666666667,0.000613709290822347
none_top40_dense4_baseline,top20_minx8,none,40,dense4,baseline,20,8.0,12,12,0,0,0,11,6,1.4166666666666667,0.0006117026011149088
none_top80_dense4_baseline,top20_minx8,none,80,dense4,baseline,20,8.0,12,12,0,0,0,11,6,1.4166666666666667,0.0006145437558492025
none_top20_dense4_baseline,top40_minx8,none,20,dense4,baseline,40,8.0,12,12,0,0,0,11,6,1.4166666666666667,0.0005941987037658691
none_top40_dense4_baseline,top40_minx8,none,40,dense4,baseline,40,8.0,12,12,0,0,0,11,6,1.4166666666666667,0.005656103293100993
none_top80_dense4_baseline,top40_minx8,none,80,dense4,baseline,40,8.0,12,12,0,0,0,11,6,1.4166666666666667,0.005682587623596191
median_top20_distinct20_baseline,top10_minx20,median,20,distinct20,baseline,10,20.0,12,12,0,0,4,6,6,1.3333333333333333,8.217493693033855e-05
median_top40_distinct20_baseline,top10_minx20,median,40,distinct20,baseline,10,20.0,12,12,0,0,4,6,6,1.3333333333333333,8.229414621988933e-05
median_top80_distinct20_baseline,top10_minx20,median,80,distinct20,baseline,10,20.0,12,12,0,0,4,6,6,1.3333333333333333,8.102258046468099e-05
median_top20_distinct20_baseline,top20_minx20,median,20,distinct20,baseline,20,20.0,12,12,0,0,4,6,6,1.3333333333333333,0.00036406517028808594
median_top40_distinct20_baseline,top20_minx20,median,40,distinct20,baseline,20,20.0,12,12,0,0,4,6,6,1.3333333333333333,0.0003664692242940267
median_top80_distinct20_baseline,top20_minx20,median,80,distinct20,baseline,20,20.0,12,12,0,0,4,6,6,1.3333333333333333,0.0003617405891418457
median_top20_distinct20_baseline,top40_minx20,median,20,distinct20,baseline,40,20.0,12,12,0,0,4,6,6,1.3333333333333333,0.0003636678059895833
median_top40_distinct20_baseline,top40_minx20,median,40,distinct20,baseline,40,20.0,12,12,0,0,4,6,6,1.3333333333333333,0.0003838539123535156
median_top80_distinct20_baseline,top40_minx20,median,80,distinct20,baseline,40,20.0,12,12,0,0,4,6,6,1.3333333333333333,0.0003828605016072591
median_top20_moderate12_wide,top20_minx20,median,20,moderate12,wide,20,20.0,12,12,1,0,2,4,9,1.25,0.0006133516629536947
median_top40_moderate12_wide,top20_minx20,median,40,moderate12,wide,20,20.0,12,12,1,0,2,4,9,1.25,0.0006107687950134277
median_top80_moderate12_wide,top20_minx20,median,80,moderate12,wide,20,20.0,12,12,1,0,2,4,9,1.25,0.0006109078725179037
none_top40_dense4_baseline,top40_minx12,none,40,dense4,baseline,40,12.0,12,12,0,0,0,9,6,1.25,0.0052171746889750166
none_top80_dense4_baseline,top40_minx12,none,80,dense4,baseline,40,12.0,12,12,0,0,0,9,6,1.25,0.005243738492329915
median_top20_moderate12_wide,top40_minx20,median,20,moderate12,wide,40,20.0,12,12,1,0,2,4,9,1.25,0.0006149212519327799
median_top40_moderate12_wide,top40_minx20,median,40,moderate12,wide,40,20.0,12,12,1,0,2,4,9,1.25,0.002893169720967611
median_top80_moderate12_wide,top40_minx20,median,80,moderate12,wide,40,20.0,12,12,1,0,2,4,9,1.25,0.002900838851928711
median_top20_distinct20_baseline,top10_minx8,median,20,distinct20,baseline,10,8.0,12,12,0,0,3,5,6,1.1666666666666667,0.00013405084609985352
median_top20_distinct20_wide,top10_minx8,median,20,distinct20,wide,10,8.0,12,12,0,0,1,3,10,1.1666666666666667,0.00013452768325805664
median_top40_distinct20_baseline,top10_minx8,median,40,distinct20,baseline,10,8.0,12,12,0,0,3,5,6,1.1666666666666667,0.0001404285430908203
median_top40_distinct20_wide,top10_minx8,median,40,distinct20,wide,10,8.0,12,12,0,0,1,3,10,1.1666666666666667,0.00014110406239827475
median_top80_distinct20_baseline,top10_minx8,median,80,distinct20,baseline,10,8.0,12,12,0,0,3,5,6,1.1666666666666667,0.0001341700553894043
median_top80_distinct20_wide,top10_minx8,median,80,distinct20,wide,10,8.0,12,12,0,0,1,3,10,1.1666666666666667,0.00013462702433268228
none_top20_distinct20_baseline,top10_minx8,none,20,distinct20,baseline,10,8.0,12,12,1,0,1,6,7,1.1666666666666667,0.0001414815584818522
none_top40_distinct20_baseline,top10_minx8,none,40,distinct20,baseline,10,8.0,12,12,1,0,1,6,7,1.1666666666666667,0.00014907121658325195
none_top80_distinct20_baseline,top10_minx8,none,80,distinct20,baseline,10,8.0,12,12,1,0,1,6,7,1.1666666666666667,0.00014164050420125326
mean_top20_distinct20_wide,top10_minx12,mean,20,distinct20,wide,10,12.0,12,12,0,0,2,5,7,1.1666666666666667,8.227427800496419e-05
mean_top40_distinct20_wide,top10_minx12,mean,40,distinct20,wide,10,12.0,12,12,0,0,2,5,7,1.1666666666666667,8.277098337809245e-05
mean_top80_distinct20_wide,top10_minx12,mean,80,distinct20,wide,10,12.0,12,12,0,0,2,5,7,1.1666666666666667,8.292992909749349e-05
median_top20_distinct20_baseline,top10_minx12,median,20,distinct20,baseline,10,12.0,12,12,0,0,3,5,6,1.1666666666666667,8.473793665568034e-05
median_top20_distinct20_wide,top10_minx12,median,20,distinct20,wide,10,12.0,12,12,0,0,1,3,10,1.1666666666666667,8.426109949747722e-05
median_top40_distinct20_baseline,top10_minx12,median,40,distinct20,baseline,10,12.0,12,12,0,0,3,5,6,1.1666666666666667,8.716185887654622e-05
median_top40_distinct20_wide,top10_minx12,median,40,distinct20,wide,10,12.0,12,12,0,0,1,3,10,1.1666666666666667,8.50359598795573e-05
median_top80_distinct20_baseline,top10_minx12,median,80,distinct20,baseline,10,12.0,12,12,0,0,3,5,6,1.1666666666666667,8.485714594523112e-05
median_top80_distinct20_wide,top10_minx12,median,80,distinct20,wide,10,12.0,12,12,0,0,1,3,10,1.1666666666666667,8.298953374226888e-05
none_top20_moderate12_baseline,top10_minx12,none,20,moderate12,baseline,10,12.0,12,12,0,0,0,8,6,1.1666666666666667,8.807579676310222e-05
none_top40_moderate12_baseline,top10_minx12,none,40,moderate12,baseline,10,12.0,12,12,0,0,0,8,6,1.1666666666666667,8.765856424967448e-05
none_top80_moderate12_baseline,top10_minx12,none,80,moderate12,baseline,10,12.0,12,12,0,0,0,8,6,1.1666666666666667,8.809566497802734e-05
median_top20_distinct20_wide,top10_minx20,median,20,distinct20,wide,10,20.0,12,12,0,0,1,4,9,1.1666666666666667,8.03073247273763e-05
median_top40_distinct20_wide,top10_minx20,median,40,distinct20,wide,10,20.0,12,12,0,0,1,4,9,1.1666666666666667,7.99099604288737e-05
median_top80_distinct20_wide,top10_minx20,median,80,distinct20,wide,10,20.0,12,12,0,0,1,4,9,1.1666666666666667,7.93139139811198e-05
median_top20_distinct20_baseline,top20_minx8,median,20,distinct20,baseline,20,8.0,12,12,0,0,3,5,6,1.1666666666666667,0.00039017200469970703
median_top20_distinct20_wide,top20_minx8,median,20,distinct20,wide,20,8.0,12,12,0,0,1,3,10,1.1666666666666667,0.00038111209869384766
median_top40_distinct20_baseline,top20_minx8,median,40,distinct20,baseline,20,8.0,12,12,0,0,3,5,6,1.1666666666666667,0.0003915826479593913
median_top40_distinct20_wide,top20_minx8,median,40,distinct20,wide,20,8.0,12,12,0,0,1,3,10,1.1666666666666667,0.00038156906763712567
median_top80_distinct20_baseline,top20_minx8,median,80,distinct20,baseline,20,8.0,12,12,0,0,3,5,6,1.1666666666666667,0.00038429101308186847
median_top80_distinct20_wide,top20_minx8,median,80,distinct20,wide,20,8.0,12,12,0,0,1,3,10,1.1666666666666667,0.0003814498583475749
none_top20_distinct20_baseline,top20_minx8,none,20,distinct20,baseline,20,8.0,12,12,1,0,1,6,7,1.1666666666666667,0.0003063480059305827
none_top40_distinct20_baseline,top20_minx8,none,40,distinct20,baseline,20,8.0,12,12,1,0,1,6,7,1.1666666666666667,0.0003084143002827962
none_top80_distinct20_baseline,top20_minx8,none,80,distinct20,baseline,20,8.0,12,12,1,0,1,6,7,1.1666666666666667,0.0003087321917215983
mean_top20_distinct20_wide,top20_minx12,mean,20,distinct20,wide,20,12.0,12,12,0,0,2,5,7,1.1666666666666667,0.0003867348035176595
mean_top40_distinct20_wide,top20_minx12,mean,40,distinct20,wide,20,12.0,12,12,0,0,2,5,7,1.1666666666666667,0.0003908872604370117
mean_top80_distinct20_wide,top20_minx12,mean,80,distinct20,wide,20,12.0,12,12,0,0,2,5,7,1.1666666666666667,0.0003923376401265462
median_top20_distinct20_baseline,top20_minx12,median,20,distinct20,baseline,20,12.0,12,12,0,0,3,5,6,1.1666666666666667,0.00037821133931477863
median_top20_distinct20_wide,top20_minx12,median,20,distinct20,wide,20,12.0,12,12,0,0,1,3,10,1.1666666666666667,0.00037747621536254883
median_top40_distinct20_baseline,top20_minx12,median,40,distinct20,baseline,20,12.0,12,12,0,0,3,5,6,1.1666666666666667,0.0003802378972371419
median_top40_distinct20_wide,top20_minx12,median,40,distinct20,wide,20,12.0,12,12,0,0,1,3,10,1.1666666666666667,0.0003749728202819824
median_top80_distinct20_baseline,top20_minx12,median,80,distinct20,baseline,20,12.0,12,12,0,0,3,5,6,1.1666666666666667,0.00037477413813273114
median_top80_distinct20_wide,top20_minx12,median,80,distinct20,wide,20,12.0,12,12,0,0,1,3,10,1.1666666666666667,0.0003687342007954915
none_top20_moderate12_baseline,top20_minx12,none,20,moderate12,baseline,20,12.0,12,12,0,0,0,8,6,1.1666666666666667,0.0007557074228922526
none_top40_moderate12_baseline,top20_minx12,none,40,moderate12,baseline,20,12.0,12,12,0,0,0,8,6,1.1666666666666667,0.0007447203000386556
none_top80_moderate12_baseline,top20_minx12,none,80,moderate12,baseline,20,12.0,12,12,0,0,0,8,6,1.1666666666666667,0.0007505218187967936
median_top20_distinct20_wide,top20_minx20,median,20,distinct20,wide,20,20.0,12,12,0,0,1,4,9,1.1666666666666667,0.00036331017812093097
median_top20_moderate12_baseline,top20_minx20,median,20,moderate12,baseline,20,20.0,12,12,0,0,4,6,4,1.1666666666666667,0.0006219148635864258
median_top40_distinct20_wide,top20_minx20,median,40,distinct20,wide,20,20.0,12,12,0,0,1,4,9,1.1666666666666667,0.0003602306048075358
median_top40_moderate12_baseline,top20_minx20,median,40,moderate12,baseline,20,20.0,12,12,0,0,4,6,4,1.1666666666666667,0.0006185770034790039
median_top80_distinct20_wide,top20_minx20,median,80,distinct20,wide,20,20.0,12,12,0,0,1,4,9,1.1666666666666667,0.0003541906674702962
median_top80_moderate12_baseline,top20_minx20,median,80,moderate12,baseline,20,20.0,12,12,0,0,4,6,4,1.1666666666666667,0.0006186167399088541
median_top20_distinct20_baseline,top40_minx8,median,20,distinct20,baseline,40,8.0,12,12,0,0,3,5,6,1.1666666666666667,0.00038611888885498047
median_top20_distinct20_wide,top40_minx8,median,20,distinct20,wide,40,8.0,12,12,0,0,1,3,10,1.1666666666666667,0.0003802975018819173
median_top40_dense4_wide,top40_minx8,median,40,dense4,wide,40,8.0,12,12,0,0,0,9,5,1.1666666666666667,0.0051158467928568525
median_top40_distinct20_baseline,top40_minx8,median,40,distinct20,baseline,40,8.0,12,12,0,0,3,5,6,1.1666666666666667,0.0004075368245442708
median_top40_distinct20_wide,top40_minx8,median,40,distinct20,wide,40,8.0,12,12,0,0,1,3,10,1.1666666666666667,0.0003807743390401204
median_top80_dense4_wide,top40_minx8,median,80,dense4,wide,40,8.0,12,12,0,0,0,9,5,1.1666666666666667,0.0050804416338602705
median_top80_distinct20_baseline,top40_minx8,median,80,distinct20,baseline,40,8.0,12,12,0,0,3,5,6,1.1666666666666667,0.00040235122044881183
median_top80_distinct20_wide,top40_minx8,median,80,distinct20,wide,40,8.0,12,12,0,0,1,3,10,1.1666666666666667,0.00037596623102823895
none_top20_distinct20_baseline,top40_minx8,none,20,distinct20,baseline,40,8.0,12,12,1,0,1,6,7,1.1666666666666667,0.00030726194381713867
none_top40_distinct20_baseline,top40_minx8,none,40,distinct20,baseline,40,8.0,12,12,1,0,1,6,7,1.1666666666666667,0.0003114740053812663
none_top80_distinct20_baseline,top40_minx8,none,80,distinct20,baseline,40,8.0,12,12,1,0,1,6,7,1.1666666666666667,0.00030942757924397785
