config_key,assignment_policy_key,assignment_method,span_bonus_weight,background_mode,top_k,separation_profile,time_offset_family,candidate_budget,min_x_separation_mm,case_count,assigned_case_count,all_truth_case_count,unique_all_truth_case_count,unique_target0_hit_count,unique_target1_hit_count,unique_target2_hit_count,mean_unique_truth_hit_count,mean_elapsed_time_s
none_top20_moderate12_baseline,top20_minx8_span0p5,span0p5,0.5,none,20,moderate12,baseline,20,8.0,12,12,2,2,3,5,12,1.6666666666666667,0.0009363691012064616
none_top40_moderate12_baseline,top20_minx8_span0p5,span0p5,0.5,none,40,moderate12,baseline,20,8.0,12,12,2,2,3,5,12,1.6666666666666667,0.0009388526280721029
none_top80_moderate12_baseline,top20_minx8_span0p5,span0p5,0.5,none,80,moderate12,baseline,20,8.0,12,12,2,2,3,5,12,1.6666666666666667,0.0009340842564900717
none_top20_moderate12_baseline,top20_minx12_span0p5,span0p5,0.5,none,20,moderate12,baseline,20,12.0,12,12,2,2,3,5,12,1.6666666666666667,0.0008752743403116862
none_top40_moderate12_baseline,top20_minx12_span0p5,span0p5,0.5,none,40,moderate12,baseline,20,12.0,12,12,2,2,3,5,12,1.6666666666666667,0.000878751277923584
none_top80_moderate12_baseline,top20_minx12_span0p5,span0p5,0.5,none,80,moderate12,baseline,20,12.0,12,12,2,2,3,5,12,1.6666666666666667,0.0008765459060668945
none_top20_moderate12_baseline,top40_minx8_span0p5,span0p5,0.5,none,20,moderate12,baseline,40,8.0,12,12,2,2,3,5,12,1.6666666666666667,0.0009302298227945963
none_top20_moderate12_baseline,top40_minx12_span0p5,span0p5,0.5,none,20,moderate12,baseline,40,12.0,12,12,2,2,3,5,12,1.6666666666666667,0.0008714000384012858
none_top20_moderate12_baseline,top10_minx8_span0p5,span0p5,0.5,none,20,moderate12,baseline,10,8.0,12,12,2,2,3,6,10,1.5833333333333333,0.00010619560877482097
none_top20_moderate12_baseline,top10_minx8_span1,span1,1.0,none,20,moderate12,baseline,10,8.0,12,12,2,2,3,6,10,1.5833333333333333,0.00010152657826741536
none_top40_moderate12_baseline,top10_minx8_span0p5,span0p5,0.5,none,40,moderate12,baseline,10,8.0,12,12,2,2,3,6,10,1.5833333333333333,0.00010516246159871419
none_top40_moderate12_baseline,top10_minx8_span1,span1,1.0,none,40,moderate12,baseline,10,8.0,12,12,2,2,3,6,10,1.5833333333333333,0.00010075171788533528
none_top80_moderate12_baseline,top10_minx8_span0p5,span0p5,0.5,none,80,moderate12,baseline,10,8.0,12,12,2,2,3,6,10,1.5833333333333333,0.00010389089584350586
none_top80_moderate12_baseline,top10_minx8_span1,span1,1.0,none,80,moderate12,baseline,10,8.0,12,12,2,2,3,6,10,1.5833333333333333,0.00010095040003458659
none_top20_moderate12_baseline,top10_minx12_span0p5,span0p5,0.5,none,20,moderate12,baseline,10,12.0,12,12,2,2,3,6,10,1.5833333333333333,9.373823801676433e-05
none_top20_moderate12_baseline,top10_minx12_span1,span1,1.0,none,20,moderate12,baseline,10,12.0,12,12,2,2,3,6,10,1.5833333333333333,9.306271870930989e-05
none_top40_moderate12_baseline,top10_minx12_span0p5,span0p5,0.5,none,40,moderate12,baseline,10,12.0,12,12,2,2,3,6,10,1.5833333333333333,9.32614008585612e-05
