branch_key,seed,case_variant,run_name,config_key,background_mode,top_k,separation_profile,time_offset_family,assignment_policy_key,assignment_method,span_bonus_weight,candidate_budget,min_x_separation_mm,detected_candidate_count,assignment_status,assigned_candidate_count,assigned_x_values_mm,assigned_z_values_mm,assigned_detection_ranks,all_truths_within_tolerance,truth_hit_count,target0_hit,target1_hit,target2_hit,unique_truth_hit_count,unique_all_truths_within_tolerance,unique_target0_hit,unique_target1_hit,unique_target2_hit,assigned_truth_ranks,elapsed_time_s,case_label,assigned_candidate_count_numeric,assigned_x_span_mm_numeric,assigned_x_center_mm_numeric,assigned_min_x_gap_mm_numeric,assigned_gap_imbalance_mm_numeric,assigned_z_std_mm_numeric,rank_sum_numeric,max_rank_numeric,candidate_budget_numeric,top_k_numeric,unique_truth_hit_count_numeric,unique_all_truths_bool,unique_target0_bool,unique_target1_bool,unique_target2_bool,selector_label,selector_score,failure_label,cv_strategy,holdout_label,trained_selector_label
target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,median_top80_distinct20_single667,median,80,distinct20,single667,top10_minx8_span0p5,span0p5,0.5,10,8.0,16,assigned,3,"190,239,259","84,75,80","4,2,1",False,1,True,False,False,1,False,True,False,False,"1,2,3",0.00011110305786132812,target2_close14|seed13|nominal,3,69.0,229.33333333333334,20.0,29.0,3.681787005729087,7,4,10,80,1,False,True,False,False,span_target70_w1_rank_lite_center0.06_gap0,1294.4863642598855,target1_target2_missed,leave_one_case,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,span_target70_w1_rank_lite_center0.06_gap0
target2_close14,13,source_mismatch,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,median_top80_moderate12_single667,median,80,moderate12,single667,top10_minx8_span2,span2,2.0,10,8.0,29,assigned,3,"192,251,265","76,76,77","3,1,2",False,0,False,False,False,0,False,False,False,False,"1,2,3",0.00011777877807617188,target2_close14|seed13|source_mismatch,3,73.0,236.0,14.0,45.0,0.4714045207910317,6,3,10,80,0,False,False,False,False,span_target70_w0.5_rank_lite_center0.06_gap0,1295.050571909584,no_truth,leave_one_case,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,span_target70_w0.5_rank_lite_center0.06_gap0
target2_close14,21,nominal,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,mean_top80_distinct20_single667,mean,80,distinct20,single667,top10_minx8_span2,span2,2.0,10,8.0,14,assigned,3,"182,263,274","83,78,90","5,1,4",False,1,True,False,False,1,False,True,False,False,"1,2,3",0.0001232624053955078,target2_close14|seed21|nominal,3,92.0,239.66666666666666,11.0,70.0,4.9216076867444665,10,5,10,80,1,False,True,False,False,span_target120_w1_rank_lite_center0.06_gap0,1267.0815678462652,target1_target2_missed,leave_one_case,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,span_target120_w1_rank_lite_center0.06_gap0
target2_close14,21,source_mismatch,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,median_top80_moderate12_single667,median,80,moderate12,single667,top10_minx8_span2,span2,2.0,10,8.0,29,assigned,3,"196,249,266","75,75,77","4,1,2",False,0,False,False,False,0,False,False,False,False,"1,2,3",0.00010848045349121094,target2_close14|seed21|source_mismatch,3,70.0,237.0,17.0,36.0,0.9428090415820634,7,4,10,80,0,False,False,False,False,span_target70_w1_rank_lite_center0.06_gap0,1296.0011438191684,no_truth,leave_one_case,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,span_target70_w1_rank_lite_center0.06_gap0
target2_close14,34,nominal,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,mean_top80_distinct20_baseline,mean,80,distinct20,baseline,top10_minx8_span0p5,span0p5,0.5,10,8.0,14,assigned,3,"190,224,260","85,75,87","6,4,1",False,2,True,False,True,2,False,True,False,True,"1,2,3",0.00010037422180175781,target2_close14|seed34|nominal,3,70.0,224.66666666666666,34.0,2.0,5.2493385826745405,11,6,10,80,2,False,True,False,True,span_target70_w1_rank_lite_center0.06_gap0,1293.5750132283463,target1_missed,leave_one_case,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,span_target70_w1_rank_lite_center0.06_gap0
target2_close14,34,source_mismatch,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,none_top80_moderate12_single667,none,80,moderate12,single667,top10_minx20,score,0.0,10,20.0,29,assigned,3,"194,240,264","80,76,76","5,3,2",False,0,False,False,False,0,False,False,False,False,"1,2,3",7.724761962890625e-05,target2_close14|seed34|source_mismatch,3,70.0,232.66666666666666,24.0,22.0,1.8856180831641267,10,5,10,80,0,False,False,False,False,span_target70_w1_rank_lite_center0.06_gap0,1294.7222876383366,no_truth,leave_one_case,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,span_target70_w1_rank_lite_center0.06_gap0
target2_close50_linear29p5,13,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,none_top80_distinct20_wide,none,80,distinct20,wide,top10_minx8,score,0.0,10,8.0,17,assigned,3,"197,251,274","75,92,78","1,4,2",False,1,False,True,False,1,False,False,True,False,"1,2,3",0.00013756752014160156,target2_close50_linear29p5|seed13|nominal,3,77.0,240.66666666666666,23.0,31.0,7.408703590297623,7,4,10,80,1,False,False,True,False,span_target70_w1_rank_lite_center0.06_gap0,1289.091825928194,middle_only_target0_target2_missed,leave_one_case,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,span_target70_w1_rank_lite_center0.06_gap0
target2_close50_linear29p5,13,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,mean_top80_distinct20_baseline,mean,80,distinct20,baseline,top10_minx8,score,0.0,10,8.0,17,assigned,3,"213,257,277","104,78,75","6,1,4",False,0,False,False,False,0,False,False,False,False,"1,2,3",0.00013327598571777344,target2_close50_linear29p5|seed13|source_mismatch,3,64.0,249.0,20.0,24.0,13.021349989749739,11,6,10,80,0,False,False,False,False,span_target70_w1_rank_lite_center0.06_gap0,1288.8795730002048,no_truth,leave_one_case,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,span_target70_w1_rank_lite_center0.06_gap0
target2_close50_linear29p5,21,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,mean_top80_distinct20_single667,mean,80,distinct20,single667,top10_minx8_span0p5,span0p5,0.5,10,8.0,21,assigned,3,"183,247,258","108,86,75","6,1,2",False,1,False,True,False,1,False,False,True,False,"1,2,3",0.00012683868408203125,target2_close50_linear29p5|seed21|nominal,3,75.0,229.33333333333334,11.0,53.0,13.719410418171117,9,6,10,80,1,False,False,True,False,span_target70_w1_rank_lite_center0.06_gap0,1289.0856117916364,middle_only_target0_target2_missed,leave_one_case,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,span_target70_w1_rank_lite_center0.06_gap0
target2_close50_linear29p5,21,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,none_top80_moderate12_baseline,none,80,moderate12,baseline,top10_minx8_span2,span2,2.0,10,8.0,38,assigned,3,"237,249,303","75,78,91","10,1,9",False,1,False,False,True,1,False,False,False,True,"1,2,3",0.0001049041748046875,target2_close50_linear29p5|seed21|source_mismatch,3,66.0,263.0,12.0,42.0,6.944222218666553,20,10,10,80,1,False,False,False,True,span_target70_w1_rank_lite_center0.06_gap0,1286.8811155556266,target0_target1_missed,leave_one_case,local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,span_target70_w1_rank_lite_center0.06_gap0
