selector_label,case_count,all_truth_case_count,target0_hit_count,target1_hit_count,target2_hit_count,mean_unique_truth_hit_count,dominant_failure_label,rank_sum_weight,max_rank_weight,span_width_bonus,span_target_mm,span_target_weight,center_weight,gap_imbalance_weight,z_std_weight
span_target70_w1_rank_lite_center0.06_gap0,12,1,4,4,3,0.9166666666666666,no_truth,0.2,0.4,0.0,70.0,1.0,0.06,0.0,0.02
span_target70_w2_rank_lite_center0.06_gap0,12,1,4,4,3,0.9166666666666666,no_truth,0.2,0.4,0.0,70.0,2.0,0.06,0.0,0.02
span_target70_w2_rank_medium_center0.06_gap0,12,1,4,3,3,0.8333333333333334,no_truth,0.45,0.9,0.0,70.0,2.0,0.06,0.0,0.02
span_target70_w0.5_rank_lite_center0.06_gap0,12,1,3,4,3,0.8333333333333334,no_truth,0.2,0.4,0.0,70.0,0.5,0.06,0.0,0.02
span_target70_w0.5_rank_lite_center0_gap0,12,1,4,2,3,0.75,no_truth,0.2,0.4,0.0,70.0,0.5,0.0,0.0,0.02
span_target70_w1_rank_lite_center0_gap0,12,1,4,2,3,0.75,no_truth,0.2,0.4,0.0,70.0,1.0,0.0,0.0,0.02
span_target70_w2_rank_lite_center0_gap0,12,1,4,2,3,0.75,no_truth,0.2,0.4,0.0,70.0,2.0,0.0,0.0,0.02
span_target70_w2_rank_medium_center0_gap0,12,1,4,2,3,0.75,no_truth,0.45,0.9,0.0,70.0,2.0,0.0,0.0,0.02
span_target70_w1_rank_medium_center0.06_gap0,12,1,3,3,3,0.75,no_truth,0.45,0.9,0.0,70.0,1.0,0.06,0.0,0.02
span_target70_w1_rank_medium_center0_gap0,12,1,3,3,3,0.75,no_truth,0.45,0.9,0.0,70.0,1.0,0.0,0.0,0.02
span_target70_w0.5_rank_medium_center0.06_gap0,12,1,3,3,2,0.6666666666666666,no_truth,0.45,0.9,0.0,70.0,0.5,0.06,0.0,0.02
span_target75_w2_rank_lite_center0.06_gap0,12,1,3,4,1,0.6666666666666666,no_truth,0.2,0.4,0.0,75.0,2.0,0.06,0.0,0.02
span_target70_w0.5_rank_medium_center0_gap0,12,1,3,2,2,0.5833333333333334,no_truth,0.45,0.9,0.0,70.0,0.5,0.0,0.0,0.02
span_target75_w2_rank_lite_center0_gap0,12,1,3,3,1,0.5833333333333334,no_truth,0.2,0.4,0.0,75.0,2.0,0.0,0.0,0.02
span_target75_w0.5_rank_lite_center0.06_gap0,12,1,2,4,1,0.5833333333333334,no_truth,0.2,0.4,0.0,75.0,0.5,0.06,0.0,0.02
span_target75_w1_rank_lite_center0.06_gap0,12,1,2,4,1,0.5833333333333334,no_truth,0.2,0.4,0.0,75.0,1.0,0.06,0.0,0.02
span_target75_w0.5_rank_lite_center0_gap0,12,1,2,3,1,0.5,no_truth,0.2,0.4,0.0,75.0,0.5,0.0,0.0,0.02
span_target75_w1_rank_lite_center0_gap0,12,1,2,3,1,0.5,no_truth,0.2,0.4,0.0,75.0,1.0,0.0,0.0,0.02
span_target75_w1_rank_medium_center0.06_gap0,12,1,2,3,1,0.5,no_truth,0.45,0.9,0.0,75.0,1.0,0.06,0.0,0.02
span_target75_w1_rank_medium_center0_gap0,12,1,2,3,1,0.5,no_truth,0.45,0.9,0.0,75.0,1.0,0.0,0.0,0.02
span_target75_w2_rank_medium_center0.06_gap0,12,1,2,3,1,0.5,no_truth,0.45,0.9,0.0,75.0,2.0,0.06,0.0,0.02
span_target75_w2_rank_medium_center0_gap0,12,1,2,3,1,0.5,no_truth,0.45,0.9,0.0,75.0,2.0,0.0,0.0,0.02
span_target120_w1_rank_lite_center0.06_gap0,12,0,4,4,3,0.9166666666666666,no_truth,0.2,0.4,0.0,120.0,1.0,0.06,0.0,0.02
span_target120_w2_rank_medium_center0.06_gap0,12,0,4,4,3,0.9166666666666666,no_truth,0.45,0.9,0.0,120.0,2.0,0.06,0.0,0.02
span_target120_w2_rank_medium_center0_gap0,12,0,4,4,3,0.9166666666666666,no_truth,0.45,0.9,0.0,120.0,2.0,0.0,0.0,0.02
span_target120_w1_rank_lite_center0_gap0,12,0,4,3,3,0.8333333333333334,no_truth,0.2,0.4,0.0,120.0,1.0,0.0,0.0,0.02
span_target70_w2_rank_lite_center0.06_gap0.06,12,0,4,3,3,0.8333333333333334,no_truth,0.2,0.4,0.0,70.0,2.0,0.06,0.06,0.02
span_target70_w2_rank_medium_center0.06_gap0.06,12,0,4,3,3,0.8333333333333334,no_truth,0.45,0.9,0.0,70.0,2.0,0.06,0.06,0.02
span_target80_w1_rank_lite_center0.06_gap0.06,12,0,2,5,3,0.8333333333333334,no_truth,0.2,0.4,0.0,80.0,1.0,0.06,0.06,0.02
