objective,candidate_triple_budget,first_all_truth_case_count,case_count,case_fraction
sum,1,0,12,0.0
sum,3,0,12,0.0
sum,5,0,12,0.0
sum,10,0,12,0.0
sum,20,0,12,0.0
sum,50,1,12,0.08333333333333333
sum,100,6,12,0.5
sum,200,9,12,0.75
sum,500,12,12,1.0
sum,1140,12,12,1.0
span_bonus,1,0,12,0.0
span_bonus,3,0,12,0.0
span_bonus,5,0,12,0.0
span_bonus,10,2,12,0.16666666666666666
span_bonus,20,6,12,0.5
span_bonus,50,8,12,0.6666666666666666
span_bonus,100,10,12,0.8333333333333334
span_bonus,200,12,12,1.0
span_bonus,500,12,12,1.0
span_bonus,1140,12,12,1.0
min,1,0,12,0.0
min,3,0,12,0.0
min,5,0,12,0.0
min,10,0,12,0.0
min,20,0,12,0.0
min,50,2,12,0.16666666666666666
min,100,3,12,0.25
min,200,4,12,0.3333333333333333
min,500,11,12,0.9166666666666666
min,1140,12,12,1.0
min_span,1,0,12,0.0
min_span,3,0,12,0.0
min_span,5,1,12,0.08333333333333333
min_span,10,1,12,0.08333333333333333
min_span,20,3,12,0.25
min_span,50,4,12,0.3333333333333333
min_span,100,10,12,0.8333333333333334
min_span,200,11,12,0.9166666666666666
min_span,500,12,12,1.0
min_span,1140,12,12,1.0
balanced,1,0,12,0.0
balanced,3,0,12,0.0
balanced,5,0,12,0.0
balanced,10,2,12,0.16666666666666666
balanced,20,2,12,0.16666666666666666
balanced,50,8,12,0.6666666666666666
balanced,100,9,12,0.75
balanced,200,12,12,1.0
balanced,500,12,12,1.0
balanced,1140,12,12,1.0
mask,1,0,12,0.0
mask,3,0,12,0.0
mask,5,1,12,0.08333333333333333
mask,10,1,12,0.08333333333333333
mask,20,1,12,0.08333333333333333
mask,50,4,12,0.3333333333333333
mask,100,6,12,0.5
mask,200,10,12,0.8333333333333334
mask,500,12,12,1.0
mask,1140,12,12,1.0
