objective,candidate_triple_budget,first_all_truth_case_count,case_count,case_fraction
component_balanced,1,0,12,0.0
component_balanced,3,1,12,0.08333333333333333
component_balanced,5,1,12,0.08333333333333333
component_balanced,10,3,12,0.25
component_balanced,20,5,12,0.4166666666666667
component_balanced,50,10,12,0.8333333333333334
component_balanced,100,11,12,0.9166666666666666
component_balanced,200,12,12,1.0
component_balanced,500,12,12,1.0
component_balanced,1140,12,12,1.0
hybrid_span_component,1,0,12,0.0
hybrid_span_component,3,0,12,0.0
hybrid_span_component,5,0,12,0.0
hybrid_span_component,10,1,12,0.08333333333333333
hybrid_span_component,20,2,12,0.16666666666666666
hybrid_span_component,50,8,12,0.6666666666666666
hybrid_span_component,100,9,12,0.75
hybrid_span_component,200,12,12,1.0
hybrid_span_component,500,12,12,1.0
hybrid_span_component,1140,12,12,1.0
component_floor_span,1,0,12,0.0
component_floor_span,3,0,12,0.0
component_floor_span,5,0,12,0.0
component_floor_span,10,0,12,0.0
component_floor_span,20,2,12,0.16666666666666666
component_floor_span,50,5,12,0.4166666666666667
component_floor_span,100,9,12,0.75
component_floor_span,200,12,12,1.0
component_floor_span,500,12,12,1.0
component_floor_span,1140,12,12,1.0
component_left_floor,1,0,12,0.0
component_left_floor,3,0,12,0.0
component_left_floor,5,0,12,0.0
component_left_floor,10,0,12,0.0
component_left_floor,20,1,12,0.08333333333333333
component_left_floor,50,4,12,0.3333333333333333
component_left_floor,100,8,12,0.6666666666666666
component_left_floor,200,11,12,0.9166666666666666
component_left_floor,500,12,12,1.0
component_left_floor,1140,12,12,1.0
component_sum,1,0,12,0.0
component_sum,3,0,12,0.0
component_sum,5,0,12,0.0
component_sum,10,0,12,0.0
component_sum,20,0,12,0.0
component_sum,50,0,12,0.0
component_sum,100,4,12,0.3333333333333333
component_sum,200,7,12,0.5833333333333334
component_sum,500,12,12,1.0
component_sum,1140,12,12,1.0
component_mean_min,1,0,12,0.0
component_mean_min,3,0,12,0.0
component_mean_min,5,0,12,0.0
component_mean_min,10,0,12,0.0
component_mean_min,20,0,12,0.0
component_mean_min,50,0,12,0.0
component_mean_min,100,2,12,0.16666666666666666
component_mean_min,200,5,12,0.4166666666666667
component_mean_min,500,11,12,0.9166666666666666
component_mean_min,1140,12,12,1.0
component_min,1,0,12,0.0
component_min,3,0,12,0.0
component_min,5,0,12,0.0
component_min,10,0,12,0.0
component_min,20,0,12,0.0
component_min,50,0,12,0.0
component_min,100,2,12,0.16666666666666666
component_min,200,4,12,0.3333333333333333
component_min,500,10,12,0.8333333333333334
component_min,1140,12,12,1.0
