case_label,branch_key,seed,case_variant,objective,combo_count,first_all_truth_rank,top_unique_all_truths,top_unique_truth_hit_count,top_target0_hit,top_target1_hit,top_target2_hit,top_candidate_ranks,top_candidate_x_values_mm
target2_close14|seed13|nominal,target2_close14,13,nominal,component_sum,1140,204.0,False,1,False,False,True,"2,3,1","261,263,265"
target2_close14|seed13|nominal,target2_close14,13,nominal,component_min,1140,369.0,False,1,False,False,True,"2,3,1","261,263,265"
target2_close14|seed13|nominal,target2_close14,13,nominal,component_mean_min,1140,320.0,False,1,False,False,True,"2,3,1","261,263,265"
target2_close14|seed13|nominal,target2_close14,13,nominal,component_floor_span,1140,108.0,False,2,True,False,True,"16,1,17","183,265,274"
target2_close14|seed13|nominal,target2_close14,13,nominal,component_balanced,1140,50.0,False,1,False,False,True,"7,2,4","221,261,273"
target2_close14|seed13|nominal,target2_close14,13,nominal,component_left_floor,1140,160.0,False,1,False,False,True,"7,1,4","221,265,273"
target2_close14|seed13|nominal,target2_close14,13,nominal,hybrid_span_component,1140,47.0,False,1,False,False,True,"7,2,1","221,261,265"
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,component_sum,1140,69.0,False,1,False,False,True,"3,1,2","250,264,266"
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,component_min,1140,94.0,False,1,False,False,True,"3,1,2","250,264,266"
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,component_mean_min,1140,65.0,False,1,False,False,True,"3,1,2","250,264,266"
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,component_floor_span,1140,33.0,False,1,True,False,False,"9,1,12","188,264,273"
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,component_balanced,1140,12.0,False,1,True,False,False,"9,3,1","188,250,264"
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,component_left_floor,1140,32.0,False,1,True,False,False,"9,1,12","188,264,273"
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,hybrid_span_component,1140,24.0,False,1,False,False,True,"3,1,2","250,264,266"
target2_close14|seed21|nominal,target2_close14,21,nominal,component_sum,1140,73.0,False,2,False,True,True,"3,2,1","254,263,266"
target2_close14|seed21|nominal,target2_close14,21,nominal,component_min,1140,288.0,False,2,False,True,True,"3,2,1","254,263,266"
target2_close14|seed21|nominal,target2_close14,21,nominal,component_mean_min,1140,162.0,False,2,False,True,True,"3,2,1","254,263,266"
target2_close14|seed21|nominal,target2_close14,21,nominal,component_floor_span,1140,164.0,False,1,False,False,True,"14,1,7","186,266,274"
target2_close14|seed21|nominal,target2_close14,21,nominal,component_balanced,1140,12.0,False,1,False,False,True,"6,2,1","220,263,266"
target2_close14|seed21|nominal,target2_close14,21,nominal,component_left_floor,1140,172.0,False,1,False,False,True,"6,1,7","220,266,274"
target2_close14|seed21|nominal,target2_close14,21,nominal,hybrid_span_component,1140,12.0,False,2,False,True,True,"3,2,1","254,263,266"
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,component_sum,1140,87.0,False,1,False,False,True,"2,1,4","251,263,271"
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,component_min,1140,100.0,False,1,False,False,True,"2,1,4","251,263,271"
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,component_mean_min,1140,82.0,False,1,False,False,True,"2,1,4","251,263,271"
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,component_floor_span,1140,66.0,False,0,False,False,False,"10,1,13","181,263,273"
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,component_balanced,1140,23.0,False,1,False,False,True,"10,1,4","181,263,271"
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,component_left_floor,1140,55.0,False,0,False,False,False,"10,1,13","181,263,273"
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,hybrid_span_component,1140,31.0,False,0,False,False,False,"10,2,1","181,251,263"
target2_close14|seed34|nominal,target2_close14,34,nominal,component_sum,1140,238.0,False,1,False,False,True,"1,3,2","260,262,272"
target2_close14|seed34|nominal,target2_close14,34,nominal,component_min,1140,370.0,False,1,False,False,True,"1,3,2","260,262,272"
target2_close14|seed34|nominal,target2_close14,34,nominal,component_mean_min,1140,309.0,False,1,False,False,True,"1,3,2","260,262,272"
target2_close14|seed34|nominal,target2_close14,34,nominal,component_floor_span,1140,36.0,False,2,True,False,True,"15,1,5","188,260,274"
target2_close14|seed34|nominal,target2_close14,34,nominal,component_balanced,1140,43.0,False,1,False,False,True,"8,1,2","224,260,272"
target2_close14|seed34|nominal,target2_close14,34,nominal,component_left_floor,1140,85.0,False,1,False,False,True,"8,1,5","224,260,274"
target2_close14|seed34|nominal,target2_close14,34,nominal,hybrid_span_component,1140,107.0,False,1,False,False,True,"1,3,2","260,262,272"
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,component_sum,1140,91.0,False,1,False,False,True,"1,3,2","261,263,273"
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,component_min,1140,169.0,False,1,False,False,True,"1,3,2","261,263,273"
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,component_mean_min,1140,141.0,False,1,False,False,True,"1,3,2","261,263,273"
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,component_floor_span,1140,74.0,False,2,True,False,True,"10,1,2","188,261,273"
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,component_balanced,1140,24.0,False,2,True,False,True,"10,1,2","188,261,273"
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,component_left_floor,1140,86.0,False,2,True,False,True,"10,1,2","188,261,273"
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,hybrid_span_component,1140,23.0,False,2,True,False,True,"10,1,2","188,261,273"
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,component_sum,680,304.0,False,1,False,True,False,"2,3,1","250,250,270"
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,component_min,680,394.0,False,1,False,True,False,"2,3,1","250,250,270"
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,component_mean_min,680,391.0,False,1,False,True,False,"2,3,1","250,250,270"
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,component_floor_span,680,184.0,False,0,False,False,False,"7,1,10","184,270,301"
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,component_balanced,680,151.0,False,0,False,False,False,"7,1,6","184,270,299"
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,component_left_floor,680,287.0,False,0,False,False,False,"7,1,10","184,270,301"
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,hybrid_span_component,680,168.0,False,0,False,False,False,"7,2,1","184,250,270"
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,component_sum,680,195.0,False,1,False,True,False,"1,2,4","257,258,277"
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,component_min,680,386.0,False,1,False,True,False,"1,2,4","257,258,277"
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,component_mean_min,680,263.0,False,1,False,True,False,"1,2,4","257,258,277"
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,component_floor_span,680,13.0,False,1,False,False,True,"9,1,11","187,257,305"
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,component_balanced,680,6.0,False,1,False,False,True,"9,1,11","187,257,305"
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,component_left_floor,680,35.0,False,1,False,False,True,"9,1,11","187,257,305"
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,hybrid_span_component,680,22.0,False,1,False,True,False,"9,1,2","187,257,258"
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,component_sum,1140,452.0,False,1,False,True,False,"1,3,2","253,256,272"
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,component_min,1140,714.0,False,1,False,True,False,"1,3,2","253,256,272"
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,component_mean_min,1140,580.0,False,1,False,True,False,"1,3,2","253,256,272"
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,component_floor_span,1140,81.0,False,1,False,False,True,"10,1,11","183,253,301"
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,component_balanced,1140,56.0,False,1,False,False,True,"10,2,11","183,272,301"
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,component_left_floor,1140,170.0,False,1,False,False,True,"10,1,11","183,253,301"
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,hybrid_span_component,1140,119.0,False,1,False,True,False,"1,3,2","253,256,272"
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,component_sum,1140,119.0,False,1,False,True,False,"1,2,3","252,253,272"
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,component_min,1140,127.0,False,1,False,True,False,"1,2,3","252,253,272"
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,component_mean_min,1140,102.0,False,1,False,True,False,"1,2,3","252,253,272"
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,component_floor_span,1140,12.0,False,2,False,True,True,"8,1,9","183,252,303"
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,component_balanced,1140,3.0,False,2,False,True,True,"8,1,9","183,252,303"
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,component_left_floor,1140,14.0,False,2,False,True,True,"8,1,9","183,252,303"
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,hybrid_span_component,1140,7.0,False,1,False,True,False,"8,1,3","183,252,272"
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,component_sum,1140,425.0,False,1,False,True,False,"3,2,1","256,257,272"
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,component_min,1140,583.0,False,1,False,True,False,"3,2,1","256,257,272"
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,component_mean_min,1140,498.0,False,1,False,True,False,"3,2,1","256,257,272"
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,component_floor_span,1140,54.0,False,1,False,False,True,"13,1,10","185,272,303"
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,component_balanced,1140,27.0,False,1,False,False,True,"13,1,10","185,272,303"
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,component_left_floor,1140,56.0,False,1,False,False,True,"13,1,10","185,272,303"
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,hybrid_span_component,1140,77.0,False,1,False,True,False,"3,2,1","256,257,272"
target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,component_sum,560,119.0,False,1,False,True,False,"3,1,2","248,250,270"
target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,component_min,560,226.0,False,1,False,True,False,"3,1,2","248,250,270"
target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,component_mean_min,560,202.0,False,1,False,True,False,"3,1,2","248,250,270"
target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,component_floor_span,560,41.0,False,2,False,True,True,"8,1,7","181,250,295"
target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,component_balanced,560,10.0,False,2,False,True,True,"8,1,7","181,250,295"
