case_label,branch_key,seed,case_variant,run_name,selector_label,candidate_triple_count,all_truth_triple_count,selected_all_truth,selected_score,best_truth_score,best_wrong_score,truth_score_minus_selected_score,required_selector_gain_to_choose_truth,best_truth_score_minus_best_wrong_score,dominant_loss_feature,selected_combo_index,selected_candidate_ranks,selected_candidate_x_values_mm,selected_candidate_z_values_mm,selected_unique_truth_hit_count,selected_failure_label,best_truth_combo_index,best_truth_candidate_ranks,best_truth_candidate_x_values_mm,best_truth_candidate_z_values_mm,best_truth_unique_truth_hit_count,best_truth_failure_label,best_wrong_combo_index,best_wrong_candidate_ranks,best_wrong_candidate_x_values_mm,best_wrong_candidate_z_values_mm,best_wrong_unique_truth_hit_count,best_wrong_failure_label,selected_score_component_balanced,best_truth_score_component_balanced,delta_truth_minus_selected_score_component_balanced,selected_score_hybrid_span_component,best_truth_score_hybrid_span_component,delta_truth_minus_selected_score_hybrid_span_component,selected_score_component_min,best_truth_score_component_min,delta_truth_minus_selected_score_component_min,selected_span_prior_score,best_truth_span_prior_score,delta_truth_minus_selected_span_prior_score,selected_signed_gap_prior_score,best_truth_signed_gap_prior_score,delta_truth_minus_selected_signed_gap_prior_score,selected_center_prior_score,best_truth_center_prior_score,delta_truth_minus_selected_center_prior_score,selected_rank_sum_score,best_truth_rank_sum_score,delta_truth_minus_selected_rank_sum_score,selected_max_rank_score,best_truth_max_rank_score,delta_truth_minus_selected_max_rank_score
target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,cb0.5_hy0.2_min0_span0.5_sgap4_center0.2_rank0.1,1140,8,False,1.2332032115306153,1.1981187134575308,1.2332032115306153,-0.03508449807308445,0.03508449807308445,-0.03508449807308445,signed_gap_prior_score,74,"14,6,1","186,249,265","77,93,85",2,missing_target0,73,"13,6,1","185,249,265","97,93,85",3,all_truth,74,"14,6,1","186,249,265","77,93,85",2,missing_target0,0.7147585012947536,0.7175100042828607,0.002751502988107113,0.696778043569195,0.7004420425080036,0.0036639989388085326,0.0,0.0,0.0,-0.025,-0.03,-0.0049999999999999975,-0.08,-0.12,-0.039999999999999994,-0.003333333333333315,-0.004,-0.0006666666666666852,-0.034999999999999996,-0.03333333333333333,0.0016666666666666635,-0.034999999999999996,-0.0325,0.0024999999999999953
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,cb0.5_hy0.2_min0_span0.5_sgap4_center0.2_rank0.1,1140,4,False,1.264052316533106,1.0830748174644271,1.264052316533106,-0.18097749906867877,0.18097749906867877,-0.18097749906867877,signed_gap_prior_score,177,"9,3,2","188,250,266","85,78,90",2,missing_target1,193,"9,4,2","188,252,266","85,87,90",3,all_truth,177,"9,3,2","188,250,266","85,78,90",2,missing_target1,0.7097079698747452,0.7058114999199081,-0.0038964699548370563,0.6608443466583607,0.6454299842111855,-0.0154143624471752,0.0,0.0,0.0,-0.02,-0.02,0.0,-0.04,-0.2,-0.16,-0.0006666666666666856,-0.0006666666666666856,0.0,-0.023333333333333334,-0.025,-0.001666666666666667,-0.022500000000000003,-0.022500000000000003,0.0
target2_close14|seed21|nominal,target2_close14,21,nominal,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,cb0.5_hy0.2_min0_span0.5_sgap4_center0.2_rank0.1,1140,4,False,1.332977592849972,1.2288255179659038,1.332977592849972,-0.1041520748840683,0.1041520748840683,-0.1041520748840683,signed_gap_prior_score,59,"13,5,1","191,251,266","86,78,91",2,missing_target1,33,"18,3,1","198,254,266","95,91,91",3,all_truth,59,"13,5,1","191,251,266","86,78,91",2,missing_target1,0.7189212878451587,0.7026836096072404,-0.01623767823791833,0.6852229716714799,0.6864752416919966,0.0012522700205166437,0.0,0.0,0.0,-0.005,-0.03,-0.024999999999999998,-0.0,-0.04,-0.04,-0.002,-0.008666666666666685,-0.006666666666666685,-0.03166666666666667,-0.03666666666666667,-0.0049999999999999975,-0.0325,-0.045000000000000005,-0.012500000000000004
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,cb0.5_hy0.2_min0_span0.5_sgap4_center0.2_rank0.1,1140,4,False,1.3364136906184398,1.182217790981194,1.3364136906184398,-0.1541958996372459,0.1541958996372459,-0.1541958996372459,score_hybrid_span_component,5,"7,2,1","194,251,263","86,76,81",1,missing_target1_target2,481,"12,6,4","190,253,271","95,94,91",3,all_truth,5,"7,2,1","194,251,263","86,76,81",1,missing_target1_target2,0.7092466930855795,0.6735131162032391,-0.03573357688234047,0.6883336641995269,0.6163713414446215,-0.07196232275490544,0.0,0.0,0.0,-0.025,-0.035,-0.010000000000000002,-0.0,-0.0,0.0,-0.002,-0.006,-0.004,-0.016666666666666666,-0.03666666666666667,-0.02,-0.017499999999999998,-0.03,-0.0125
target2_close14|seed34|nominal,target2_close14,34,nominal,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,cb0.5_hy0.2_min0_span0.5_sgap4_center0.2_rank0.1,1140,12,True,1.2524995625348008,1.2524995625348008,1.2458251312095874,0.0,0.0,0.0066744313252133924,selected_truth,87,"14,7,1","190,248,260","85,89,87",3,all_truth,87,"14,7,1","190,248,260","85,89,87",3,all_truth,377,"15,7,3","188,248,262","95,89,78",2,missing_target2,0.7059897254993699,0.7059897254993699,0.0,0.6828431703687641,0.6828431703687641,0.0,0.0,0.0,0.0,-0.02,-0.02,0.0,-0.04,-0.04,0.0,-0.004666666666666686,-0.004666666666666686,0.0,-0.03666666666666667,-0.03666666666666667,0.0,-0.034999999999999996,-0.034999999999999996,0.0
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,cb0.5_hy0.2_min0_span0.5_sgap4_center0.2_rank0.1,1140,8,True,1.322280338932385,1.322280338932385,1.3084624254548733,0.0,0.0,0.0138179134775116,selected_truth,56,"10,5,1","188,247,261","83,85,83",3,all_truth,56,"10,5,1","188,247,261","83,85,83",3,all_truth,331,"11,4,3","190,249,263","75,77,75",0,missing_target0_target1_target2,0.7139693573633091,0.7139693573633091,0.0,0.6709776482357422,0.6709776482357422,0.0,0.0,0.0,0.0,-0.005,-0.005,0.0,-0.0,-0.0,0.0,-0.006,-0.006,0.0,-0.02666666666666667,-0.02666666666666667,0.0,-0.025,-0.025,0.0
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,cb0.5_hy0.2_min0_span0.5_sgap4_center0.2_rank0.1,680,1,False,1.3180654126663824,0.980773245809572,1.3180654126663824,-0.3372921668568104,0.3372921668568104,-0.3372921668568104,signed_gap_prior_score,173,"7,2,10","184,250,301","110,102,103",0,missing_target0_target1_target2,278,"15,3,8","187,250,294","85,84,92",3,all_truth,173,"7,2,10","184,250,301","110,102,103",0,missing_target0_target1_target2,0.7544057443284343,0.6639335103165729,-0.09047223401186144,0.6553263350046148,0.5953397354929989,-0.05998659951161589,0.0,0.0,0.0,-0.025,-0.025,0.0,-0.0,-0.16,-0.16,-0.010000000000000002,-0.012666666666666685,-0.0026666666666666835,-0.03166666666666667,-0.043333333333333335,-0.011666666666666665,-0.025,-0.037500000000000006,-0.012500000000000004
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,cb0.5_hy0.2_min0_span0.5_sgap4_center0.2_rank0.1,680,1,False,1.196491307261035,0.6459507295632896,1.196491307261035,-0.5505405776977454,0.5505405776977454,-0.5505405776977454,signed_gap_prior_score,282,"9,3,11","187,253,305","102,100,90",1,missing_target0_target1,208,"15,2,11","182,258,305","90,90,90",3,all_truth,282,"9,3,11","187,253,305","102,100,90",1,missing_target0_target1,0.7237715097278211,0.7298138543862819,0.006042344658460763,0.6118864641998809,0.6186368751770076,0.006750410977126697,0.0,0.0,0.0,-0.03,-0.055,-0.025,-0.04,-0.56,-0.52,-0.003333333333333315,-0.003333333333333315,0.0,-0.03833333333333334,-0.04666666666666667,-0.008333333333333331,-0.027500000000000004,-0.037500000000000006,-0.010000000000000002
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,cb0.5_hy0.2_min0_span0.5_sgap4_center0.2_rank0.1,1140,2,False,1.1874689922941566,0.9013193186691911,1.1874689922941566,-0.28614967362496546,0.28614967362496546,-0.28614967362496546,signed_gap_prior_score,163,"18,1,16","188,253,303","97,101,109",1,missing_target1_target2,422,"18,3,11","188,256,301","97,89,87",3,all_truth,163,"18,1,16","188,253,303","97,101,109",1,missing_target1_target2,0.6987031098416008,0.7074587109042788,0.008755601062678031,0.611099215785889,0.620527274431579,0.009428058645689963,0.0,0.0,0.0,-0.015,-0.005,0.009999999999999998,-0.0,-0.32,-0.32,-0.004,-0.003333333333333315,0.0006666666666666852,-0.05833333333333334,-0.05333333333333334,0.0050000000000000044,-0.045000000000000005,-0.045000000000000005,0.0
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,cb0.5_hy0.2_min0_span0.5_sgap4_center0.2_rank0.1,1140,2,True,1.276066325911701,1.276066325911701,1.1829523879958679,0.0,0.0,0.09311393791583322,selected_truth,261,"12,2,9","188,253,303","97,93,91",3,all_truth,261,"12,2,9","188,253,303","97,93,91",3,all_truth,94,"8,1,9","183,252,303","108,82,91",2,missing_target0,0.7420761205410367,0.7420761205410367,0.0,0.6213235387039977,0.6213235387039977,0.0,0.0,0.0,0.0,-0.015,-0.015,0.0,-0.0,-0.0,0.0,-0.004,-0.004,0.0,-0.03833333333333334,-0.03833333333333334,0.0,-0.03,-0.03,0.0
