variant_label,depth_weight,slot_weight,case_count,all_truth_case_count,failed_selector_case_count,mean_unique_truth_hit_count,missing_target0_case_count,missing_target1_case_count,missing_target2_case_count,multi_target_failure_case_count,dominant_failure_label
depth12_slot1,12.0,1.0,12,5,7,2.4166666666666665,0,4,3,0,missing_target1
depth12_slot0,12.0,0.0,12,5,7,2.3333333333333335,0,3,5,1,missing_target2
depth12_slot0.1,12.0,0.1,12,5,7,2.3333333333333335,0,3,5,1,missing_target2
depth12_slot0.2,12.0,0.2,12,5,7,2.3333333333333335,0,4,4,1,missing_target1
depth12_slot0.5,12.0,0.5,12,5,7,2.3333333333333335,0,4,4,1,missing_target1
depth8_slot0,8.0,0.0,12,5,7,2.25,1,3,5,2,missing_target2
depth8_slot0.1,8.0,0.1,12,5,7,2.25,1,4,4,2,missing_target2
depth12_slot2,12.0,2.0,12,4,8,2.25,1,4,4,1,missing_target2
depth4_slot0,4.0,0.0,12,4,8,2.25,1,5,3,1,missing_target1
depth4_slot0.1,4.0,0.1,12,4,8,2.25,1,5,3,1,missing_target1
depth4_slot0.2,4.0,0.2,12,4,8,2.25,1,5,3,1,missing_target1
depth4_slot0.5,4.0,0.5,12,4,8,2.25,1,5,3,1,missing_target1
depth4_slot1,4.0,1.0,12,4,8,2.25,1,5,3,1,missing_target1
depth8_slot1,8.0,1.0,12,4,8,2.25,1,5,3,1,missing_target1
depth2_slot1,2.0,1.0,12,4,8,2.1666666666666665,2,5,3,2,missing_target1
depth8_slot0.2,8.0,0.2,12,4,8,2.1666666666666665,1,5,4,2,missing_target1
depth8_slot0.5,8.0,0.5,12,4,8,2.1666666666666665,1,5,4,2,missing_target1
depth8_slot2,8.0,2.0,12,4,8,2.1666666666666665,1,5,4,2,missing_target1
depth8_slot4,8.0,4.0,12,4,8,2.1666666666666665,1,5,4,2,missing_target1
depth12_slot4,12.0,4.0,12,4,8,2.1666666666666665,1,5,4,2,missing_target1
depth2_slot0,2.0,0.0,12,4,8,2.1666666666666665,1,6,3,2,missing_target1
depth2_slot0.1,2.0,0.1,12,4,8,2.1666666666666665,1,6,3,2,missing_target1
depth2_slot0.2,2.0,0.2,12,4,8,2.1666666666666665,1,6,3,2,missing_target1
depth4_slot2,4.0,2.0,12,4,8,2.0833333333333335,2,5,4,3,missing_target1
depth2_slot0.5,2.0,0.5,12,4,8,2.0833333333333335,2,6,3,3,missing_target1
depth2_slot2,2.0,2.0,12,4,8,2.0,3,5,4,4,missing_target1
depth4_slot4,4.0,4.0,12,4,8,2.0,3,5,4,4,missing_target1
depth1_slot0,1.0,0.0,12,3,9,2.0,4,6,2,3,missing_target1
depth12_slot8,12.0,8.0,12,3,9,2.0,2,6,4,3,missing_target1
depth1_slot0.1,1.0,0.1,12,3,9,1.9166666666666667,4,6,3,4,missing_target1
depth1_slot1,1.0,1.0,12,3,9,1.9166666666666667,4,6,3,4,missing_target1
depth0.5_slot0,0.5,0.0,12,3,9,1.8333333333333333,6,6,2,5,missing_target0_target1
depth1_slot0.2,1.0,0.2,12,3,9,1.8333333333333333,5,6,3,5,missing_target1
depth1_slot0.5,1.0,0.5,12,3,9,1.8333333333333333,5,6,3,5,missing_target1
depth8_slot8,8.0,8.0,12,3,9,1.8333333333333333,3,6,5,4,missing_target1
depth0.5_slot0.1,0.5,0.1,12,3,9,1.75,6,6,3,6,missing_target0_target1
depth0.5_slot0.2,0.5,0.2,12,3,9,1.75,6,6,3,6,missing_target0_target1
depth0.5_slot0.5,0.5,0.5,12,3,9,1.75,6,6,3,6,missing_target0_target1
depth0.5_slot1,0.5,1.0,12,3,9,1.75,6,6,3,6,missing_target0_target1
depth0_slot0,0.0,0.0,12,3,9,1.75,5,7,3,5,missing_target0
depth0.1_slot0,0.1,0.0,12,3,9,1.75,5,7,3,5,missing_target0
depth0.2_slot0,0.2,0.0,12,3,9,1.75,6,7,2,5,missing_target0_target1
depth0_slot0.1,0.0,0.1,12,3,9,1.6666666666666667,5,7,4,6,missing_target1
depth0_slot0.2,0.0,0.2,12,3,9,1.6666666666666667,5,7,4,6,missing_target1
depth0.1_slot0.1,0.1,0.1,12,3,9,1.6666666666666667,5,7,4,6,missing_target1
depth0.1_slot0.2,0.1,0.2,12,3,9,1.6666666666666667,6,7,3,6,missing_target0_target1
depth0.2_slot0.1,0.2,0.1,12,3,9,1.6666666666666667,6,7,3,6,missing_target0_target1
depth0.2_slot0.2,0.2,0.2,12,3,9,1.6666666666666667,6,7,3,6,missing_target0_target1
depth0.2_slot0.5,0.2,0.5,12,3,9,1.6666666666666667,6,7,3,6,missing_target0_target1
depth2_slot4,2.0,4.0,12,2,10,1.75,4,5,6,4,missing_target2
depth4_slot8,4.0,8.0,12,2,10,1.75,3,6,6,4,missing_target1
depth1_slot2,1.0,2.0,12,2,10,1.6666666666666667,5,6,5,6,missing_target0_target1
depth0.5_slot4,0.5,4.0,12,1,11,1.3333333333333333,6,7,7,7,missing_target1_target2
depth1_slot4,1.0,4.0,12,1,11,1.3333333333333333,6,7,7,7,missing_target1_target2
depth0.2_slot4,0.2,4.0,12,1,11,1.25,6,8,7,8,missing_target1_target2
depth0.5_slot2,0.5,2.0,12,1,11,1.25,7,8,6,9,missing_target1_target2
depth2_slot8,2.0,8.0,12,1,11,1.25,6,8,7,8,missing_target0_target1
depth0_slot0.5,0.0,0.5,12,1,11,1.25,7,9,5,8,missing_target0_target1
depth0_slot1,0.0,1.0,12,1,11,1.25,7,9,5,8,missing_target0_target1
depth0.1_slot0.5,0.1,0.5,12,1,11,1.25,7,9,5,8,missing_target0_target1
depth0.1_slot1,0.1,1.0,12,1,11,1.25,7,9,5,8,missing_target0_target1
depth0.2_slot1,0.2,1.0,12,1,11,1.25,7,9,5,8,missing_target0_target1
depth0_slot4,0.0,4.0,12,1,11,1.1666666666666667,7,8,7,8,missing_target0_target1_target2
depth0.1_slot4,0.1,4.0,12,1,11,1.1666666666666667,7,8,7,8,missing_target0_target1_target2
depth1_slot8,1.0,8.0,12,1,11,1.1666666666666667,7,8,7,9,missing_target0_target1
depth0.1_slot2,0.1,2.0,12,1,11,1.1666666666666667,7,9,6,9,missing_target1_target2
depth0.2_slot2,0.2,2.0,12,1,11,1.1666666666666667,7,9,6,9,missing_target1_target2
depth0_slot2,0.0,2.0,12,1,11,1.0833333333333333,7,9,7,9,missing_target1_target2
depth0.5_slot8,0.5,8.0,12,1,11,1.0833333333333333,7,9,7,10,missing_target0_target1
depth0_slot8,0.0,8.0,12,1,11,1.0,7,10,7,10,missing_target0_target1
depth0.1_slot8,0.1,8.0,12,1,11,1.0,7,10,7,10,missing_target0_target1
depth0.2_slot8,0.2,8.0,12,1,11,1.0,7,10,7,10,missing_target0_target1
