variant_label,slot_weight,depth_weight,score_weight,rank_weight,case_label,branch_key,seed,case_variant,run_name,component_candidate_count,selected_component_count,all_target_slots_hit,target_slot_hit_count,selected_x_values_mm,selected_z_values_mm,selected_ranks,slot_abs_errors_mm
slot1_depth0_score0.5_rank0,1.0,0.0,0.5,0.0,target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,20,3,True,3,"186,250,265","77,81,85","14,5,1","4,0,1"
slot1_depth0_score0.5_rank0,1.0,0.0,0.5,0.0,target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,20,3,True,3,"188,250,264","85,78,81","9,3,1","2,0,0"
slot1_depth0_score0.5_rank0,1.0,0.0,0.5,0.0,target2_close14|seed21|nominal,target2_close14,21,nominal,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,20,3,True,3,"191,250,263","86,100,82","13,8,2","1,0,1"
slot1_depth0_score0.5_rank0,1.0,0.0,0.5,0.0,target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,20,3,True,3,"190,251,263","95,76,81","12,2,1","0,1,1"
slot1_depth0_score0.5_rank0,1.0,0.0,0.5,0.0,target2_close14|seed34|nominal,target2_close14,34,nominal,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,20,3,True,3,"190,249,262","85,77,78","14,6,3","0,1,2"
slot1_depth0_score0.5_rank0,1.0,0.0,0.5,0.0,target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,20,3,True,3,"190,249,263","75,77,75","11,4,3","0,1,1"
slot1_depth0_score0.5_rank0,1.0,0.0,0.5,0.0,target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,17,3,True,3,"190,250,299","75,102,79","16,2,6","0,0,1"
slot1_depth0_score0.5_rank0,1.0,0.0,0.5,0.0,target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,17,3,True,3,"187,253,300","102,100,75","9,3,10","3,3,0"
slot1_depth0_score0.5_rank0,1.0,0.0,0.5,0.0,target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,20,3,True,3,"190,251,301","78,77,87","19,4,11","0,1,1"
slot1_depth0_score0.5_rank0,1.0,0.0,0.5,0.0,target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,20,3,True,3,"188,252,303","97,82,91","12,1,9","2,2,3"
slot1_depth0_score0.5_rank0,1.0,0.0,0.5,0.0,target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed34_nominal_cpu,20,3,True,3,"185,251,303","109,75,93","13,4,10","5,1,3"
slot1_depth0_score0.5_rank0,1.0,0.0,0.5,0.0,target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed34_source_mismatch_cpu,16,3,True,3,"185,250,296","78,84,100","15,1,12","5,0,4"
slot1_depth0_score0.5_rank0.02,1.0,0.0,0.5,0.02,target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,20,3,True,3,"186,250,265","77,81,85","14,5,1","4,0,1"
slot1_depth0_score0.5_rank0.02,1.0,0.0,0.5,0.02,target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,20,3,True,3,"187,250,264","94,78,81","7,3,1","3,0,0"
slot1_depth0_score0.5_rank0.02,1.0,0.0,0.5,0.02,target2_close14|seed21|nominal,target2_close14,21,nominal,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,20,3,True,3,"191,251,263","86,78,82","13,5,2","1,1,1"
slot1_depth0_score0.5_rank0.02,1.0,0.0,0.5,0.02,target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,20,3,True,3,"190,251,263","95,76,81","12,2,1","0,1,1"
slot1_depth0_score0.5_rank0.02,1.0,0.0,0.5,0.02,target2_close14|seed34|nominal,target2_close14,34,nominal,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,20,3,True,3,"190,249,262","85,77,78","14,6,3","0,1,2"
slot1_depth0_score0.5_rank0.02,1.0,0.0,0.5,0.02,target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,20,3,True,3,"190,249,263","75,77,75","11,4,3","0,1,1"
