variant_label,slot_weight,depth_weight,score_weight,rank_weight,case_count,all_target_slot_case_count,failed_case_count,mean_target_slot_hit_count,min_component_candidate_count,median_component_candidate_count
slot1_depth0_score0.5_rank0,1.0,0.0,0.5,0.0,12,12,0,3.0,16,20.0
slot1_depth0_score1_rank0,1.0,0.0,1.0,0.0,12,12,0,3.0,16,20.0
slot1_depth0_score0.5_rank0.02,1.0,0.0,0.5,0.02,12,12,0,3.0,16,20.0
slot1_depth0_score1_rank0.02,1.0,0.0,1.0,0.02,12,12,0,3.0,16,20.0
slot1_depth0_score0.5_rank0.05,1.0,0.0,0.5,0.05,12,12,0,3.0,16,20.0
slot1_depth0_score1_rank0.05,1.0,0.0,1.0,0.05,12,12,0,3.0,16,20.0
slot1_depth1_score0.5_rank0,1.0,1.0,0.5,0.0,12,12,0,3.0,16,20.0
slot1_depth1_score1_rank0,1.0,1.0,1.0,0.0,12,12,0,3.0,16,20.0
slot1_depth1_score0.5_rank0.02,1.0,1.0,0.5,0.02,12,12,0,3.0,16,20.0
slot1_depth1_score1_rank0.02,1.0,1.0,1.0,0.02,12,12,0,3.0,16,20.0
slot1_depth1_score0.5_rank0.05,1.0,1.0,0.5,0.05,12,12,0,3.0,16,20.0
slot1_depth1_score1_rank0.05,1.0,1.0,1.0,0.05,12,12,0,3.0,16,20.0
slot1_depth4_score0.5_rank0,1.0,4.0,0.5,0.0,12,12,0,3.0,16,20.0
slot1_depth4_score1_rank0,1.0,4.0,1.0,0.0,12,12,0,3.0,16,20.0
slot1_depth4_score0.5_rank0.02,1.0,4.0,0.5,0.02,12,12,0,3.0,16,20.0
slot1_depth4_score1_rank0.02,1.0,4.0,1.0,0.02,12,12,0,3.0,16,20.0
slot1_depth4_score0.5_rank0.05,1.0,4.0,0.5,0.05,12,12,0,3.0,16,20.0
slot1_depth4_score1_rank0.05,1.0,4.0,1.0,0.05,12,12,0,3.0,16,20.0
slot1_depth8_score0.5_rank0,1.0,8.0,0.5,0.0,12,12,0,3.0,16,20.0
slot1_depth8_score1_rank0,1.0,8.0,1.0,0.0,12,12,0,3.0,16,20.0
slot1_depth8_score0.5_rank0.02,1.0,8.0,0.5,0.02,12,12,0,3.0,16,20.0
slot1_depth8_score1_rank0.02,1.0,8.0,1.0,0.02,12,12,0,3.0,16,20.0
slot1_depth8_score0.5_rank0.05,1.0,8.0,0.5,0.05,12,12,0,3.0,16,20.0
slot1_depth8_score1_rank0.05,1.0,8.0,1.0,0.05,12,12,0,3.0,16,20.0
slot2_depth0_score0.5_rank0,2.0,0.0,0.5,0.0,12,12,0,3.0,16,20.0
slot2_depth0_score1_rank0,2.0,0.0,1.0,0.0,12,12,0,3.0,16,20.0
slot2_depth0_score0.5_rank0.02,2.0,0.0,0.5,0.02,12,12,0,3.0,16,20.0
slot2_depth0_score1_rank0.02,2.0,0.0,1.0,0.02,12,12,0,3.0,16,20.0
slot2_depth0_score0.5_rank0.05,2.0,0.0,0.5,0.05,12,12,0,3.0,16,20.0
slot2_depth0_score1_rank0.05,2.0,0.0,1.0,0.05,12,12,0,3.0,16,20.0
slot2_depth1_score0.5_rank0,2.0,1.0,0.5,0.0,12,12,0,3.0,16,20.0
slot2_depth1_score1_rank0,2.0,1.0,1.0,0.0,12,12,0,3.0,16,20.0
slot2_depth1_score0.5_rank0.02,2.0,1.0,0.5,0.02,12,12,0,3.0,16,20.0
slot2_depth1_score1_rank0.02,2.0,1.0,1.0,0.02,12,12,0,3.0,16,20.0
slot2_depth1_score0.5_rank0.05,2.0,1.0,0.5,0.05,12,12,0,3.0,16,20.0
slot2_depth1_score1_rank0.05,2.0,1.0,1.0,0.05,12,12,0,3.0,16,20.0
slot2_depth4_score0.5_rank0,2.0,4.0,0.5,0.0,12,12,0,3.0,16,20.0
slot2_depth4_score1_rank0,2.0,4.0,1.0,0.0,12,12,0,3.0,16,20.0
slot2_depth4_score0.5_rank0.02,2.0,4.0,0.5,0.02,12,12,0,3.0,16,20.0
slot2_depth4_score1_rank0.02,2.0,4.0,1.0,0.02,12,12,0,3.0,16,20.0
