case_label,branch_key,seed,case_variant,selected_variant_label,top_all_target_slots_hit,top_target_slot_hit_count,first_all_target_slot_rank,top_selection_score,best_wrong_selection_score,truth_vs_wrong_score_margin,margin_below_review_threshold,top_selected_x_values_mm,best_wrong_selected_x_values_mm,best_wrong_target_slot_hit_count,top_max_target_slot_abs_error_mm
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,env2_struct0.4_support0.12_center0.1_span90,True,3,1,0.13499125530107703,0.051363698487131494,0.08362755681394554,True,"183,256,296","183,237,296",2,7.0
target2_close14|seed34|nominal,target2_close14,34,nominal,env2_struct0.4_support0.12_center0.1_span90,True,3,1,1.2512220689752747,1.0740728643438364,0.17714920463143824,False,"190,260,272","190,262,272",2,10.0
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,env2_struct0.4_support0.12_center0.1_span90,True,3,1,1.2272915971276577,1.0147628815841883,0.21252871554346942,False,"188,252,264","188,239,264",2,2.0
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,env2_struct0.4_support0.12_center0.1_span90,True,3,1,0.3104517546495933,0.054836619202899506,0.2556151354466938,False,"187,250,299","187,270,299",2,3.0
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,env2_struct0.4_support0.12_center0.1_span90,True,3,1,0.3310187286127272,0.04466443101033067,0.2863542976023965,False,"187,253,303","187,235,300",2,3.0
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,env2_struct0.4_support0.12_center0.1_span90,True,3,1,1.0281758318738732,0.6731630664427868,0.3550127654310864,False,"190,248,263","190,238,263",2,2.0
target2_close14|seed13|nominal,target2_close14,13,nominal,env2_struct0.4_support0.12_center0.1_span90,True,3,1,1.1239345847753683,0.7566585970837145,0.3672759876916538,False,"185,250,265","185,236,265",2,5.0
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,env2_struct0.4_support0.12_center0.1_span90,True,3,1,0.4623043724533248,0.0830021463510522,0.3793022261022726,False,"188,253,298","188,236,298",2,3.0
target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,env2_struct0.4_support0.12_center0.1_span90,True,3,1,0.49985518481703367,0.10204261440680627,0.3978125704102274,False,"182,250,295","182,270,295",2,8.0
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,env2_struct0.4_support0.12_center0.1_span90,True,3,1,0.9511556899022072,0.535492683291376,0.4156630066108312,False,"191,247,261","191,237,261",2,3.0
target2_close14|seed21|nominal,target2_close14,21,nominal,env2_struct0.4_support0.12_center0.1_span90,True,3,1,1.209914787774243,0.7621248144357531,0.44778997333849,False,"191,254,266","191,220,266",2,4.0
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,env2_struct0.4_support0.12_center0.1_span90,True,3,1,0.6527607486417005,0.0782624950372276,0.5744982536044729,False,"188,252,294","188,273,294",2,6.0
