case_label,branch_key,seed,case_variant,knob,best_value,best_success_fraction,worst_value,worst_success_fraction,success_fraction_effect
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,structural_weight,0.8,1.0,0.0,0.5,0.5
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,support_weight,0.0,1.0,0.12,0.75,0.25
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,center_weight,0.1,0.9166666666666666,0.0,0.8333333333333334,0.08333333333333326
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,envelope_weight,6.0,0.875,1.0,0.875,0.0
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,span_threshold_mm,105.0,0.875,90.0,0.875,0.0
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,structural_weight,0.0,1.0,0.8,0.0,1.0
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,support_weight,0.12,0.71875,0.0,0.3125,0.40625
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,envelope_weight,6.0,0.5833333333333334,2.0,0.4583333333333333,0.12500000000000006
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,center_weight,0.0,0.5833333333333334,0.1,0.4791666666666667,0.10416666666666669
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,span_threshold_mm,105.0,0.53125,90.0,0.53125,0.0
