case_label,branch_key,seed,case_variant,knob,knob_value,variant_count,success_count,failure_count,success_fraction
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,envelope_weight,1.0,72,63,9,0.875
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,envelope_weight,2.0,72,63,9,0.875
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,envelope_weight,4.0,72,63,9,0.875
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,envelope_weight,6.0,72,63,9,0.875
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,structural_weight,0.0,72,36,36,0.5
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,structural_weight,0.4,72,72,0,1.0
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,structural_weight,0.6,72,72,0,1.0
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,structural_weight,0.8,72,72,0,1.0
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,support_weight,0.0,96,96,0,1.0
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,support_weight,0.08,96,84,12,0.875
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,support_weight,0.12,96,72,24,0.75
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,center_weight,0.0,144,120,24,0.8333333333333334
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,center_weight,0.1,144,132,12,0.9166666666666666
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,span_threshold_mm,90.0,96,84,12,0.875
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,span_threshold_mm,100.0,96,84,12,0.875
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,span_threshold_mm,105.0,96,84,12,0.875
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,envelope_weight,1.0,72,36,36,0.5
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,envelope_weight,2.0,72,33,39,0.4583333333333333
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,envelope_weight,4.0,72,42,30,0.5833333333333334
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,envelope_weight,6.0,72,42,30,0.5833333333333334
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,structural_weight,0.0,72,72,0,1.0
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,structural_weight,0.4,72,54,18,0.75
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,structural_weight,0.6,72,27,45,0.375
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,structural_weight,0.8,72,0,72,0.0
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,support_weight,0.0,96,30,66,0.3125
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,support_weight,0.08,96,54,42,0.5625
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,support_weight,0.12,96,69,27,0.71875
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,center_weight,0.0,144,84,60,0.5833333333333334
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,center_weight,0.1,144,69,75,0.4791666666666667
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,span_threshold_mm,90.0,96,51,45,0.53125
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,span_threshold_mm,100.0,96,51,45,0.53125
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,span_threshold_mm,105.0,96,51,45,0.53125
