case_label,branch_key,seed,case_variant,variant_count,unique_selection_count,dominant_selection,dominant_selection_count,dominant_selection_fraction,slot0_x_range_mm,slot1_x_range_mm,slot2_x_range_mm,max_slot_x_range_mm,median_slot_x_range_mm,max_slot_z_range_mm,selection_score_iqr,truth_free_reliability_label,truth_free_stable_assignment,all_target_slot_variant_count_truth_eval,success_fraction_truth_eval,tuning_sensitive_truth_eval
target2_close14|seed13|nominal,target2_close14,13,nominal,288,2,"185,250,265",210,0.7291666666666666,1.0,0.0,0.0,1.0,0.0,20.0,0.5586976611343688,stable_truth_free_assignment,True,288,1.0,False
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,288,3,"188,252,264",156,0.5416666666666666,1.0,2.0,0.0,2.0,1.0,9.0,0.6016905460065965,stable_truth_free_assignment,True,288,1.0,False
target2_close14|seed21|nominal,target2_close14,21,nominal,288,1,"191,254,266",288,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5942504544409102,stable_truth_free_assignment,True,288,1.0,False
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,288,3,"191,248,263",144,0.5,4.0,0.0,0.0,4.0,0.0,18.0,0.4432944276122222,stable_truth_free_assignment,True,288,1.0,False
target2_close14|seed34|nominal,target2_close14,34,nominal,288,1,"190,260,272",288,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6071620689752729,stable_truth_free_assignment,True,288,1.0,False
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,288,3,"191,247,263",144,0.5,3.0,0.0,2.0,3.0,2.0,10.0,0.46211004297627095,stable_truth_free_assignment,True,288,1.0,False
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,288,5,"187,250,294",165,0.5729166666666666,0.0,21.0,5.0,21.0,5.0,13.0,0.4557243488134241,review_policy_grid_position_drift,False,252,0.875,True
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,288,6,"187,253,300",90,0.3125,0.0,5.0,5.0,5.0,5.0,26.0,0.3806842200041854,stable_truth_free_assignment,True,288,1.0,False
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,288,2,"190,253,298",168,0.5833333333333334,2.0,0.0,0.0,2.0,0.0,19.0,0.37104620578665853,stable_truth_free_assignment,True,288,1.0,False
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,288,2,"188,252,294",216,0.75,2.0,0.0,0.0,2.0,0.0,21.0,0.39602555828729646,stable_truth_free_assignment,True,288,1.0,False
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,288,7,"183,237,296",105,0.3645833333333333,2.0,20.0,7.0,20.0,7.0,17.0,0.31457393354433694,review_policy_grid_position_drift,False,153,0.53125,True
target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,288,2,"182,250,295",216,0.75,1.0,0.0,0.0,1.0,0.0,13.0,0.49583518435773577,stable_truth_free_assignment,True,288,1.0,False
