threshold_mm,case_count,stable_assignment_case_count,review_assignment_case_count,stable_assignment_partial_success_count,tuning_sensitive_missed_count,tuning_sensitive_detected_count,false_review_all_variant_success_count,clean_gate,stable_case_labels,review_case_labels
0.0,12,2,10,0,0,2,8,False,target2_close14|seed21|nominal;target2_close14|seed34|nominal,target2_close14|seed13|nominal;target2_close14|seed13|source_mismatch;target2_close14|seed21|source_mismatch;target2_close14|seed34|source_mismatch;target2_close50_linear29p5|seed13|nominal;target2_close50_linear29p5|seed13|source_mismatch;target2_close50_linear29p5|seed21|nominal;target2_close50_linear29p5|seed21|source_mismatch;target2_close50_linear29p5|seed34|nominal;target2_close50_linear29p5|seed34|source_mismatch
1.0,12,4,8,0,0,2,6,False,target2_close14|seed13|nominal;target2_close14|seed21|nominal;target2_close14|seed34|nominal;target2_close50_linear29p5|seed34|source_mismatch,target2_close14|seed13|source_mismatch;target2_close14|seed21|source_mismatch;target2_close14|seed34|source_mismatch;target2_close50_linear29p5|seed13|nominal;target2_close50_linear29p5|seed13|source_mismatch;target2_close50_linear29p5|seed21|nominal;target2_close50_linear29p5|seed21|source_mismatch;target2_close50_linear29p5|seed34|nominal
2.0,12,7,5,0,0,2,3,False,target2_close14|seed13|nominal;target2_close14|seed13|source_mismatch;target2_close14|seed21|nominal;target2_close14|seed34|nominal;target2_close50_linear29p5|seed21|nominal;target2_close50_linear29p5|seed21|source_mismatch;target2_close50_linear29p5|seed34|source_mismatch,target2_close14|seed21|source_mismatch;target2_close14|seed34|source_mismatch;target2_close50_linear29p5|seed13|nominal;target2_close50_linear29p5|seed13|source_mismatch;target2_close50_linear29p5|seed34|nominal
3.0,12,8,4,0,0,2,2,False,target2_close14|seed13|nominal;target2_close14|seed13|source_mismatch;target2_close14|seed21|nominal;target2_close14|seed34|nominal;target2_close14|seed34|source_mismatch;target2_close50_linear29p5|seed21|nominal;target2_close50_linear29p5|seed21|source_mismatch;target2_close50_linear29p5|seed34|source_mismatch,target2_close14|seed21|source_mismatch;target2_close50_linear29p5|seed13|nominal;target2_close50_linear29p5|seed13|source_mismatch;target2_close50_linear29p5|seed34|nominal
4.0,12,9,3,0,0,2,1,False,target2_close14|seed13|nominal;target2_close14|seed13|source_mismatch;target2_close14|seed21|nominal;target2_close14|seed21|source_mismatch;target2_close14|seed34|nominal;target2_close14|seed34|source_mismatch;target2_close50_linear29p5|seed21|nominal;target2_close50_linear29p5|seed21|source_mismatch;target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5|seed13|nominal;target2_close50_linear29p5|seed13|source_mismatch;target2_close50_linear29p5|seed34|nominal
5.0,12,10,2,0,0,2,0,True,target2_close14|seed13|nominal;target2_close14|seed13|source_mismatch;target2_close14|seed21|nominal;target2_close14|seed21|source_mismatch;target2_close14|seed34|nominal;target2_close14|seed34|source_mismatch;target2_close50_linear29p5|seed13|source_mismatch;target2_close50_linear29p5|seed21|nominal;target2_close50_linear29p5|seed21|source_mismatch;target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5|seed13|nominal;target2_close50_linear29p5|seed34|nominal
7.5,12,10,2,0,0,2,0,True,target2_close14|seed13|nominal;target2_close14|seed13|source_mismatch;target2_close14|seed21|nominal;target2_close14|seed21|source_mismatch;target2_close14|seed34|nominal;target2_close14|seed34|source_mismatch;target2_close50_linear29p5|seed13|source_mismatch;target2_close50_linear29p5|seed21|nominal;target2_close50_linear29p5|seed21|source_mismatch;target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5|seed13|nominal;target2_close50_linear29p5|seed34|nominal
10.0,12,10,2,0,0,2,0,True,target2_close14|seed13|nominal;target2_close14|seed13|source_mismatch;target2_close14|seed21|nominal;target2_close14|seed21|source_mismatch;target2_close14|seed34|nominal;target2_close14|seed34|source_mismatch;target2_close50_linear29p5|seed13|source_mismatch;target2_close50_linear29p5|seed21|nominal;target2_close50_linear29p5|seed21|source_mismatch;target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5|seed13|nominal;target2_close50_linear29p5|seed34|nominal
15.0,12,10,2,0,0,2,0,True,target2_close14|seed13|nominal;target2_close14|seed13|source_mismatch;target2_close14|seed21|nominal;target2_close14|seed21|source_mismatch;target2_close14|seed34|nominal;target2_close14|seed34|source_mismatch;target2_close50_linear29p5|seed13|source_mismatch;target2_close50_linear29p5|seed21|nominal;target2_close50_linear29p5|seed21|source_mismatch;target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5|seed13|nominal;target2_close50_linear29p5|seed34|nominal
19.0,12,10,2,0,0,2,0,True,target2_close14|seed13|nominal;target2_close14|seed13|source_mismatch;target2_close14|seed21|nominal;target2_close14|seed21|source_mismatch;target2_close14|seed34|nominal;target2_close14|seed34|source_mismatch;target2_close50_linear29p5|seed13|source_mismatch;target2_close50_linear29p5|seed21|nominal;target2_close50_linear29p5|seed21|source_mismatch;target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5|seed13|nominal;target2_close50_linear29p5|seed34|nominal
20.0,12,11,1,1,1,1,0,False,target2_close14|seed13|nominal;target2_close14|seed13|source_mismatch;target2_close14|seed21|nominal;target2_close14|seed21|source_mismatch;target2_close14|seed34|nominal;target2_close14|seed34|source_mismatch;target2_close50_linear29p5|seed13|source_mismatch;target2_close50_linear29p5|seed21|nominal;target2_close50_linear29p5|seed21|source_mismatch;target2_close50_linear29p5|seed34|nominal;target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5|seed13|nominal
21.0,12,12,0,2,2,0,0,False,target2_close14|seed13|nominal;target2_close14|seed13|source_mismatch;target2_close14|seed21|nominal;target2_close14|seed21|source_mismatch;target2_close14|seed34|nominal;target2_close14|seed34|source_mismatch;target2_close50_linear29p5|seed13|nominal;target2_close50_linear29p5|seed13|source_mismatch;target2_close50_linear29p5|seed21|nominal;target2_close50_linear29p5|seed21|source_mismatch;target2_close50_linear29p5|seed34|nominal;target2_close50_linear29p5|seed34|source_mismatch,
