case_label,branch_key,seed,case_variant,component_index,component_role,x_seed_mm,z_seed_mm,selected_component_count,component_candidate_count,detector_reliability_label,truth_free_stable_assignment,max_case_component_seed_error_mm,coarse_error_gate_mm,coarse_error_gate_pass,radius_seed_available,material_seed_available,coordinate_seed_ready,narrow_refinement_ready,detector_seeded_fwi_ready,allowed_use,blocked_use
target2_close14|seed13|nominal,target2_close14,13,nominal,0,left,185.0,97.0,3,20,stable_truth_free_assignment,True,5.0,10.0,True,False,False,True,False,False,coordinate-only saved component seed table for later design,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close14|seed13|nominal,target2_close14,13,nominal,1,middle,250.0,81.0,3,20,stable_truth_free_assignment,True,5.0,10.0,True,False,False,True,False,False,coordinate-only saved component seed table for later design,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close14|seed13|nominal,target2_close14,13,nominal,2,right,265.0,85.0,3,20,stable_truth_free_assignment,True,5.0,10.0,True,False,False,True,False,False,coordinate-only saved component seed table for later design,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,0,left,188.0,85.0,3,20,stable_truth_free_assignment,True,2.0,10.0,True,False,False,True,False,False,coordinate-only saved component seed table for later design,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,1,middle,252.0,87.0,3,20,stable_truth_free_assignment,True,2.0,10.0,True,False,False,True,False,False,coordinate-only saved component seed table for later design,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,2,right,264.0,81.0,3,20,stable_truth_free_assignment,True,2.0,10.0,True,False,False,True,False,False,coordinate-only saved component seed table for later design,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close14|seed21|nominal,target2_close14,21,nominal,0,left,191.0,86.0,3,20,stable_truth_free_assignment,True,4.0,10.0,True,False,False,True,False,False,coordinate-only saved component seed table for later design,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close14|seed21|nominal,target2_close14,21,nominal,1,middle,254.0,91.0,3,20,stable_truth_free_assignment,True,4.0,10.0,True,False,False,True,False,False,coordinate-only saved component seed table for later design,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close14|seed21|nominal,target2_close14,21,nominal,2,right,266.0,91.0,3,20,stable_truth_free_assignment,True,4.0,10.0,True,False,False,True,False,False,coordinate-only saved component seed table for later design,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,0,left,190.0,95.0,3,20,stable_truth_free_assignment,True,2.0,10.0,True,False,False,True,False,False,coordinate-only saved component seed table for later design,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,1,middle,248.0,86.0,3,20,stable_truth_free_assignment,True,2.0,10.0,True,False,False,True,False,False,coordinate-only saved component seed table for later design,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,2,right,263.0,81.0,3,20,stable_truth_free_assignment,True,2.0,10.0,True,False,False,True,False,False,coordinate-only saved component seed table for later design,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
