branch_key,half_width_mm,branch_case_count,stable_seed_case_count,stable_seed_covered_count,stable_seed_coverage_fraction,review_case_count,review_case_covered_count,ready_for_branch_coordinate_neighborhood_design
target2_close14,2.0,6,6,2,0.3333333333333333,0,0,False
target2_close14,3.0,6,6,3,0.5,0,0,False
target2_close14,4.0,6,6,4,0.6666666666666666,0,0,False
target2_close14,5.0,6,6,5,0.8333333333333334,0,0,False
target2_close14,6.0,6,6,5,0.8333333333333334,0,0,False
target2_close14,8.0,6,6,5,0.8333333333333334,0,0,False
target2_close14,10.0,6,6,6,1.0,0,0,True
target2_close14,12.0,6,6,6,1.0,0,0,True
target2_close14,15.0,6,6,6,1.0,0,0,True
target2_close50_linear29p5,2.0,6,4,0,0.0,2,0,False
target2_close50_linear29p5,3.0,6,4,2,0.5,2,1,False
target2_close50_linear29p5,4.0,6,4,2,0.5,2,1,False
target2_close50_linear29p5,5.0,6,4,2,0.5,2,1,False
target2_close50_linear29p5,6.0,6,4,3,0.75,2,1,False
target2_close50_linear29p5,8.0,6,4,4,1.0,2,2,True
target2_close50_linear29p5,10.0,6,4,4,1.0,2,2,True
target2_close50_linear29p5,12.0,6,4,4,1.0,2,2,True
target2_close50_linear29p5,15.0,6,4,4,1.0,2,2,True
