half_width_mm,step_mm,component_count,coordinate_dimensions,values_per_axis,per_case_coordinate_grid_points,stable_seed_total_grid_points,all_case_total_grid_points,ready_for_naive_full_tensor_refinement,allowed_use,blocked_use
2.0,1.0,3,6,5,15625,156250,187500,False,budget sizing only,naive full-tensor FWI/refinement launch
2.0,2.0,3,6,3,729,7290,8748,False,budget sizing only,naive full-tensor FWI/refinement launch
2.0,5.0,3,6,1,1,10,12,False,budget sizing only,naive full-tensor FWI/refinement launch
3.0,1.0,3,6,7,117649,1176490,1411788,False,budget sizing only,naive full-tensor FWI/refinement launch
3.0,2.0,3,6,4,4096,40960,49152,False,budget sizing only,naive full-tensor FWI/refinement launch
3.0,5.0,3,6,2,64,640,768,False,budget sizing only,naive full-tensor FWI/refinement launch
4.0,1.0,3,6,9,531441,5314410,6377292,False,budget sizing only,naive full-tensor FWI/refinement launch
4.0,2.0,3,6,5,15625,156250,187500,False,budget sizing only,naive full-tensor FWI/refinement launch
4.0,5.0,3,6,2,64,640,768,False,budget sizing only,naive full-tensor FWI/refinement launch
5.0,1.0,3,6,11,1771561,17715610,21258732,False,budget sizing only,naive full-tensor FWI/refinement launch
5.0,2.0,3,6,6,46656,466560,559872,False,budget sizing only,naive full-tensor FWI/refinement launch
5.0,5.0,3,6,3,729,7290,8748,False,budget sizing only,naive full-tensor FWI/refinement launch
6.0,1.0,3,6,13,4826809,48268090,57921708,False,budget sizing only,naive full-tensor FWI/refinement launch
6.0,2.0,3,6,7,117649,1176490,1411788,False,budget sizing only,naive full-tensor FWI/refinement launch
6.0,5.0,3,6,3,729,7290,8748,False,budget sizing only,naive full-tensor FWI/refinement launch
8.0,1.0,3,6,17,24137569,241375690,289650828,False,budget sizing only,naive full-tensor FWI/refinement launch
8.0,2.0,3,6,9,531441,5314410,6377292,False,budget sizing only,naive full-tensor FWI/refinement launch
8.0,5.0,3,6,4,4096,40960,49152,False,budget sizing only,naive full-tensor FWI/refinement launch
10.0,1.0,3,6,21,85766121,857661210,1029193452,False,budget sizing only,naive full-tensor FWI/refinement launch
10.0,2.0,3,6,11,1771561,17715610,21258732,False,budget sizing only,naive full-tensor FWI/refinement launch
10.0,5.0,3,6,5,15625,156250,187500,False,budget sizing only,naive full-tensor FWI/refinement launch
12.0,1.0,3,6,25,244140625,2441406250,2929687500,False,budget sizing only,naive full-tensor FWI/refinement launch
12.0,2.0,3,6,13,4826809,48268090,57921708,False,budget sizing only,naive full-tensor FWI/refinement launch
12.0,5.0,3,6,5,15625,156250,187500,False,budget sizing only,naive full-tensor FWI/refinement launch
15.0,1.0,3,6,31,887503681,8875036810,10650044172,False,budget sizing only,naive full-tensor FWI/refinement launch
15.0,2.0,3,6,16,16777216,167772160,201326592,False,budget sizing only,naive full-tensor FWI/refinement launch
15.0,5.0,3,6,7,117649,1176490,1411788,False,budget sizing only,naive full-tensor FWI/refinement launch
