half_width_mm,step_mm,component_count,coverage_dimension,coordinate_dimensions,values_per_axis,per_case_lateral_x_grid_points,stable_seed_total_lateral_x_grid_points,all_case_total_lateral_x_grid_points,hypothetical_per_case_xz_tensor_points,hypothetical_stable_total_xz_tensor_points,z_coverage_validated,ready_for_xz_neighborhood_design,ready_for_naive_full_tensor_refinement,allowed_use,blocked_use
2.0,1.0,3,lateral_x_slot_only,3,5,125,1250,1500,15625,156250,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
2.0,2.0,3,lateral_x_slot_only,3,3,27,270,324,729,7290,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
2.0,5.0,3,lateral_x_slot_only,3,1,1,10,12,1,10,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
3.0,1.0,3,lateral_x_slot_only,3,7,343,3430,4116,117649,1176490,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
3.0,2.0,3,lateral_x_slot_only,3,4,64,640,768,4096,40960,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
3.0,5.0,3,lateral_x_slot_only,3,2,8,80,96,64,640,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
4.0,1.0,3,lateral_x_slot_only,3,9,729,7290,8748,531441,5314410,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
4.0,2.0,3,lateral_x_slot_only,3,5,125,1250,1500,15625,156250,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
4.0,5.0,3,lateral_x_slot_only,3,2,8,80,96,64,640,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
5.0,1.0,3,lateral_x_slot_only,3,11,1331,13310,15972,1771561,17715610,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
5.0,2.0,3,lateral_x_slot_only,3,6,216,2160,2592,46656,466560,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
5.0,5.0,3,lateral_x_slot_only,3,3,27,270,324,729,7290,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
6.0,1.0,3,lateral_x_slot_only,3,13,2197,21970,26364,4826809,48268090,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
6.0,2.0,3,lateral_x_slot_only,3,7,343,3430,4116,117649,1176490,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
6.0,5.0,3,lateral_x_slot_only,3,3,27,270,324,729,7290,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
8.0,1.0,3,lateral_x_slot_only,3,17,4913,49130,58956,24137569,241375690,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
8.0,2.0,3,lateral_x_slot_only,3,9,729,7290,8748,531441,5314410,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
8.0,5.0,3,lateral_x_slot_only,3,4,64,640,768,4096,40960,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
10.0,1.0,3,lateral_x_slot_only,3,21,9261,92610,111132,85766121,857661210,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
10.0,2.0,3,lateral_x_slot_only,3,11,1331,13310,15972,1771561,17715610,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
10.0,5.0,3,lateral_x_slot_only,3,5,125,1250,1500,15625,156250,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
12.0,1.0,3,lateral_x_slot_only,3,25,15625,156250,187500,244140625,2441406250,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
12.0,2.0,3,lateral_x_slot_only,3,13,2197,21970,26364,4826809,48268090,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
12.0,5.0,3,lateral_x_slot_only,3,5,125,1250,1500,15625,156250,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
15.0,1.0,3,lateral_x_slot_only,3,31,29791,297910,357492,887503681,8875036810,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
15.0,2.0,3,lateral_x_slot_only,3,16,4096,40960,49152,16777216,167772160,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
15.0,5.0,3,lateral_x_slot_only,3,7,343,3430,4116,117649,1176490,False,False,False,lateral x-slot budget sizing only,"z-validated tensor refinement, FWI/refinement launch"
