branch_key,half_width_mm,branch_case_count,stable_seed_case_count,stable_seed_xz_covered_count,stable_seed_xz_coverage_fraction,review_case_count,review_case_xz_covered_count,ready_for_branch_xz_seed_neighborhood_design
target2_close14,5.0,6,6,1,0.16666666666666666,0,0,False
target2_close14,8.0,6,6,2,0.3333333333333333,0,0,False
target2_close14,10.0,6,6,6,1.0,0,0,True
target2_close14,12.0,6,6,6,1.0,0,0,True
target2_close14,15.0,6,6,6,1.0,0,0,True
target2_close50_linear29p5,5.0,6,4,0,0.0,2,0,False
target2_close50_linear29p5,8.0,6,4,1,0.25,2,0,False
target2_close50_linear29p5,10.0,6,4,2,0.5,2,0,False
target2_close50_linear29p5,12.0,6,4,4,1.0,2,1,True
target2_close50_linear29p5,15.0,6,4,4,1.0,2,2,True
