case_label,source_plan_case_label,branch_key,seed,case_variant,candidate_component_seed_ready,review_assignment,truth_free_stable_assignment,selected_component_count,truth_component_count,component_candidate_count,max_lateral_x_slot_error_mm,matched_max_x_error_mm,matched_max_z_error_mm,matched_max_linf_error_mm,matched_mean_linf_error_mm,matched_max_euclidean_error_mm,z_exceeds_lateral_slot_error,ready_for_xz_seed_neighborhood_design,ready_for_narrow_refinement_contract,ready_for_detector_seeded_fwi,allowed_use,blocked_use
target2_close14|seed13|nominal,noise15p361328125_seed13,target2_close14,13,nominal,True,False,True,3,3,20,5.0,5.0,9.0,9.0,7.0,9.0,True,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close14|seed13|source_mismatch,source_mismatch_noise15p361328125_seed13,target2_close14,13,source_mismatch,True,False,True,3,3,20,2.0,2.0,9.0,9.0,5.666666666666667,9.0,True,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close14|seed21|nominal,noise15p361328125_seed21,target2_close14,21,nominal,True,False,True,3,3,20,4.0,4.0,4.0,4.0,3.3333333333333335,4.123105625617661,False,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close14|seed21|source_mismatch,source_mismatch_noise15p361328125_seed21,target2_close14,21,source_mismatch,True,False,True,3,3,20,2.0,2.0,9.0,9.0,6.0,9.055385138137417,True,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close14|seed34|nominal,noise15p361328125_seed34,target2_close14,34,nominal,True,False,True,3,3,20,10.0,10.0,5.0,10.0,7.666666666666667,10.44030650891055,False,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close14|seed34|source_mismatch,source_mismatch_noise15p361328125_seed34,target2_close14,34,source_mismatch,True,False,True,3,3,20,3.0,3.0,7.0,7.0,5.0,7.615773105863909,True,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close50_linear29p5|seed13|nominal,noise10_seed13,target2_close50_linear29p5,13,nominal,False,True,False,3,3,17,3.0,3.0,11.0,11.0,7.333333333333333,11.045361017187261,True,False,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close50_linear29p5|seed13|source_mismatch,source_mismatch_noise10_seed13,target2_close50_linear29p5,13,source_mismatch,True,False,True,3,3,17,3.0,3.0,12.0,12.0,11.0,12.36931687685298,True,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close50_linear29p5|seed21|nominal,noise10_seed21,target2_close50_linear29p5,21,nominal,True,False,True,3,3,20,3.0,3.0,11.0,11.0,8.333333333333334,11.40175425099138,True,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close50_linear29p5|seed21|source_mismatch,source_mismatch_noise10_seed21,target2_close50_linear29p5,21,source_mismatch,True,False,True,3,3,20,6.0,6.0,10.0,10.0,8.333333333333334,11.661903789690601,True,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close50_linear29p5|seed34|nominal,noise10_seed34,target2_close50_linear29p5,34,nominal,False,True,False,3,3,20,7.0,7.0,14.0,14.0,10.0,14.560219778561036,True,False,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
target2_close50_linear29p5|seed34|source_mismatch,source_mismatch_noise10_seed34,target2_close50_linear29p5,34,source_mismatch,True,False,True,3,3,16,8.0,8.0,6.0,8.0,6.333333333333333,8.06225774829855,False,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI"
