case_label,source_plan_case_label,branch_key,seed,case_variant,candidate_component_seed_ready,review_assignment,truth_free_stable_assignment,selected_component_count,truth_component_count,component_candidate_count,max_lateral_x_slot_error_mm,matched_max_x_error_mm,matched_max_z_error_mm,matched_max_linf_error_mm,matched_mean_linf_error_mm,matched_max_euclidean_error_mm,z_exceeds_lateral_slot_error,ready_for_xz_seed_neighborhood_design,ready_for_narrow_refinement_contract,ready_for_detector_seeded_fwi,allowed_use,blocked_use,truth_component_index,seed_component_index,truth_x_mm,truth_z_mm,x_seed_mm,z_seed_mm,x_abs_error_mm,z_abs_error_mm,linf_abs_error_mm,euclidean_error_mm
target2_close14|seed13|nominal,noise15p361328125_seed13,target2_close14,13,nominal,True,False,True,3,3,20,5.0,5.0,9.0,9.0,7.0,9.0,True,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI",0,0,190.0,90.0,185.0,97.0,5.0,7.0,7.0,8.602325267042627
target2_close14|seed13|nominal,noise15p361328125_seed13,target2_close14,13,nominal,True,False,True,3,3,20,5.0,5.0,9.0,9.0,7.0,9.0,True,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI",1,1,250.0,90.0,250.0,81.0,0.0,9.0,9.0,9.0
target2_close14|seed13|nominal,noise15p361328125_seed13,target2_close14,13,nominal,True,False,True,3,3,20,5.0,5.0,9.0,9.0,7.0,9.0,True,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI",2,2,264.0,90.0,265.0,85.0,1.0,5.0,5.0,5.0990195135927845
target2_close14|seed13|source_mismatch,source_mismatch_noise15p361328125_seed13,target2_close14,13,source_mismatch,True,False,True,3,3,20,2.0,2.0,9.0,9.0,5.666666666666667,9.0,True,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI",0,0,190.0,90.0,188.0,85.0,2.0,5.0,5.0,5.385164807134504
target2_close14|seed13|source_mismatch,source_mismatch_noise15p361328125_seed13,target2_close14,13,source_mismatch,True,False,True,3,3,20,2.0,2.0,9.0,9.0,5.666666666666667,9.0,True,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI",1,1,250.0,90.0,252.0,87.0,2.0,3.0,3.0,3.605551275463989
target2_close14|seed13|source_mismatch,source_mismatch_noise15p361328125_seed13,target2_close14,13,source_mismatch,True,False,True,3,3,20,2.0,2.0,9.0,9.0,5.666666666666667,9.0,True,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI",2,2,264.0,90.0,264.0,81.0,0.0,9.0,9.0,9.0
target2_close14|seed21|nominal,noise15p361328125_seed21,target2_close14,21,nominal,True,False,True,3,3,20,4.0,4.0,4.0,4.0,3.3333333333333335,4.123105625617661,False,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI",0,0,190.0,90.0,191.0,86.0,1.0,4.0,4.0,4.123105625617661
target2_close14|seed21|nominal,noise15p361328125_seed21,target2_close14,21,nominal,True,False,True,3,3,20,4.0,4.0,4.0,4.0,3.3333333333333335,4.123105625617661,False,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI",1,1,250.0,90.0,254.0,91.0,4.0,1.0,4.0,4.123105625617661
target2_close14|seed21|nominal,noise15p361328125_seed21,target2_close14,21,nominal,True,False,True,3,3,20,4.0,4.0,4.0,4.0,3.3333333333333335,4.123105625617661,False,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI",2,2,264.0,90.0,266.0,91.0,2.0,1.0,2.0,2.23606797749979
target2_close14|seed21|source_mismatch,source_mismatch_noise15p361328125_seed21,target2_close14,21,source_mismatch,True,False,True,3,3,20,2.0,2.0,9.0,9.0,6.0,9.055385138137417,True,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI",0,0,190.0,90.0,190.0,95.0,0.0,5.0,5.0,5.0
target2_close14|seed21|source_mismatch,source_mismatch_noise15p361328125_seed21,target2_close14,21,source_mismatch,True,False,True,3,3,20,2.0,2.0,9.0,9.0,6.0,9.055385138137417,True,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI",1,1,250.0,90.0,248.0,86.0,2.0,4.0,4.0,4.47213595499958
target2_close14|seed21|source_mismatch,source_mismatch_noise15p361328125_seed21,target2_close14,21,source_mismatch,True,False,True,3,3,20,2.0,2.0,9.0,9.0,6.0,9.055385138137417,True,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI",2,2,264.0,90.0,263.0,81.0,1.0,9.0,9.0,9.055385138137417
target2_close14|seed34|nominal,noise15p361328125_seed34,target2_close14,34,nominal,True,False,True,3,3,20,10.0,10.0,5.0,10.0,7.666666666666667,10.44030650891055,False,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI",0,0,190.0,90.0,190.0,85.0,0.0,5.0,5.0,5.0
target2_close14|seed34|nominal,noise15p361328125_seed34,target2_close14,34,nominal,True,False,True,3,3,20,10.0,10.0,5.0,10.0,7.666666666666667,10.44030650891055,False,True,False,False,matched x/z seed-error sizing for saved detector cases,"radius/material seeding, narrow refinement launch, detector-seeded FWI",1,1,250.0,90.0,260.0,87.0,10.0,3.0,10.0,10.44030650891055
