half_width_mm,step_mm,component_count,coverage_dimension,coordinate_dimensions,values_per_axis,per_case_lateral_x_grid_points,per_case_xz_grid_points,stable_seed_total_xz_grid_points,all_case_total_xz_grid_points,ready_for_refinement_launch,allowed_use,blocked_use
5.0,1.0,3,matched_xz_linf,6,11,1331,1771561,17715610,21258732,False,matched x/z coordinate seed neighborhood sizing,"radius/material tensor refinement, detector-seeded FWI"
5.0,2.0,3,matched_xz_linf,6,6,216,46656,466560,559872,False,matched x/z coordinate seed neighborhood sizing,"radius/material tensor refinement, detector-seeded FWI"
5.0,5.0,3,matched_xz_linf,6,3,27,729,7290,8748,False,matched x/z coordinate seed neighborhood sizing,"radius/material tensor refinement, detector-seeded FWI"
8.0,1.0,3,matched_xz_linf,6,17,4913,24137569,241375690,289650828,False,matched x/z coordinate seed neighborhood sizing,"radius/material tensor refinement, detector-seeded FWI"
8.0,2.0,3,matched_xz_linf,6,9,729,531441,5314410,6377292,False,matched x/z coordinate seed neighborhood sizing,"radius/material tensor refinement, detector-seeded FWI"
8.0,5.0,3,matched_xz_linf,6,4,64,4096,40960,49152,False,matched x/z coordinate seed neighborhood sizing,"radius/material tensor refinement, detector-seeded FWI"
10.0,1.0,3,matched_xz_linf,6,21,9261,85766121,857661210,1029193452,False,matched x/z coordinate seed neighborhood sizing,"radius/material tensor refinement, detector-seeded FWI"
10.0,2.0,3,matched_xz_linf,6,11,1331,1771561,17715610,21258732,False,matched x/z coordinate seed neighborhood sizing,"radius/material tensor refinement, detector-seeded FWI"
10.0,5.0,3,matched_xz_linf,6,5,125,15625,156250,187500,False,matched x/z coordinate seed neighborhood sizing,"radius/material tensor refinement, detector-seeded FWI"
12.0,1.0,3,matched_xz_linf,6,25,15625,244140625,2441406250,2929687500,False,matched x/z coordinate seed neighborhood sizing,"radius/material tensor refinement, detector-seeded FWI"
12.0,2.0,3,matched_xz_linf,6,13,2197,4826809,48268090,57921708,False,matched x/z coordinate seed neighborhood sizing,"radius/material tensor refinement, detector-seeded FWI"
12.0,5.0,3,matched_xz_linf,6,5,125,15625,156250,187500,False,matched x/z coordinate seed neighborhood sizing,"radius/material tensor refinement, detector-seeded FWI"
15.0,1.0,3,matched_xz_linf,6,31,29791,887503681,8875036810,10650044172,False,matched x/z coordinate seed neighborhood sizing,"radius/material tensor refinement, detector-seeded FWI"
15.0,2.0,3,matched_xz_linf,6,16,4096,16777216,167772160,201326592,False,matched x/z coordinate seed neighborhood sizing,"radius/material tensor refinement, detector-seeded FWI"
15.0,5.0,3,matched_xz_linf,6,7,343,117649,1176490,1411788,False,matched x/z coordinate seed neighborhood sizing,"radius/material tensor refinement, detector-seeded FWI"
