case_label,branch_key,seed,case_variant,case_contract_status,review_assignment,recommended_branch_half_width_mm,matched_max_x_error_mm,matched_max_z_error_mm,matched_max_linf_error_mm,covered_by_branch_contract,ready_for_coordinate_neighborhood_contract,ready_for_review_case_inclusion,ready_for_detector_seeded_fwi,allowed_use,blocked_use
target2_close14|seed13|nominal,target2_close14,13,nominal,stable_in_contract,False,10.0,5.0,9.0,9.0,True,True,False,False,stable-case x/z seed-neighborhood handoff design,"radius/material seeding, review-case promotion, detector-seeded FWI"
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,stable_in_contract,False,10.0,2.0,9.0,9.0,True,True,False,False,stable-case x/z seed-neighborhood handoff design,"radius/material seeding, review-case promotion, detector-seeded FWI"
target2_close14|seed21|nominal,target2_close14,21,nominal,stable_in_contract,False,10.0,4.0,4.0,4.0,True,True,False,False,stable-case x/z seed-neighborhood handoff design,"radius/material seeding, review-case promotion, detector-seeded FWI"
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,stable_in_contract,False,10.0,2.0,9.0,9.0,True,True,False,False,stable-case x/z seed-neighborhood handoff design,"radius/material seeding, review-case promotion, detector-seeded FWI"
target2_close14|seed34|nominal,target2_close14,34,nominal,stable_in_contract,False,10.0,10.0,5.0,10.0,True,True,False,False,stable-case x/z seed-neighborhood handoff design,"radius/material seeding, review-case promotion, detector-seeded FWI"
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,stable_in_contract,False,10.0,3.0,7.0,7.0,True,True,False,False,stable-case x/z seed-neighborhood handoff design,"radius/material seeding, review-case promotion, detector-seeded FWI"
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,excluded_review_case,True,,3.0,11.0,11.0,False,False,False,False,review blocker context,"radius/material seeding, review-case promotion, detector-seeded FWI"
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,stable_in_contract,False,12.0,3.0,12.0,12.0,True,True,False,False,stable-case x/z seed-neighborhood handoff design,"radius/material seeding, review-case promotion, detector-seeded FWI"
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,stable_in_contract,False,12.0,3.0,11.0,11.0,True,True,False,False,stable-case x/z seed-neighborhood handoff design,"radius/material seeding, review-case promotion, detector-seeded FWI"
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,stable_in_contract,False,12.0,6.0,10.0,10.0,True,True,False,False,stable-case x/z seed-neighborhood handoff design,"radius/material seeding, review-case promotion, detector-seeded FWI"
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,excluded_review_case,True,,7.0,14.0,14.0,False,False,False,False,review blocker context,"radius/material seeding, review-case promotion, detector-seeded FWI"
target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,stable_in_contract,False,12.0,8.0,6.0,8.0,True,True,False,False,stable-case x/z seed-neighborhood handoff design,"radius/material seeding, review-case promotion, detector-seeded FWI"
