case_label,pair_key,first_component_index,second_component_index,first_x_seed_mm,first_z_seed_mm,first_radius_mm,second_x_seed_mm,second_z_seed_mm,second_radius_mm,center_distance_mm,radius_sum_mm,clearance_mm,overlaps_under_exact_radii
target2_close14|seed13|nominal,0-1,0,1,185.0,97.0,5.0,250.0,81.0,6.0,66.94027188471824,11.0,55.94027188471824,False
target2_close14|seed13|nominal,0-2,0,2,185.0,97.0,5.0,265.0,85.0,8.0,80.89499366462674,13.0,67.89499366462674,False
target2_close14|seed13|nominal,1-2,1,2,250.0,81.0,6.0,265.0,85.0,8.0,15.524174696260024,14.0,1.5241746962600242,False
target2_close14|seed13|source_mismatch,0-1,0,1,188.0,85.0,5.0,252.0,87.0,6.0,64.03124237432849,11.0,53.031242374328485,False
target2_close14|seed13|source_mismatch,0-2,0,2,188.0,85.0,5.0,264.0,81.0,8.0,76.10519036176179,13.0,63.105190361761785,False
target2_close14|seed13|source_mismatch,1-2,1,2,252.0,87.0,6.0,264.0,81.0,8.0,13.416407864998739,14.0,-0.5835921350012612,True
target2_close14|seed21|nominal,0-1,0,1,191.0,86.0,5.0,254.0,91.0,6.0,63.198101237299845,11.0,52.198101237299845,False
target2_close14|seed21|nominal,0-2,0,2,191.0,86.0,5.0,266.0,91.0,8.0,75.16648189186454,13.0,62.166481891864535,False
target2_close14|seed21|nominal,1-2,1,2,254.0,91.0,6.0,266.0,91.0,8.0,12.0,14.0,-2.0,True
target2_close14|seed21|source_mismatch,0-1,0,1,190.0,95.0,5.0,248.0,86.0,6.0,58.69412236331676,11.0,47.69412236331676,False
target2_close14|seed21|source_mismatch,0-2,0,2,190.0,95.0,5.0,263.0,81.0,8.0,74.33034373659252,13.0,61.330343736592525,False
target2_close14|seed21|source_mismatch,1-2,1,2,248.0,86.0,6.0,263.0,81.0,8.0,15.811388300841896,14.0,1.8113883008418963,False
target2_close14|seed34|nominal,0-1,0,1,190.0,85.0,5.0,260.0,87.0,6.0,70.02856560004639,11.0,59.02856560004639,False
target2_close14|seed34|nominal,0-2,0,2,190.0,85.0,5.0,272.0,92.0,8.0,82.29823813423954,13.0,69.29823813423954,False
target2_close14|seed34|nominal,1-2,1,2,260.0,87.0,6.0,272.0,92.0,8.0,13.0,14.0,-1.0,True
target2_close14|seed34|source_mismatch,0-1,0,1,191.0,93.0,5.0,247.0,85.0,6.0,56.568542494923804,11.0,45.568542494923804,False
target2_close14|seed34|source_mismatch,0-2,0,2,191.0,93.0,5.0,261.0,83.0,8.0,70.71067811865476,13.0,57.710678118654755,False
target2_close14|seed34|source_mismatch,1-2,1,2,247.0,85.0,6.0,261.0,83.0,8.0,14.142135623730951,14.0,0.142135623730951,False
target2_close50_linear29p5|seed13|source_mismatch,0-1,0,1,187.0,102.0,5.0,253.0,100.0,6.0,66.03029607687671,11.0,55.03029607687671,False
target2_close50_linear29p5|seed13|source_mismatch,0-2,0,2,187.0,102.0,5.0,303.0,101.0,8.0,116.00431026474836,13.0,103.00431026474836,False
target2_close50_linear29p5|seed13|source_mismatch,1-2,1,2,253.0,100.0,6.0,303.0,101.0,8.0,50.00999900019995,14.0,36.00999900019995,False
target2_close50_linear29p5|seed21|nominal,0-1,0,1,188.0,97.0,5.0,253.0,101.0,6.0,65.12296062065974,11.0,54.12296062065974,False
target2_close50_linear29p5|seed21|nominal,0-2,0,2,188.0,97.0,5.0,298.0,97.0,8.0,110.0,13.0,97.0,False
target2_close50_linear29p5|seed21|nominal,1-2,1,2,253.0,101.0,6.0,298.0,97.0,8.0,45.17742799230607,14.0,31.17742799230607,False
target2_close50_linear29p5|seed21|source_mismatch,0-1,0,1,188.0,97.0,5.0,252.0,82.0,6.0,65.73431371817918,11.0,54.73431371817918,False
target2_close50_linear29p5|seed21|source_mismatch,0-2,0,2,188.0,97.0,5.0,294.0,80.0,8.0,107.35455276791944,13.0,94.35455276791944,False
target2_close50_linear29p5|seed21|source_mismatch,1-2,1,2,252.0,82.0,6.0,294.0,80.0,8.0,42.04759208325728,14.0,28.04759208325728,False
target2_close50_linear29p5|seed34|source_mismatch,0-1,0,1,182.0,89.0,5.0,250.0,84.0,6.0,68.18357573492314,11.0,57.18357573492314,False
target2_close50_linear29p5|seed34|source_mismatch,0-2,0,2,182.0,89.0,5.0,295.0,89.0,8.0,113.0,13.0,100.0,False
target2_close50_linear29p5|seed34|source_mismatch,1-2,1,2,250.0,84.0,6.0,295.0,89.0,8.0,45.27692569068709,14.0,31.276925690687087,False
