source_summary_json,run_dir,run_name,target_index,case_label,candidate_csv,candidate_csv_exists,audited,reason,candidate_count,truth_x_mm,truth_z_mm,best_x_mm,best_z_mm,best_misfit,selected_truth_lateral,truth_lateral_available,truth_lateral_candidate_count,truth_lateral_best_x_mm,truth_lateral_best_z_mm,truth_lateral_best_misfit,truth_lateral_gap_abs,truth_lateral_gap_rel,truth_lateral_retained_by_rule,truth_lateral_retained_but_not_selected,best_lateral_error_mm,truth_lateral_best_depth_error_mm
outputs/experiments/081_coordinate_optimizer_cpu_smoke/data/multi_rebar_coordinate_optimizer_summary.json,081_coordinate_optimizer_cpu_smoke,coordinate_optimizer_cpu_smoke,0,exact,outputs/experiments/081_coordinate_optimizer_cpu_smoke/data/coordinate_step_01_target_0_candidates.csv,True,True,ok,1,150.0,90.0,150.0,90.0,0.0,True,True,1,150.0,90.0,0.0,0.0,,True,False,0.0,0.0
outputs/experiments/082_coordinate_optimizer_gpu_compact_perturbed_seed/data/multi_rebar_coordinate_optimizer_summary.json,082_coordinate_optimizer_gpu_compact_perturbed_seed,coordinate_optimizer_gpu_compact_perturbed_seed,0,nominal,outputs/experiments/082_coordinate_optimizer_gpu_compact_perturbed_seed/data/coordinate_step_01_target_0_candidates.csv,True,True,ok,27,150.0,90.0,150.0,90.0,0.013993541204427433,True,True,9,150.0,90.0,0.013993541204427433,0.0,0.0,True,False,0.0,0.0
outputs/experiments/082_coordinate_optimizer_gpu_compact_perturbed_seed/data/multi_rebar_coordinate_optimizer_summary.json,082_coordinate_optimizer_gpu_compact_perturbed_seed,coordinate_optimizer_gpu_compact_perturbed_seed,1,nominal,outputs/experiments/082_coordinate_optimizer_gpu_compact_perturbed_seed/data/coordinate_step_02_target_1_candidates.csv,True,True,ok,27,250.0,90.0,250.0,90.0,0.0075457966355261296,True,True,9,250.0,90.0,0.0075457966355261296,0.0,0.0,True,False,0.0,0.0
outputs/experiments/082_coordinate_optimizer_gpu_compact_perturbed_seed/data/multi_rebar_coordinate_optimizer_summary.json,082_coordinate_optimizer_gpu_compact_perturbed_seed,coordinate_optimizer_gpu_compact_perturbed_seed,2,nominal,outputs/experiments/082_coordinate_optimizer_gpu_compact_perturbed_seed/data/coordinate_step_03_target_2_candidates.csv,True,True,ok,27,350.0,90.0,350.0,90.0,0.0,True,True,9,350.0,90.0,0.0,0.0,,True,False,0.0,0.0
outputs/experiments/083_coordinate_optimizer_noise10_seed13/data/multi_rebar_coordinate_optimizer_summary.json,083_coordinate_optimizer_noise10_seed13,coordinate_optimizer_noise10_seed13,0,noise10_seed13,outputs/experiments/083_coordinate_optimizer_noise10_seed13/data/coordinate_step_01_target_0_candidates.csv,True,True,ok,27,150.0,90.0,150.0,90.0,0.09297903443836761,True,True,9,150.0,90.0,0.09297903443836761,0.0,0.0,True,False,0.0,0.0
outputs/experiments/083_coordinate_optimizer_noise10_seed13/data/multi_rebar_coordinate_optimizer_summary.json,083_coordinate_optimizer_noise10_seed13,coordinate_optimizer_noise10_seed13,1,noise10_seed13,outputs/experiments/083_coordinate_optimizer_noise10_seed13/data/coordinate_step_02_target_1_candidates.csv,True,True,ok,27,250.0,90.0,250.0,90.0,0.08726947945504163,True,True,9,250.0,90.0,0.08726947945504163,0.0,0.0,True,False,0.0,0.0
outputs/experiments/083_coordinate_optimizer_noise10_seed13/data/multi_rebar_coordinate_optimizer_summary.json,083_coordinate_optimizer_noise10_seed13,coordinate_optimizer_noise10_seed13,2,noise10_seed13,outputs/experiments/083_coordinate_optimizer_noise10_seed13/data/coordinate_step_03_target_2_candidates.csv,True,True,ok,27,350.0,90.0,350.0,90.0,0.0803985157145755,True,True,9,350.0,90.0,0.0803985157145755,0.0,0.0,True,False,0.0,0.0
outputs/experiments/084_coordinate_optimizer_noise10_seed21/data/multi_rebar_coordinate_optimizer_summary.json,084_coordinate_optimizer_noise10_seed21,coordinate_optimizer_noise10_seed21,0,noise10_seed21,outputs/experiments/084_coordinate_optimizer_noise10_seed21/data/coordinate_step_01_target_0_candidates.csv,True,True,ok,27,150.0,90.0,150.0,90.0,0.09182767131447195,True,True,9,150.0,90.0,0.09182767131447195,0.0,0.0,True,False,0.0,0.0
outputs/experiments/084_coordinate_optimizer_noise10_seed21/data/multi_rebar_coordinate_optimizer_summary.json,084_coordinate_optimizer_noise10_seed21,coordinate_optimizer_noise10_seed21,1,noise10_seed21,outputs/experiments/084_coordinate_optimizer_noise10_seed21/data/coordinate_step_02_target_1_candidates.csv,True,True,ok,27,250.0,90.0,250.0,90.0,0.08602491076142647,True,True,9,250.0,90.0,0.08602491076142647,0.0,0.0,True,False,0.0,0.0
outputs/experiments/084_coordinate_optimizer_noise10_seed21/data/multi_rebar_coordinate_optimizer_summary.json,084_coordinate_optimizer_noise10_seed21,coordinate_optimizer_noise10_seed21,2,noise10_seed21,outputs/experiments/084_coordinate_optimizer_noise10_seed21/data/coordinate_step_03_target_2_candidates.csv,True,True,ok,27,350.0,90.0,350.0,90.0,0.07905595172656833,True,True,9,350.0,90.0,0.07905595172656833,0.0,0.0,True,False,0.0,0.0
outputs/experiments/086_coordinate_optimizer_noise10_seed34/data/multi_rebar_coordinate_optimizer_summary.json,086_coordinate_optimizer_noise10_seed34,coordinate_optimizer_noise10_seed34,0,noise10_seed34,outputs/experiments/086_coordinate_optimizer_noise10_seed34/data/coordinate_step_01_target_0_candidates.csv,True,True,ok,27,150.0,90.0,150.0,90.0,0.09260910972920268,True,True,9,150.0,90.0,0.09260910972920268,0.0,0.0,True,False,0.0,0.0
outputs/experiments/086_coordinate_optimizer_noise10_seed34/data/multi_rebar_coordinate_optimizer_summary.json,086_coordinate_optimizer_noise10_seed34,coordinate_optimizer_noise10_seed34,1,noise10_seed34,outputs/experiments/086_coordinate_optimizer_noise10_seed34/data/coordinate_step_02_target_1_candidates.csv,True,True,ok,27,250.0,90.0,250.0,90.0,0.08671631092636968,True,True,9,250.0,90.0,0.08671631092636968,0.0,0.0,True,False,0.0,0.0
outputs/experiments/086_coordinate_optimizer_noise10_seed34/data/multi_rebar_coordinate_optimizer_summary.json,086_coordinate_optimizer_noise10_seed34,coordinate_optimizer_noise10_seed34,2,noise10_seed34,outputs/experiments/086_coordinate_optimizer_noise10_seed34/data/coordinate_step_03_target_2_candidates.csv,True,True,ok,27,350.0,90.0,350.0,90.0,0.0796793220200304,True,True,9,350.0,90.0,0.0796793220200304,0.0,0.0,True,False,0.0,0.0
outputs/experiments/088_coordinate_optimizer_noise10_seed55/data/multi_rebar_coordinate_optimizer_summary.json,088_coordinate_optimizer_noise10_seed55,coordinate_optimizer_noise10_seed55,0,noise10_seed55,outputs/experiments/088_coordinate_optimizer_noise10_seed55/data/coordinate_step_01_target_0_candidates.csv,True,True,ok,27,150.0,90.0,150.0,90.0,0.0940572696004415,True,True,9,150.0,90.0,0.0940572696004415,0.0,0.0,True,False,0.0,0.0
outputs/experiments/088_coordinate_optimizer_noise10_seed55/data/multi_rebar_coordinate_optimizer_summary.json,088_coordinate_optimizer_noise10_seed55,coordinate_optimizer_noise10_seed55,1,noise10_seed55,outputs/experiments/088_coordinate_optimizer_noise10_seed55/data/coordinate_step_02_target_1_candidates.csv,True,True,ok,27,250.0,90.0,250.0,90.0,0.08815069285225359,True,True,9,250.0,90.0,0.08815069285225359,0.0,0.0,True,False,0.0,0.0
outputs/experiments/088_coordinate_optimizer_noise10_seed55/data/multi_rebar_coordinate_optimizer_summary.json,088_coordinate_optimizer_noise10_seed55,coordinate_optimizer_noise10_seed55,2,noise10_seed55,outputs/experiments/088_coordinate_optimizer_noise10_seed55/data/coordinate_step_03_target_2_candidates.csv,True,True,ok,27,350.0,90.0,350.0,90.0,0.08103288714221982,True,True,9,350.0,90.0,0.08103288714221982,0.0,0.0,True,False,0.0,0.0
outputs/experiments/090_coordinate_optimizer_seed_offset2mm_noise10_seed13/data/multi_rebar_coordinate_optimizer_summary.json,090_coordinate_optimizer_seed_offset2mm_noise10_seed13,coordinate_optimizer_seed_offset2mm_noise10_seed13,0,noise10_seed13,outputs/experiments/090_coordinate_optimizer_seed_offset2mm_noise10_seed13/data/coordinate_step_01_target_0_candidates.csv,True,True,ok,125,150.0,90.0,150.0,91.0,0.1362061509177621,True,True,25,150.0,91.0,0.1362061509177621,0.0,0.0,True,False,0.0,1.0
outputs/experiments/090_coordinate_optimizer_seed_offset2mm_noise10_seed13/data/multi_rebar_coordinate_optimizer_summary.json,090_coordinate_optimizer_seed_offset2mm_noise10_seed13,coordinate_optimizer_seed_offset2mm_noise10_seed13,1,noise10_seed13,outputs/experiments/090_coordinate_optimizer_seed_offset2mm_noise10_seed13/data/coordinate_step_02_target_1_candidates.csv,True,True,ok,125,250.0,90.0,250.0,90.0,0.10739591738922019,True,True,25,250.0,90.0,0.10739591738922019,0.0,0.0,True,False,0.0,0.0
outputs/experiments/090_coordinate_optimizer_seed_offset2mm_noise10_seed13/data/multi_rebar_coordinate_optimizer_summary.json,090_coordinate_optimizer_seed_offset2mm_noise10_seed13,coordinate_optimizer_seed_offset2mm_noise10_seed13,2,noise10_seed13,outputs/experiments/090_coordinate_optimizer_seed_offset2mm_noise10_seed13/data/coordinate_step_03_target_2_candidates.csv,True,True,ok,125,350.0,90.0,350.0,90.0,0.08126999249256223,True,True,25,350.0,90.0,0.08126999249256223,0.0,0.0,True,False,0.0,0.0
outputs/experiments/091_coordinate_optimizer_seed_offset2mm_target0_revisit_seed13/data/multi_rebar_coordinate_optimizer_summary.json,091_coordinate_optimizer_seed_offset2mm_target0_revisit_seed13,coordinate_optimizer_seed_offset2mm_target0_revisit_seed13,0,noise10_seed13,outputs/experiments/091_coordinate_optimizer_seed_offset2mm_target0_revisit_seed13/data/coordinate_step_01_target_0_candidates.csv,True,True,ok,45,150.0,90.0,150.0,90.0,0.0803985157145755,True,True,15,150.0,90.0,0.0803985157145755,0.0,0.0,True,False,0.0,0.0
