run_dir,run_name,target_index,case_label,candidate_csv,candidate_step_name,step_index,has_downstream_steps,is_revisit_step,best_x_mm,best_z_mm,truth_lateral_x_mm,truth_lateral_z_mm,best_misfit,truth_lateral_misfit,truth_lateral_gap_abs,truth_lateral_gap_rel,best_candidate_linf_error_mm,truth_lateral_candidate_linf_error_mm,candidate_linf_improvement_mm,already_coupled_followup,source_summary_json,actionability_label
1221_coordinate_optimizer_close50_seed21_sources4_txrx25_rerun_objectives,coordinate_optimizer_close50_seed21_sources4_txrx25_rerun_objectives,2,source_mismatch_noise10_seed21,outputs/experiments/1221_coordinate_optimizer_close50_seed21_sources4_txrx25_rerun_objectives/data/coordinate_step_01_target_2_candidates.csv,coordinate_step_01_target_2_candidates.csv,0,True,False,301.0,90.0,300.0,90.0,0.07073273397599938,0.0709425916685671,0.00020985769256771925,0.0029669105203670894,1.0,0.0,1.0,False,outputs/experiments/1221_coordinate_optimizer_close50_seed21_sources4_txrx25_rerun_objectives/data/multi_rebar_coordinate_optimizer_summary.json,candidate_for_narrow_coupled_probe
274_coordinate_optimizer_close50_seed34_sources3_txrx40_objectives,coordinate_optimizer_close50_seed34_sources3_txrx40_objectives,2,source_mismatch_noise10_seed34,outputs/experiments/274_coordinate_optimizer_close50_seed34_sources3_txrx40_objectives/data/coordinate_step_01_target_2_candidates.csv,coordinate_step_01_target_2_candidates.csv,0,True,False,299.0,90.0,300.0,90.0,0.028529334038008787,0.030310804645480555,0.0017814706074717676,0.0624434697668851,1.0,0.0,1.0,False,outputs/experiments/274_coordinate_optimizer_close50_seed34_sources3_txrx40_objectives/data/multi_rebar_coordinate_optimizer_summary.json,candidate_for_narrow_coupled_probe
285_coordinate_optimizer_close50_seed34_sources4_txrx25_objectives,coordinate_optimizer_close50_seed34_sources4_txrx25_objectives,2,source_mismatch_noise10_seed34,outputs/experiments/285_coordinate_optimizer_close50_seed34_sources4_txrx25_objectives/data/coordinate_step_01_target_2_candidates.csv,coordinate_step_01_target_2_candidates.csv,0,True,False,301.0,90.0,300.0,90.0,0.06948907765496755,0.0695544807493441,6.540309437655378e-05,0.0009411996328588243,1.0,0.0,1.0,False,outputs/experiments/285_coordinate_optimizer_close50_seed34_sources4_txrx25_objectives/data/multi_rebar_coordinate_optimizer_summary.json,candidate_for_narrow_coupled_probe
1221_coordinate_optimizer_close50_seed21_sources4_txrx25_rerun_objectives,coordinate_optimizer_close50_seed21_sources4_txrx25_rerun_objectives,2,source_mismatch_noise10_seed21,outputs/experiments/1221_coordinate_optimizer_close50_seed21_sources4_txrx25_rerun_objectives/data/coordinate_step_02_revisit_target_2_candidates.csv,coordinate_step_02_revisit_target_2_candidates.csv,1,False,True,301.0,90.0,300.0,90.0,0.07073273397599938,0.0709425916685671,0.00020985769256771925,0.0029669105203670894,1.0,0.0,1.0,False,outputs/experiments/1221_coordinate_optimizer_close50_seed21_sources4_txrx25_rerun_objectives/data/multi_rebar_coordinate_optimizer_summary.json,candidate_surface_selectable_improvement
243_coordinate_optimizer_variable_radius_target2_after_location_polish_seed34,coordinate_optimizer_variable_radius_target2_after_location_polish_seed34,2,source_mismatch_noise10_seed34,outputs/experiments/243_coordinate_optimizer_variable_radius_target2_after_location_polish_seed34/data/coordinate_step_01_target_2_candidates.csv,coordinate_step_01_target_2_candidates.csv,0,False,False,309.0,90.0,310.0,90.0,0.11889190594889865,0.11899113935129609,9.923340239743894e-05,0.0008346522970208821,1.0,0.0,1.0,False,outputs/experiments/243_coordinate_optimizer_variable_radius_target2_after_location_polish_seed34/data/multi_rebar_coordinate_optimizer_summary.json,candidate_surface_selectable_improvement
285_coordinate_optimizer_close50_seed34_sources4_txrx25_objectives,coordinate_optimizer_close50_seed34_sources4_txrx25_objectives,2,source_mismatch_noise10_seed34,outputs/experiments/285_coordinate_optimizer_close50_seed34_sources4_txrx25_objectives/data/coordinate_step_02_revisit_target_2_candidates.csv,coordinate_step_02_revisit_target_2_candidates.csv,1,False,True,301.0,90.0,300.0,90.0,0.06948907765496755,0.0695544807493441,6.540309437655378e-05,0.0009411996328588243,1.0,0.0,1.0,False,outputs/experiments/285_coordinate_optimizer_close50_seed34_sources4_txrx25_objectives/data/multi_rebar_coordinate_optimizer_summary.json,candidate_surface_selectable_improvement
336_coordinate_optimizer_close14_seed34_sources3_txrx45_objectives,coordinate_optimizer_close14_seed34_sources3_txrx45_objectives,2,source_mismatch_noise10_seed34,outputs/experiments/336_coordinate_optimizer_close14_seed34_sources3_txrx45_objectives/data/coordinate_step_01_target_2_candidates.csv,coordinate_step_01_target_2_candidates.csv,0,False,False,265.0,90.0,264.0,90.0,0.04397935722156662,0.044054211919450484,7.485469788386101e-05,0.001702041653468135,1.0,0.0,1.0,False,outputs/experiments/336_coordinate_optimizer_close14_seed34_sources3_txrx45_objectives/data/multi_rebar_coordinate_optimizer_summary.json,candidate_surface_selectable_improvement
219_coordinate_optimizer_variable_radius_close_spacing_from_assignment_seed13,coordinate_optimizer_variable_radius_close_spacing_from_assignment_seed13,0,source_mismatch_noise10_seed13,outputs/experiments/219_coordinate_optimizer_variable_radius_close_spacing_from_assignment_seed13/data/coordinate_step_01_target_0_candidates.csv,coordinate_step_01_target_0_candidates.csv,0,True,False,189.0,95.0,190.0,95.0,0.518708727545546,0.5230336678560997,0.004324940310553749,0.00833789770806197,5.0,5.0,0.0,False,outputs/experiments/219_coordinate_optimizer_variable_radius_close_spacing_from_assignment_seed13/data/multi_rebar_coordinate_optimizer_summary.json,objective_near_tie_same_coordinate_error
219_coordinate_optimizer_variable_radius_close_spacing_from_assignment_seed13,coordinate_optimizer_variable_radius_close_spacing_from_assignment_seed13,0,source_mismatch_noise10_seed13,outputs/experiments/219_coordinate_optimizer_variable_radius_close_spacing_from_assignment_seed13/data/coordinate_step_04_revisit_target_0_candidates.csv,coordinate_step_04_revisit_target_0_candidates.csv,3,True,True,189.0,94.0,190.0,94.0,0.1196225554590571,0.12862903539552448,0.009006479936467374,0.0752908170361734,4.0,4.0,0.0,False,outputs/experiments/219_coordinate_optimizer_variable_radius_close_spacing_from_assignment_seed13/data/multi_rebar_coordinate_optimizer_summary.json,objective_near_tie_same_coordinate_error
455_coordinate_optimizer_variable_depth_radius_location_only_seed13,coordinate_optimizer_variable_depth_radius_location_only_seed13,0,source_mismatch_noise10_seed13,outputs/experiments/455_coordinate_optimizer_variable_depth_radius_location_only_seed13/data/coordinate_step_01_target_0_candidates.csv,coordinate_step_01_target_0_candidates.csv,0,True,False,149.0,81.0,150.0,81.0,0.3981692630067288,0.39916364283616845,0.0009943798294396733,0.002497379687047488,5.0,5.0,0.0,False,outputs/experiments/455_coordinate_optimizer_variable_depth_radius_location_only_seed13/data/multi_rebar_coordinate_optimizer_summary.json,objective_near_tie_same_coordinate_error
1341_local2d_repaired_exact_radius_seed_refine_target2_close14_seed21_nominal_gpu,local2d_repaired_exact_radius_seed_refine_target2_close14_seed21_nominal_gpu,1,nominal,outputs/experiments/1341_local2d_repaired_exact_radius_seed_refine_target2_close14_seed21_nominal_gpu/data/coordinate_step_02_target_1_candidates.csv,coordinate_step_02_target_1_candidates.csv,1,True,False,252.0,89.0,250.0,89.0,0.06620447797340417,0.07230618122169422,0.006101703248290041,0.0921645096384754,2.0,2.0,0.0,True,outputs/experiments/1341_local2d_repaired_exact_radius_seed_refine_target2_close14_seed21_nominal_gpu/data/multi_rebar_coordinate_optimizer_summary.json,objective_near_tie_same_coordinate_error
