abs_gap_cutoff,rel_gap_cutoff,audited_step_count,missed_truth_lateral_available_count,missed_truth_lateral_recovered_count,missed_truth_lateral_recovery_fraction,target2_missed_truth_lateral_recovered_count,mean_retained_candidates_per_step,p95_retained_candidates_per_step,max_retained_candidates_per_step,mean_extra_candidates_per_step,total_extra_candidates_retained
0.001,0.01,747,17,8,0.47058823529411764,7,1.1994645247657296,3.0,4,0.1994645247657296,149
0.001,0.02,747,17,8,0.47058823529411764,7,1.2556894243641232,3.0,4,0.2556894243641232,191
0.001,0.05,747,17,8,0.47058823529411764,7,2.105756358768407,3.0,5,1.105756358768407,826
0.001,0.1,747,17,8,0.47058823529411764,7,2.253012048192771,3.0,5,1.2530120481927711,936
0.001,0.2,747,17,8,0.47058823529411764,7,2.253012048192771,3.0,5,1.2530120481927711,936
0.002,0.01,747,17,8,0.47058823529411764,7,1.2208835341365463,3.0,5,0.22088353413654618,165
0.002,0.02,747,17,9,0.5294117647058824,8,1.4591700133868808,4.0,7,0.45917001338688085,343
0.002,0.05,747,17,9,0.5294117647058824,8,2.463186077643909,5.0,8,1.463186077643909,1093
0.002,0.1,747,17,10,0.5882352941176471,9,3.393574297188755,6.0,8,2.393574297188755,1788
0.002,0.2,747,17,10,0.5882352941176471,9,3.6265060240963853,6.0,8,2.6265060240963853,1962
0.005,0.01,747,17,9,0.5294117647058824,7,1.2436412315930387,3.0,7,0.24364123159303883,182
0.005,0.02,747,17,10,0.5882352941176471,8,1.5823293172690762,5.0,10,0.5823293172690763,435
0.005,0.05,747,17,10,0.5882352941176471,8,3.4712182061579653,10.0,18,2.4712182061579653,1846
0.005,0.1,747,17,11,0.6470588235294118,9,4.732262382864793,12.0,20,3.7322623828647923,2788
0.005,0.2,747,17,12,0.7058823529411765,10,6.068273092369478,13.0,20,5.068273092369478,3786
0.01,0.01,747,17,9,0.5294117647058824,7,1.2463186077643909,3.0,7,0.2463186077643909,184
0.01,0.02,747,17,10,0.5882352941176471,8,1.6251673360107095,5.0,15,0.6251673360107095,467
0.01,0.05,747,17,10,0.5882352941176471,8,3.6144578313253013,11.699999999999932,19,2.6144578313253013,1953
0.01,0.1,747,17,13,0.7647058823529411,9,5.598393574297189,17.0,30,4.598393574297189,3435
0.01,0.2,747,17,14,0.8235294117647058,10,7.317269076305221,19.0,34,6.317269076305221,4719
0.02,0.01,747,17,9,0.5294117647058824,7,1.2463186077643909,3.0,7,0.2463186077643909,184
0.02,0.02,747,17,10,0.5882352941176471,8,1.6318607764390898,5.0,15,0.6318607764390897,472
0.02,0.05,747,17,10,0.5882352941176471,8,3.7228915662650603,12.0,32,2.7228915662650603,2034
0.02,0.1,747,17,13,0.7647058823529411,9,6.331994645247657,18.699999999999932,34,5.331994645247657,3983
0.02,0.2,747,17,14,0.8235294117647058,10,9.764390896921018,28.699999999999932,47,8.764390896921018,6547
