spacing_family,spacing_mm,target_rebar_index,source_count,source_family,source_path,run_name,case_label,case_kind,seed,tx_rx_offset_mm,best_x_mm,best_z_mm,best_radius_mm,truth_x_mm,truth_z_mm,truth_radius_mm,x_abs_error_mm,z_abs_error_mm,radius_abs_error_mm,truth_geometry,confidence_label,radius_margin_abs,best_misfit,competing_geometry_x_mm,competing_geometry_radius_mm,ambiguity_candidate_count,ambiguity_x_width_mm,ambiguity_radius_width_mm
close14,14.0,2,3,source3_direct_three_seed,outputs/experiments/336_coordinate_optimizer_close14_seed34_sources3_txrx45_objectives/data/coordinate_confidence_report.csv,coordinate_optimizer_close14_seed34_sources3_txrx45_objectives,noise10_seed34,nominal,34,45.0,264.0,90.0,8.0,264.0,90.0,8.0,0.0,0.0,0.0,True,strong,0.0031885508702488574,0.03306174001543383,265.0,8.0,2,1.0,0.0
close14,14.0,2,3,source3_direct_three_seed,outputs/experiments/336_coordinate_optimizer_close14_seed34_sources3_txrx45_objectives/data/coordinate_confidence_report.csv,coordinate_optimizer_close14_seed34_sources3_txrx45_objectives,source_mismatch_noise10_seed34,source_mismatch,34,45.0,265.0,90.0,8.0,264.0,90.0,8.0,1.0,0.0,0.0,False,strong,0.0035496259256743504,0.04397935722156662,264.0,8.0,2,1.0,0.0
close14,14.0,2,3,source3_direct_three_seed,outputs/experiments/1346_coordinate_optimizer_close14_seed13_sources3_txrx45_objectives/data/coordinate_confidence_report.csv,coordinate_optimizer_close14_seed13_sources3_txrx45_objectives,noise10_seed13,nominal,13,45.0,264.0,90.0,8.0,264.0,90.0,8.0,0.0,0.0,0.0,True,strong,0.002948119127519813,0.032793988249018115,263.0,8.0,3,2.0,0.0
close14,14.0,2,3,source3_direct_three_seed,outputs/experiments/1346_coordinate_optimizer_close14_seed13_sources3_txrx45_objectives/data/coordinate_confidence_report.csv,coordinate_optimizer_close14_seed13_sources3_txrx45_objectives,source_mismatch_noise10_seed13,source_mismatch,13,45.0,264.0,90.0,8.0,264.0,90.0,8.0,0.0,0.0,0.0,True,strong,0.003957909526744248,0.04341091139649096,265.0,8.0,2,1.0,0.0
close14,14.0,2,3,source3_direct_three_seed,outputs/experiments/1347_coordinate_optimizer_close14_seed21_sources3_txrx45_objectives/data/coordinate_confidence_report.csv,coordinate_optimizer_close14_seed21_sources3_txrx45_objectives,noise10_seed21,nominal,21,45.0,264.0,90.0,8.0,264.0,90.0,8.0,0.0,0.0,0.0,True,strong,0.003300999445217688,0.03240618754491203,265.0,8.0,2,1.0,0.0
close14,14.0,2,3,source3_direct_three_seed,outputs/experiments/1347_coordinate_optimizer_close14_seed21_sources3_txrx45_objectives/data/coordinate_confidence_report.csv,coordinate_optimizer_close14_seed21_sources3_txrx45_objectives,source_mismatch_noise10_seed21,source_mismatch,21,45.0,264.0,90.0,8.0,264.0,90.0,8.0,0.0,0.0,0.0,True,strong,0.003853740857324782,0.043916122180962254,265.0,8.0,2,1.0,0.0
close14,14.0,2,4,source4_saved_three_seed,outputs/experiments/335_coordinate_confidence_close14_sources4_txrx45_seed_replicates/data/coordinate_confidence_aggregate.csv,coordinate_optimizer_close14_seed34_sources4_txrx45_objectives,noise10_seed34,nominal,34,45.0,264.0,90.0,8.0,264.0,90.0,8.0,0.0,0.0,0.0,True,strong,0.0026954564365127623,0.039205058368558844,263.0,8.0,1,0.0,0.0
close14,14.0,2,4,source4_saved_three_seed,outputs/experiments/335_coordinate_confidence_close14_sources4_txrx45_seed_replicates/data/coordinate_confidence_aggregate.csv,coordinate_optimizer_close14_seed34_sources4_txrx45_objectives,source_mismatch_noise10_seed34,source_mismatch,34,45.0,264.0,90.0,8.0,264.0,90.0,8.0,0.0,0.0,0.0,True,strong,0.005272992251591863,0.06329205251744656,263.0,8.0,1,0.0,0.0
close14,14.0,2,4,source4_saved_three_seed,outputs/experiments/335_coordinate_confidence_close14_sources4_txrx45_seed_replicates/data/coordinate_confidence_aggregate.csv,coordinate_optimizer_close14_seed13_sources4_txrx45_objectives,noise10_seed13,nominal,13,45.0,264.0,90.0,8.0,264.0,90.0,8.0,0.0,0.0,0.0,True,strong,0.002645545107288469,0.039634485230383674,263.0,8.0,1,0.0,0.0
close14,14.0,2,4,source4_saved_three_seed,outputs/experiments/335_coordinate_confidence_close14_sources4_txrx45_seed_replicates/data/coordinate_confidence_aggregate.csv,coordinate_optimizer_close14_seed13_sources4_txrx45_objectives,source_mismatch_noise10_seed13,source_mismatch,13,45.0,264.0,90.0,8.0,264.0,90.0,8.0,0.0,0.0,0.0,True,strong,0.005399057784606906,0.06379330193055897,263.0,8.0,1,0.0,0.0
