family,spacing_mm,source_count,tx_rx_offset_mm,evidence_scope,row_count,seed_count,seed_values,truth_geometry_count,truth_geometry_fraction,strong_count,moderate_count,weak_count,selected_wrong_x_count,min_radius_margin_abs,max_x_abs_error_mm,max_radius_abs_error_mm,max_ambiguity_x_width_mm,three_seed_exact,three_seed_strong_exact,three_seed_near_exact_context,replicated_failure,evidence_role
close14,14.0,3,45.0,three_seed_source3_near_exact_context,6,3,"13,21,34",5,0.8333333333333334,6,0,0,1,0.002948119127519813,1.0,0.0,2.0,False,False,True,False,three_seed_near_exact_context
close14,14.0,4,45.0,single_seed_source_count_noise_boundary_context,2,1,34,2,1.0,2,0,0,0,0.002580073287529114,0.0,0.0,1.0,False,False,False,False,single_seed_context_only
close14,14.0,4,45.0,three_seed_source4_context,6,3,"13,21,34",6,1.0,6,0,0,0,0.002573550414975867,0.0,0.0,0.0,True,True,True,False,three_seed_exact_recovery
close14,14.0,5,45.0,single_seed_source_count_noise_boundary_context,2,1,34,2,1.0,2,0,0,0,0.001499984906299226,0.0,0.0,1.0,False,False,False,False,single_seed_context_only
close14,14.0,5,45.0,three_seed_source5_noise_boundary_context,6,3,"13,21,34",6,1.0,6,0,0,0,0.001499984906299226,0.0,0.0,1.0,True,True,True,False,three_seed_exact_recovery
close14,14.0,7,45.0,single_seed_source_count_noise_boundary_context,2,1,34,2,1.0,2,0,0,0,0.0025572873912654004,0.0,0.0,1.0,False,False,False,False,single_seed_context_only
close25,25.0,4,40.0,three_seed_source4_context,6,3,"13,21,34",6,1.0,3,2,1,0,0.0004881751262418438,0.0,0.0,1.0,True,False,False,False,three_seed_exact_recovery
close25,25.0,4,45.0,three_seed_source4_context,6,3,"13,21,34",6,1.0,6,0,0,0,0.0025074860351216866,0.0,0.0,0.0,True,True,True,False,three_seed_exact_recovery
close28,28.0,4,35.0,three_seed_source4_context,6,3,"13,21,34",6,1.0,3,1,2,0,0.00028268910325753016,0.0,0.0,1.0,True,False,False,False,three_seed_exact_recovery
close28,28.0,4,45.0,three_seed_source4_context,6,3,"13,21,34",6,1.0,6,0,0,0,0.002182033026921236,0.0,0.0,0.0,True,True,True,False,three_seed_exact_recovery
close50,50.0,3,40.0,matched_source_count_transition,6,3,"13,21,34",0,0.0,0,0,6,6,3.792580948191668e-05,1.0,0.5,,False,False,False,True,matched_three_seed_failure
close50,50.0,4,40.0,matched_source_count_transition,6,3,"13,21,34",6,1.0,6,0,0,0,0.004817171324461536,0.0,0.0,,True,True,True,False,three_seed_exact_recovery
close50,50.0,5,40.0,matched_source_count_transition,6,3,"13,21,34",6,1.0,6,0,0,0,0.0023560651198494195,0.0,0.0,,True,True,True,False,three_seed_exact_recovery
