case_label,branch_key,seed,case_variant,run_name,candidate_triple_count,all_truth_triple_count,best_feature,best_first_all_truth_rank,best_budget_label,best_false_minus_truth_score_gap,positive_gap_feature_count,feature_count
target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,1140,8,x_span_target70_inverse,4.0,top10_rank_gate,0.0,20,22
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,1140,4,x_span_target80_inverse,3.0,top10_rank_gate,0.0,21,22
target2_close14|seed21|nominal,target2_close14,21,nominal,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,1140,4,score_span_bonus,7.0,top10_rank_gate,0.055465930252387885,22,22
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,1140,4,score_min_span,18.0,top50_rank_gate,0.043797638948110396,22,22
target2_close14|seed34|nominal,target2_close14,34,nominal,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,1140,12,x_span_target70_inverse,3.0,top10_rank_gate,0.0,20,22
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,1140,8,x_span_target70_inverse,2.0,top10_rank_gate,0.0,21,22
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,680,1,x_span_target110_inverse,60.0,top200_rank_gate,3.0,22,22
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,680,1,x_span_width,2.0,top10_rank_gate,0.0,21,22
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,1140,2,x_span_target110_inverse,15.0,top50_rank_gate,0.0,21,22
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,1140,2,score_component_balanced,3.0,top10_rank_gate,0.02075014508703199,22,22
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed34_nominal_cpu,1140,1,score_component_balanced,27.0,top50_rank_gate,0.0698716421812855,22,22
target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed34_source_mismatch_cpu,560,2,score_component_balanced,10.0,top10_rank_gate,0.07014021821823091,22,22
