case_label,branch_key,seed,case_variant,run_name,feature,candidate_triple_count,all_truth_triple_count,first_all_truth_rank,best_false_minus_best_truth_score_gap,top_unique_all_truths,top_unique_truth_hit_count,top_target0_hit,top_target1_hit,top_target2_hit,top_candidate_ranks,top_candidate_x_values_mm
target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,score_sum,1140,8,108.0,0.4394899083277828,False,1,False,False,True,"2,3,1","261,263,265"
target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,score_span_bonus,1140,8,30.0,0.12953803941391184,False,1,False,False,True,"7,2,1","221,261,265"
target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,score_min,1140,8,229.0,0.31524500100302166,False,1,False,False,True,"2,3,1","261,263,265"
target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,score_min_span,1140,8,68.0,0.12524500100302172,False,1,False,False,True,"2,3,1","261,263,265"
target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,score_balanced,1140,8,42.0,0.1715380394139121,False,1,False,False,True,"7,2,1","221,261,265"
target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,score_mask,1140,8,5.0,0.005921511050581474,False,2,False,True,True,"18,6,1","209,249,265"
target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,score_component_sum,1140,8,204.0,0.16837684542079712,False,1,False,False,True,"2,3,1","261,263,265"
target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,score_component_min,1140,8,373.0,0.12212942711628735,False,1,False,False,True,"2,3,1","261,263,265"
target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,score_component_mean_min,1140,8,320.0,0.1782550422565531,False,1,False,False,True,"2,3,1","261,263,265"
target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,score_component_floor_span,1140,8,108.0,0.022500000000000075,False,2,True,False,True,"16,1,17","183,265,274"
target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,score_component_balanced,1140,8,50.0,0.07707981994328317,False,1,False,False,True,"7,2,4","221,261,273"
target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,score_component_left_floor,1140,8,160.0,0.08373974635227732,False,1,False,False,True,"7,1,4","221,265,273"
target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,score_hybrid_span_component,1140,8,47.0,0.21340791259005032,False,1,False,False,True,"7,2,1","221,261,265"
