feature,case_count,top1_all_truth_case_count,top1_target0_hit_count,top1_target1_hit_count,top1_target2_hit_count,median_first_all_truth_rank,max_first_all_truth_rank,median_false_minus_truth_score_gap,positive_gap_case_count,first_truth_top1_case_count,first_truth_top3_case_count,first_truth_top5_case_count,first_truth_top10_case_count,first_truth_top20_case_count,first_truth_top50_case_count,first_truth_top100_case_count,first_truth_top200_case_count
score_component_balanced,12,0,2,2,10,23.5,151.0,0.06761192003476546,12,0,1,1,3,5,10,11,12
x_span_target80_inverse,12,0,5,3,6,262.0,893.0,16.0,9,0,1,3,3,4,4,4,6
x_span_target70_inverse,12,0,3,4,4,370.5,1032.0,22.0,9,0,2,3,3,3,3,4,5
score_span_bonus,12,0,3,4,5,23.5,129.0,0.1737786038590854,12,0,0,0,2,6,8,10,12
score_balanced,12,0,0,6,5,29.5,145.0,0.17691820569210925,12,0,0,0,2,2,8,9,12
score_min_span,12,0,0,6,9,67.5,276.0,0.10806666723762787,12,0,0,1,1,3,4,10,11
score_hybrid_span_component,12,0,1,6,5,27.5,168.0,0.2001210631341641,12,0,0,0,1,2,8,9,12
score_mask,12,0,3,9,3,103.0,309.0,0.07246377569895843,12,0,0,1,1,1,4,6,10
x_span_width,12,0,5,2,6,78.0,231.0,7.5,11,0,1,1,1,1,2,8,11
score_component_floor_span,12,0,4,2,9,60.0,184.0,0.02472517129537538,12,0,0,0,0,2,5,9,12
score_component_left_floor,12,0,2,2,9,70.0,287.0,0.056995572139403816,12,0,0,0,0,1,4,8,11
x_span_target110_inverse,12,0,3,2,5,86.0,231.0,8.0,11,0,0,0,0,1,2,7,11
rank_sum_inverse,12,0,0,8,5,174.0,416.0,15.5,12,0,0,0,0,0,2,4,8
max_rank_inverse,12,0,0,8,5,230.0,693.0,10.0,12,0,0,0,0,0,2,3,4
score_min,12,0,0,8,5,230.0,693.0,0.3025499454162397,12,0,0,0,0,0,2,3,4
score_sum,12,0,0,8,5,101.0,360.0,0.44958536530575266,12,0,0,0,0,0,1,6,9
center250_inverse,12,0,0,5,3,186.5,510.0,9.166666666666657,12,0,0,0,0,0,1,4,6
score_component_sum,12,0,0,7,6,157.0,452.0,0.17116347286730454,12,0,0,0,0,0,0,4,7
x_span_target90_inverse,12,0,3,2,5,234.5,624.0,15.0,12,0,0,0,0,0,0,3,5
score_component_mean_min,12,0,0,7,6,232.5,580.0,0.1654346259412347,12,0,0,0,0,0,0,2,5
score_component_min,12,0,0,7,6,330.5,693.0,0.11281992581613111,12,0,0,0,0,0,0,2,4
gap_balance_inverse,12,0,0,6,4,686.0,1018.0,30.0,12,0,0,0,0,0,0,0,1
