feature_family,selector_strategy,case_label,branch_key,seed,case_variant,run_name,selected_feature,first_all_truth_rank,rank_gate_label,top_unique_truth_hit_count,top_candidate_x_values_mm,training_case_count,allowed_feature_count
all_features,global,target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,score_component_balanced,50.0,rank_gate_top50,1,"221,261,273",11,22
all_features,global,target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,score_component_balanced,12.0,rank_gate_top50,1,"188,250,264",11,22
all_features,global,target2_close14|seed21|nominal,target2_close14,21,nominal,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,score_component_balanced,12.0,rank_gate_top50,1,"220,263,266",11,22
all_features,global,target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,score_component_balanced,23.0,rank_gate_top50,1,"181,263,271",11,22
all_features,global,target2_close14|seed34|nominal,target2_close14,34,nominal,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,score_component_balanced,43.0,rank_gate_top50,1,"224,260,272",11,22
all_features,global,target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,score_component_balanced,24.0,rank_gate_top50,2,"188,261,273",11,22
all_features,global,target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,score_component_balanced,151.0,rank_gate_top200,0,"184,270,299",11,22
all_features,global,target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,x_span_target80_inverse,590.0,deeper_than_top200,2,"182,257,258",11,22
all_features,global,target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,score_component_balanced,56.0,rank_gate_top200,1,"183,272,301",11,22
all_features,global,target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,x_span_target80_inverse,794.0,deeper_than_top200,1,"217,252,294",11,22
all_features,global,target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed34_nominal_cpu,score_component_balanced,27.0,rank_gate_top50,1,"185,272,303",11,22
all_features,global,target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed34_source_mismatch_cpu,x_span_target80_inverse,372.0,deeper_than_top200,1,"212,250,291",11,22
all_features,branch,target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,x_span_target80_inverse,4.0,rank_gate_top50,2,"185,261,265",5,22
all_features,branch,target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,x_span_target70_inverse,283.0,deeper_than_top200,1,"199,264,266",5,22
all_features,branch,target2_close14|seed21|nominal,target2_close14,21,nominal,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,x_span_target80_inverse,163.0,rank_gate_top200,1,"186,263,266",5,22
all_features,branch,target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,x_span_target70_inverse,139.0,rank_gate_top200,1,"181,248,251",5,22
all_features,branch,target2_close14|seed34|nominal,target2_close14,34,nominal,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,x_span_target80_inverse,5.0,rank_gate_top50,2,"190,260,272",5,22
all_features,branch,target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,x_span_target80_inverse,117.0,rank_gate_top200,2,"191,261,273",5,22
all_features,branch,target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,score_component_balanced,151.0,rank_gate_top200,0,"184,270,299",5,22
all_features,branch,target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,score_component_balanced,6.0,rank_gate_top50,1,"187,257,305",5,22
all_features,branch,target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,score_component_balanced,56.0,rank_gate_top200,1,"183,272,301",5,22
all_features,branch,target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,score_component_balanced,3.0,rank_gate_top50,2,"183,252,303",5,22
all_features,branch,target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed34_nominal_cpu,score_component_balanced,27.0,rank_gate_top50,1,"185,272,303",5,22
all_features,branch,target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed34_source_mismatch_cpu,score_component_balanced,10.0,rank_gate_top50,2,"181,250,295",5,22
all_features,variant,target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,score_span_bonus,30.0,rank_gate_top50,1,"221,261,265",5,22
all_features,variant,target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,score_component_balanced,12.0,rank_gate_top50,1,"188,250,264",5,22
all_features,variant,target2_close14|seed21|nominal,target2_close14,21,nominal,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,x_span_target80_inverse,163.0,rank_gate_top200,1,"186,263,266",5,22
all_features,variant,target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,score_component_balanced,23.0,rank_gate_top50,1,"181,263,271",5,22
all_features,variant,target2_close14|seed34|nominal,target2_close14,34,nominal,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,score_span_bonus,81.0,rank_gate_top200,2,"190,260,272",5,22
all_features,variant,target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,score_component_balanced,24.0,rank_gate_top50,2,"188,261,273",5,22
all_features,variant,target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,x_span_target70_inverse,462.0,deeper_than_top200,0,"229,270,299",5,22
all_features,variant,target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,score_component_balanced,6.0,rank_gate_top50,1,"187,257,305",5,22
all_features,variant,target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,x_span_target70_inverse,877.0,deeper_than_top200,0,"183,251,253",5,22
all_features,variant,target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,score_component_balanced,3.0,rank_gate_top50,2,"183,252,303",5,22
all_features,variant,target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed34_nominal_cpu,x_span_target70_inverse,1032.0,deeper_than_top200,0,"236,272,306",5,22
all_features,variant,target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed34_source_mismatch_cpu,score_component_balanced,10.0,rank_gate_top50,2,"181,250,295",5,22
all_features,branch_variant,target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,x_span_target70_inverse,4.0,rank_gate_top50,2,"196,261,265",2,22
all_features,branch_variant,target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,x_span_target70_inverse,283.0,deeper_than_top200,1,"199,264,266",2,22
all_features,branch_variant,target2_close14|seed21|nominal,target2_close14,21,nominal,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,x_span_target70_inverse,72.0,rank_gate_top200,1,"192,254,262",2,22
all_features,branch_variant,target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,score_min_span,18.0,rank_gate_top50,2,"248,263,271",2,22
all_features,branch_variant,target2_close14|seed34|nominal,target2_close14,34,nominal,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,score_span_bonus,81.0,rank_gate_top200,2,"190,260,272",2,22
all_features,branch_variant,target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,x_span_target80_inverse,117.0,rank_gate_top200,2,"191,261,273",2,22
all_features,branch_variant,target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,x_span_target110_inverse,60.0,rank_gate_top200,1,"184,270,294",2,22
all_features,branch_variant,target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,score_component_balanced,6.0,rank_gate_top50,1,"187,257,305",2,22
all_features,branch_variant,target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,score_component_balanced,56.0,rank_gate_top200,1,"183,272,301",2,22
all_features,branch_variant,target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,score_component_balanced,3.0,rank_gate_top50,2,"183,252,303",2,22
all_features,branch_variant,target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed34_nominal_cpu,x_span_target110_inverse,77.0,rank_gate_top200,0,"185,272,296",2,22
all_features,branch_variant,target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed34_source_mismatch_cpu,score_component_balanced,10.0,rank_gate_top50,2,"181,250,295",2,22
score_only,global,target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,score_component_balanced,50.0,rank_gate_top50,1,"221,261,273",11,13
score_only,global,target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,score_component_balanced,12.0,rank_gate_top50,1,"188,250,264",11,13
score_only,global,target2_close14|seed21|nominal,target2_close14,21,nominal,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,score_component_balanced,12.0,rank_gate_top50,1,"220,263,266",11,13
score_only,global,target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,score_component_balanced,23.0,rank_gate_top50,1,"181,263,271",11,13
score_only,global,target2_close14|seed34|nominal,target2_close14,34,nominal,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,score_component_balanced,43.0,rank_gate_top50,1,"224,260,272",11,13
score_only,global,target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,score_component_balanced,24.0,rank_gate_top50,2,"188,261,273",11,13
score_only,global,target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,score_component_balanced,151.0,rank_gate_top200,0,"184,270,299",11,13
score_only,global,target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,score_span_bonus,17.0,rank_gate_top50,1,"187,257,258",11,13
score_only,global,target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,score_component_balanced,56.0,rank_gate_top200,1,"183,272,301",11,13
