feature_family,selector_strategy,case_count,top1_case_count,top10_case_count,top20_case_count,top50_case_count,top100_case_count,top200_case_count,deeper_than_top200_case_count,median_first_all_truth_rank,max_first_all_truth_rank,selected_feature_count,dominant_selected_feature,uses_span_target_feature
component_only,branch,12,0,3,5,10,11,12,0,23.5,151.0,1,score_component_balanced,False
component_only,global,12,0,3,5,10,11,12,0,23.5,151.0,1,score_component_balanced,False
component_only,variant,12,0,3,5,10,11,12,0,23.5,151.0,1,score_component_balanced,False
fixed_component_balanced,branch,12,0,3,5,10,11,12,0,23.5,151.0,1,score_component_balanced,False
fixed_component_balanced,branch_variant,12,0,3,5,10,11,12,0,23.5,151.0,1,score_component_balanced,False
fixed_component_balanced,global,12,0,3,5,10,11,12,0,23.5,151.0,1,score_component_balanced,False
fixed_component_balanced,variant,12,0,3,5,10,11,12,0,23.5,151.0,1,score_component_balanced,False
no_span_target,global,12,0,1,5,10,11,12,0,23.5,151.0,2,score_component_balanced,False
score_only,global,12,0,1,5,10,11,12,0,23.5,151.0,2,score_component_balanced,False
no_span_target,branch,12,0,3,5,8,11,12,0,27.5,151.0,3,score_component_balanced,False
score_only,branch,12,0,3,5,8,11,12,0,27.5,151.0,3,score_component_balanced,False
score_only,branch_variant,12,0,3,5,8,11,12,0,28.5,151.0,4,score_component_balanced,False
no_span_target,branch_variant,12,0,3,5,7,11,12,0,35.5,151.0,5,score_component_balanced,False
component_only,branch_variant,12,0,3,5,9,10,12,0,23.5,151.0,2,score_component_balanced,False
all_features,branch_variant,12,0,4,5,5,10,11,1,58.0,283.0,6,score_component_balanced,True
all_features,branch,12,0,5,5,6,7,11,1,41.5,283.0,3,score_component_balanced,True
no_span_target,variant,12,0,3,4,8,9,10,2,27.0,309.0,3,score_component_balanced,False
score_only,variant,12,0,3,4,8,9,10,2,27.0,309.0,3,score_component_balanced,False
all_features,variant,12,0,3,4,7,8,9,3,27.0,1032.0,4,score_component_balanced,True
all_features,global,12,0,0,2,7,8,9,3,46.5,794.0,2,score_component_balanced,True
