case_label,branch_key,seed,case_variant,run_name,feature_family,selector_strategy,selected_feature,selected_first_all_truth_rank,selected_rank_gate_label,selected_best_false_minus_truth_score_gap,selected_positive_false_truth_gap,selected_top_unique_truth_hit_count,selected_top_missing_targets,selected_top_candidate_x_values_mm,selected_top_candidate_ranks,case_best_feature,case_best_first_all_truth_rank,case_best_rank_gate_label,rank_penalty_vs_case_best,selected_matches_case_best_feature,all_truth_triple_count,candidate_triple_count
target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,component_only,branch,score_component_balanced,50.0,top50,0.07707981994328317,True,1,"target0,target1","221,261,273","7,2,4",x_span_target70_inverse,4.0,top10,46.0,False,8,1140
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,component_only,branch,score_component_balanced,12.0,top50,0.031061526089008362,True,1,"target1,target2","188,250,264","9,3,1",x_span_target80_inverse,3.0,top10,9.0,False,4,1140
target2_close14|seed21|nominal,target2_close14,21,nominal,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,component_only,branch,score_component_balanced,12.0,top50,0.0325896921258475,True,1,"target0,target1","220,263,266","6,2,1",score_span_bonus,7.0,top10,5.0,False,4,1140
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,component_only,branch,score_component_balanced,23.0,top50,0.04734507637119889,True,1,"target0,target1","181,263,271","10,1,4",score_min_span,18.0,top50,5.0,False,4,1140
target2_close14|seed34|nominal,target2_close14,34,nominal,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,component_only,branch,score_component_balanced,43.0,top50,0.07476475594942245,True,1,"target0,target1","224,260,272","8,1,2",x_span_target70_inverse,3.0,top10,40.0,False,12,1140
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,component_only,branch,score_component_balanced,24.0,top50,0.06535219788824542,True,2,target1,"188,261,273","10,1,2",x_span_target70_inverse,2.0,top10,22.0,False,8,1140
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,component_only,branch,score_component_balanced,151.0,top200,0.19229359526595302,True,0,"target0,target1,target2","184,270,299","7,1,6",x_span_target110_inverse,60.0,top100,91.0,False,1,680
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,component_only,branch,score_component_balanced,6.0,top10,0.031429901380468195,True,1,"target0,target1","187,257,305","9,1,11",x_span_width,2.0,top10,4.0,False,1,680
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,component_only,branch,score_component_balanced,56.0,top100,0.12197581320927586,True,1,"target0,target1","183,272,301","10,2,11",x_span_target110_inverse,15.0,top50,41.0,False,2,1140
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,component_only,branch,score_component_balanced,3.0,top10,0.02075014508703199,True,2,target0,"183,252,303","8,1,9",score_component_balanced,3.0,top10,0.0,True,2,1140
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed34_nominal_cpu,component_only,branch,score_component_balanced,27.0,top50,0.0698716421812855,True,1,"target0,target1","185,272,303","13,1,10",score_component_balanced,27.0,top50,0.0,True,1,1140
target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed34_source_mismatch_cpu,component_only,branch,score_component_balanced,10.0,top10,0.07014021821823091,True,2,target0,"181,250,295","8,1,7",score_component_balanced,10.0,top10,0.0,True,2,560
