case_label,branch_key,seed,case_variant,run_name,selected_first_all_truth_rank,selected_rank_gate_label,selected_best_false_minus_truth_score_gap,selected_positive_false_truth_gap,selected_top_unique_truth_hit_count,selected_top_missing_targets,false_geometry_mode,selected_top_candidate_x_values_mm,representative_truth_x_values_mm,selected_top_x_span_mm,representative_truth_x_span_mm,selected_to_truth_x_span_ratio,selected_x_center_mm,truth_x_center_mm,selected_minus_truth_center_mm,selected_left_edge_minus_truth_left_edge_mm,selected_right_edge_minus_truth_right_edge_mm,assignment_abs_errors_mm,max_assignment_abs_error_mm,mean_assignment_abs_error_mm,compressed_span_under_75pct_truth,truth_reference_available
target2_close14|seed13|nominal,target2_close14,13,nominal,local2d_detector_baseline_target2_close14_seed13_nominal_cpu,50.0,top50,0.07707981994328317,True,1,"target0,target1",single_truth_only_target2,"221,261,273","190.5,249,263",52.0,72.5,0.7172413793103448,251.66666666666666,234.16666666666666,17.5,30.5,10.0,"30.5,12,10",30.5,17.5,True,True
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,local2d_detector_baseline_target2_close14_seed13_source_mismatch_cpu,12.0,top50,0.031061526089008362,True,1,"target1,target2",single_truth_only_target0,"188,250,264","187.5,252.5,266",76.0,78.5,0.9681528662420382,234.0,235.33333333333334,-1.3333333333333428,0.5,-2.0,"0.5,2.5,2",2.5,1.6666666666666667,False,True
target2_close14|seed21|nominal,target2_close14,21,nominal,local2d_detector_baseline_target2_close14_seed21_nominal_cpu,12.0,top50,0.0325896921258475,True,1,"target0,target1",single_truth_only_target2,"220,263,266","194.5,254,264.5",46.0,70.0,0.6571428571428571,249.66666666666666,237.66666666666666,12.0,25.5,1.5,"25.5,9,1.5",25.5,12.0,True,True
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,local2d_detector_baseline_target2_close14_seed21_source_mismatch_cpu,23.0,top50,0.04734507637119889,True,1,"target0,target1",single_truth_only_target2,"181,263,271","192,250.5,271",90.0,79.0,1.139240506329114,238.33333333333334,237.83333333333334,0.5,-11.0,0.0,"11,12.5,0",12.5,7.833333333333333,False,True
target2_close14|seed34|nominal,target2_close14,34,nominal,local2d_detector_baseline_target2_close14_seed34_nominal_cpu,43.0,top50,0.07476475594942245,True,1,"target0,target1",single_truth_only_target2,"224,260,272","189,248,260",48.0,71.0,0.676056338028169,252.0,232.33333333333334,19.666666666666657,35.0,12.0,"35,12,12",35.0,19.666666666666668,True,True
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,local2d_detector_baseline_target2_close14_seed34_source_mismatch_cpu,24.0,top50,0.06535219788824542,True,2,target1,two_truth_partial_missing_target1,"188,261,273","189.5,248,261",85.0,71.5,1.1888111888111887,240.66666666666666,232.83333333333334,7.833333333333314,-1.5,12.0,"1.5,13,12",13.0,8.833333333333334,False,True
target2_close50_linear29p5|seed13|nominal,target2_close50_linear29p5,13,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed13_nominal_cpu,151.0,top200,0.19229359526595302,True,0,"target0,target1,target2",all_targets_missed,"184,270,299","187,250,294",115.0,107.0,1.074766355140187,251.0,243.66666666666666,7.333333333333343,-3.0,5.0,"3,20,5",20.0,9.333333333333334,False,True
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed13_source_mismatch_cpu,6.0,top10,0.031429901380468195,True,1,"target0,target1",single_truth_only_target2,"187,257,305","182,258,305",118.0,123.0,0.959349593495935,249.66666666666666,248.33333333333334,1.3333333333333144,5.0,0.0,"5,1,0",5.0,2.0,False,True
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed21_nominal_cpu,56.0,top100,0.12197581320927586,True,1,"target0,target1",single_truth_only_target2,"183,272,301","188,256,299.5",118.0,111.5,1.0582959641255605,252.0,247.83333333333334,4.166666666666657,-5.0,1.5,"5,16,1.5",16.0,7.5,False,True
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed21_source_mismatch_cpu,3.0,top10,0.02075014508703199,True,2,target0,two_truth_partial_missing_target0,"183,252,303","188,252.5,303",120.0,115.0,1.0434782608695652,246.0,247.83333333333334,-1.8333333333333428,-5.0,0.0,"5,0.5,0",5.0,1.8333333333333333,False,True
target2_close50_linear29p5|seed34|nominal,target2_close50_linear29p5,34,nominal,local2d_detector_baseline_target2_close50_linear29p5_seed34_nominal_cpu,27.0,top50,0.0698716421812855,True,1,"target0,target1",single_truth_only_target2,"185,272,303","183,257,303",118.0,120.0,0.9833333333333333,253.33333333333334,247.66666666666666,5.666666666666686,2.0,0.0,"2,15,0",15.0,5.666666666666667,False,True
target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,local2d_detector_baseline_target2_close50_linear29p5_seed34_source_mismatch_cpu,10.0,top10,0.07014021821823091,True,2,target0,two_truth_partial_missing_target0,"181,250,295","182,249,295",114.0,113.0,1.008849557522124,242.0,242.0,0.0,-1.0,0.0,"1,1,0",1.0,0.6666666666666666,False,True
