case_label,branch_key,seed,case_variant,seed_source_kind,coverage_status,direct_fixed_radius_pilot_ready,ready_for_repaired_fixed_radius_pilot,tested_pilot_count,tested_pilot_run_names,best_observed_final_linf_mm,best_observed_outcome_label,launch_seed_x_values_mm,launch_seed_z_values_mm,min_pair_clearance_mm,min_pair_clearance_after_repair_mm,eligible_for_one_case_backlog,ready_for_broad_gpu_queue,ready_for_detector_seeded_fwi,allowed_use,blocked_use
target2_close14|seed13|nominal,target2_close14,13,nominal,direct_preflight_seed,untested_direct_ready,True,False,0,,,,"185,250,265","97,81,85",1.5241746962600242,,True,False,False,one-case-at-a-time fixed-radius pilot backlog,"broad GPU queue, field transfer, detector-inferred radius/material, FWI launch"
target2_close14|seed13|source_mismatch,target2_close14,13,source_mismatch,repaired_seed,untested_repaired_ready,False,True,0,,,,"188,250,264","85,87,81",-0.5835921350012612,1.2315462117278173,True,False,False,one-case-at-a-time fixed-radius pilot backlog,"broad GPU queue, field transfer, detector-inferred radius/material, FWI launch"
target2_close14|seed21|nominal,target2_close14,21,nominal,repaired_seed,tested,False,True,1,local2d_repaired_exact_radius_seed_refine_target2_close14_seed21_nominal_gpu,2.0,near_residual,"191,252,266","86,91,91",-2.0,0.0,False,False,False,one-case-at-a-time fixed-radius pilot backlog,"broad GPU queue, field transfer, detector-inferred radius/material, FWI launch"
target2_close14|seed21|source_mismatch,target2_close14,21,source_mismatch,direct_preflight_seed,tested,True,False,1,local2d_controlled_fixed_radius_seed_refine_target2_close14_seed21_source_mismatch_gpu,5.0,improved_not_close,"190,248,263","95,86,81",1.8113883008418963,,False,False,False,one-case-at-a-time fixed-radius pilot backlog,"broad GPU queue, field transfer, detector-inferred radius/material, FWI launch"
target2_close14|seed34|nominal,target2_close14,34,nominal,repaired_seed,untested_repaired_ready,False,True,0,,,,"190,258,272","85,87,92",-1.0,0.866068747318506,True,False,False,one-case-at-a-time fixed-radius pilot backlog,"broad GPU queue, field transfer, detector-inferred radius/material, FWI launch"
target2_close14|seed34|source_mismatch,target2_close14,34,source_mismatch,direct_preflight_seed,untested_direct_ready,True,False,0,,,,"191,247,261","93,85,83",0.142135623730951,,True,False,False,one-case-at-a-time fixed-radius pilot backlog,"broad GPU queue, field transfer, detector-inferred radius/material, FWI launch"
target2_close50_linear29p5|seed13|source_mismatch,target2_close50_linear29p5,13,source_mismatch,direct_preflight_seed,untested_direct_ready,True,False,0,,,,"187,253,303","102,100,101",36.00999900019995,,True,False,False,one-case-at-a-time fixed-radius pilot backlog,"broad GPU queue, field transfer, detector-inferred radius/material, FWI launch"
target2_close50_linear29p5|seed21|nominal,target2_close50_linear29p5,21,nominal,direct_preflight_seed,untested_direct_ready,True,False,0,,,,"188,253,298","97,101,97",31.17742799230607,,True,False,False,one-case-at-a-time fixed-radius pilot backlog,"broad GPU queue, field transfer, detector-inferred radius/material, FWI launch"
target2_close50_linear29p5|seed21|source_mismatch,target2_close50_linear29p5,21,source_mismatch,direct_preflight_seed,untested_direct_ready,True,False,0,,,,"188,252,294","97,82,80",28.04759208325728,,True,False,False,one-case-at-a-time fixed-radius pilot backlog,"broad GPU queue, field transfer, detector-inferred radius/material, FWI launch"
target2_close50_linear29p5|seed34|source_mismatch,target2_close50_linear29p5,34,source_mismatch,direct_preflight_seed,untested_direct_ready,True,False,0,,,,"182,250,295","89,84,89",31.276925690687087,,True,False,False,one-case-at-a-time fixed-radius pilot backlog,"broad GPU queue, field transfer, detector-inferred radius/material, FWI launch"
