run_id,run_name,phase,has_manifest,path
1,gssi51600s_dzt_qc,001-004 archive intake and initial status,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/001_gssi51600s_dzt_qc
2,gssi51600s_preprocess_feature_qc,001-004 archive intake and initial status,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/002_gssi51600s_preprocess_feature_qc
3,gssi51600s_hyperbola_calibration_qc,001-004 archive intake and initial status,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/003_gssi51600s_hyperbola_calibration_qc
4,gssi51600s_common_offset_sweep,001-004 archive intake and initial status,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/004_gssi51600s_common_offset_sweep
6,gssi51600s_phase_anchor_qc,005-017 phase-anchor and synthetic waveform probes,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/006_gssi51600s_phase_anchor_qc
7,gssi51600s_field_synthetic_waveform_probe,005-017 phase-anchor and synthetic waveform probes,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/007_gssi51600s_field_synthetic_waveform_probe
8,gssi51600s_field_synthetic_waveform_shift_probe,005-017 phase-anchor and synthetic waveform probes,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/008_gssi51600s_field_synthetic_waveform_shift_probe
9,gssi51600s_field_synthetic_waveform_shift_epsr_probe,005-017 phase-anchor and synthetic waveform probes,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/009_gssi51600s_field_synthetic_waveform_shift_epsr_probe
10,gssi51600s_global_shift_policy,005-017 phase-anchor and synthetic waveform probes,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/010_gssi51600s_global_shift_policy
11,gssi51600s_field_synthetic_waveform_family_shift_epsr_probe,005-017 phase-anchor and synthetic waveform probes,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/011_gssi51600s_field_synthetic_waveform_family_shift_epsr_probe
12,gssi51600s_field_family_global_shift_policy,005-017 phase-anchor and synthetic waveform probes,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/012_gssi51600s_field_family_global_shift_policy
13,gssi51600s_phase_stability_policy,005-017 phase-anchor and synthetic waveform probes,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/013_gssi51600s_phase_stability_policy
14,gssi51600s_field_identifiability_policy,005-017 phase-anchor and synthetic waveform probes,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/014_gssi51600s_field_identifiability_policy
15,gssi51600s_survey_geometry_audit,005-017 phase-anchor and synthetic waveform probes,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/015_gssi51600s_survey_geometry_audit
16,gssi51600s_long_profiles_phase_anchor_qc,005-017 phase-anchor and synthetic waveform probes,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/016_gssi51600s_long_profiles_phase_anchor_qc
17,gssi51600s_long_profile_waveform_probe,005-017 phase-anchor and synthetic waveform probes,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/017_gssi51600s_long_profile_waveform_probe
18,gssi51600s_short_profile_repeatability_policy,"018-023 repeatability, alignment, and profile network",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/018_gssi51600s_short_profile_repeatability_policy
19,gssi51600s_short_profile_alignment_policy,"018-023 repeatability, alignment, and profile network",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/019_gssi51600s_short_profile_alignment_policy
20,gssi51600s_profile_network_alignment,"018-023 repeatability, alignment, and profile network",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/020_gssi51600s_profile_network_alignment
21,gssi51600s_short_profile_stack_policy,"018-023 repeatability, alignment, and profile network",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/021_gssi51600s_short_profile_stack_policy
22,gssi51600s_long_profile_stack_policy,"018-023 repeatability, alignment, and profile network",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/022_gssi51600s_long_profile_stack_policy
23,gssi51600s_field_dataset_policy_synthesis,"018-023 repeatability, alignment, and profile network",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/023_gssi51600s_field_dataset_policy_synthesis
24,gssi51600s_short_profile_time_zero_transfer_policy,024-042 short-profile timing and content anchoring,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/024_gssi51600s_short_profile_time_zero_transfer_policy
25,gssi51600s_short_profile_time_zero_application_policy,024-042 short-profile timing and content anchoring,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/025_gssi51600s_short_profile_time_zero_application_policy
26,gssi51600s_field_dataset_policy_synthesis,024-042 short-profile timing and content anchoring,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/026_gssi51600s_field_dataset_policy_synthesis
27,gssi51600s_short_profile_phase_convention_transfer_policy,024-042 short-profile timing and content anchoring,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/027_gssi51600s_short_profile_phase_convention_transfer_policy
28,gssi51600s_field_dataset_policy_synthesis,024-042 short-profile timing and content anchoring,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/028_gssi51600s_field_dataset_policy_synthesis
29,gssi51600s_short_profile_timing_bootstrap_policy,024-042 short-profile timing and content anchoring,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/029_gssi51600s_short_profile_timing_bootstrap_policy
30,gssi51600s_field_dataset_policy_synthesis,024-042 short-profile timing and content anchoring,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/030_gssi51600s_field_dataset_policy_synthesis
31,gssi51600s_short_profile_content_window_policy,024-042 short-profile timing and content anchoring,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/031_gssi51600s_short_profile_content_window_policy
32,gssi51600s_field_dataset_policy_synthesis,024-042 short-profile timing and content anchoring,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/032_gssi51600s_field_dataset_policy_synthesis
33,gssi51600s_short_profile_content_synthetic_policy,024-042 short-profile timing and content anchoring,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/033_gssi51600s_short_profile_content_synthetic_policy
34,gssi51600s_field_dataset_policy_synthesis,024-042 short-profile timing and content anchoring,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/034_gssi51600s_field_dataset_policy_synthesis
35,gssi51600s_content_backed_waveform_panels,024-042 short-profile timing and content anchoring,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/035_gssi51600s_content_backed_waveform_panels
36,gssi51600s_field_dataset_policy_synthesis,024-042 short-profile timing and content anchoring,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/036_gssi51600s_field_dataset_policy_synthesis
37,gssi51600s_content_time_zero_anchor_policy,024-042 short-profile timing and content anchoring,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/037_gssi51600s_content_time_zero_anchor_policy
38,gssi51600s_field_dataset_policy_synthesis,024-042 short-profile timing and content anchoring,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/038_gssi51600s_field_dataset_policy_synthesis
39,gssi51600s_content_anchor_trace_alignment,024-042 short-profile timing and content anchoring,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/039_gssi51600s_content_anchor_trace_alignment
40,gssi51600s_field_dataset_policy_synthesis,024-042 short-profile timing and content anchoring,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/040_gssi51600s_field_dataset_policy_synthesis
41,gssi51600s_content_anchor_trace_alignment_sensitivity,024-042 short-profile timing and content anchoring,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/041_gssi51600s_content_anchor_trace_alignment_sensitivity
42,gssi51600s_field_dataset_policy_synthesis,024-042 short-profile timing and content anchoring,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/042_gssi51600s_field_dataset_policy_synthesis
43,gssi51600s_corrected_profile_stack,043-058 corrected stacks and long-profile transfer,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/043_gssi51600s_corrected_profile_stack
44,gssi51600s_field_dataset_policy_synthesis,043-058 corrected stacks and long-profile transfer,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/044_gssi51600s_field_dataset_policy_synthesis
45,gssi51600s_corrected_profile_stack_sensitivity,043-058 corrected stacks and long-profile transfer,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/045_gssi51600s_corrected_profile_stack_sensitivity
46,gssi51600s_field_dataset_policy_synthesis,043-058 corrected stacks and long-profile transfer,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/046_gssi51600s_field_dataset_policy_synthesis
47,gssi51600s_corrected_stack_spatial_support,043-058 corrected stacks and long-profile transfer,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/047_gssi51600s_corrected_stack_spatial_support
48,gssi51600s_field_dataset_policy_synthesis,043-058 corrected stacks and long-profile transfer,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/048_gssi51600s_field_dataset_policy_synthesis
49,gssi51600s_supported_interval_visual_qc,043-058 corrected stacks and long-profile transfer,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/049_gssi51600s_supported_interval_visual_qc
50,gssi51600s_field_dataset_policy_synthesis,043-058 corrected stacks and long-profile transfer,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/050_gssi51600s_field_dataset_policy_synthesis
51,gssi51600s_long_profile_transfer_audit,043-058 corrected stacks and long-profile transfer,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/051_gssi51600s_long_profile_transfer_audit
52,gssi51600s_field_dataset_policy_synthesis,043-058 corrected stacks and long-profile transfer,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/052_gssi51600s_field_dataset_policy_synthesis
53,gssi51600s_long_profile_shift_scan,043-058 corrected stacks and long-profile transfer,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/053_gssi51600s_long_profile_shift_scan
54,gssi51600s_field_dataset_policy_synthesis,043-058 corrected stacks and long-profile transfer,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/054_gssi51600s_field_dataset_policy_synthesis
55,gssi51600s_long_profile_shift_scan_sensitivity,043-058 corrected stacks and long-profile transfer,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/055_gssi51600s_long_profile_shift_scan_sensitivity
56,gssi51600s_field_dataset_policy_synthesis,043-058 corrected stacks and long-profile transfer,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/056_gssi51600s_field_dataset_policy_synthesis
57,gssi51600s_long_profile_pattern_visual_qc,043-058 corrected stacks and long-profile transfer,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/057_gssi51600s_long_profile_pattern_visual_qc
58,gssi51600s_long_profile_pattern_holdout_qc,043-058 corrected stacks and long-profile transfer,True,outputs/field_experiments/local_gssi_51600s_2026_06_09/058_gssi51600s_long_profile_pattern_holdout_qc
59,gssi51600s_field_publication_claim_bundle,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/059_gssi51600s_field_publication_claim_bundle
60,gssi51600s_long_profile_pattern_holdout_sensitivity,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/060_gssi51600s_long_profile_pattern_holdout_sensitivity
61,gssi51600s_long_profile_pattern_holdout_width_sensitivity,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/061_gssi51600s_long_profile_pattern_holdout_width_sensitivity
62,gssi51600s_field_publication_claim_bundle,"059-081 publication bundle, event tiers, and timing conflict",True,outputs/field_experiments/local_gssi_51600s_2026_06_09/062_gssi51600s_field_publication_claim_bundle
