series_id,series_type,run_ids,first_run,last_run,seed,target,varied_col,n_runs,n_accepted,n_weak,outcome_category,first_setting,last_setting,best_setting,worst_setting,first_margin,last_margin,best_run,worst_run,best_margin,worst_margin,best_minus_worst_margin,best_minus_first_margin,all_exact_geometry
source_density_seed89_target1_runs754_793,source_density,"754, 785, 786, 790, 792, 793",754,793,89,1,sources,6,2,4,mixed: accepted setting exists,5.0,9.0,5.0,7.0,0.0005319351185865198,0.0004841472366548319,754,785,0.0005319351185865198,0.00034890463040507594,0.00018303048818144388,0.0,True
source_density_seed89_target1_runs794_798,source_density,"794, 798",794,798,89,1,sources,2,1,1,mixed: accepted setting exists,8.0,9.0,9.0,8.0,0.0004925234597984926,0.0005424899765025804,794,798,0.0005424899765025804,0.0004925234597984926,4.996651670408775e-05,4.996651670408775e-05,True
source_density_seed13_target1_runs810_834,source_density,"810, 834",810,834,13,1,sources,2,1,1,mixed: accepted setting exists,5.0,9.0,5.0,9.0,0.0005293926081035016,0.0004879319847042943,834,810,0.0005293926081035016,0.0004879319847042943,4.1460623399207364e-05,0.0,True
source_density_seed13_target1_runs811_832,source_density,"811, 832",811,832,13,1,sources,2,1,1,mixed: accepted setting exists,5.0,9.0,5.0,9.0,0.0005382032594477663,0.000496302094739793,832,811,0.0005382032594477663,0.000496302094739793,4.190116470797339e-05,0.0,True
source_density_seed13_target1_runs812_830,source_density,"812, 830",812,830,13,1,sources,2,1,1,mixed: accepted setting exists,5.0,9.0,5.0,9.0,0.0005419126911652139,0.0004998906832914436,830,812,0.0005419126911652139,0.0004998906832914436,4.202200787377028e-05,0.0,True
source_density_seed13_target1_runs814_829,source_density,"814, 829",814,829,13,1,sources,2,2,0,all accepted,5.0,9.0,5.0,9.0,0.0005427630805609034,0.0005007214842834597,829,814,0.0005427630805609034,0.0005007214842834597,4.2041596277443694e-05,0.0,True
source_density_seed610_target1_runs897_899,source_density,"897, 898, 899",897,899,610,1,sources,3,0,3,all weak,5.0,9.0,5.0,9.0,0.00046774104056094765,0.00041978793774009523,897,898,0.00046774104056094765,0.00041978793774009523,4.795310282085241e-05,0.0,True
source_density_seed1597_target1_runs907_908,source_density,"907, 908",907,908,1597,1,sources,2,1,1,mixed: accepted setting exists,5.0,9.0,9.0,5.0,0.0004919484655507289,0.0005127097593299497,908,907,0.0005127097593299497,0.0004919484655507289,2.0761293779220785e-05,2.0761293779220785e-05,True
source_density_seed196418_target1_runs955_956,source_density,"955, 956",955,956,196418,1,sources,2,1,1,mixed: accepted setting exists,5.0,9.0,9.0,5.0,0.000480936856902342,0.0005895553265668138,956,955,0.0005895553265668138,0.000480936856902342,0.0001086184696644718,0.0001086184696644718,True
source_density_seed832040_target1_runs970_971,source_density,"970, 971",970,971,832040,1,sources,2,1,1,mixed: accepted setting exists,5.0,9.0,9.0,5.0,0.00039522005484788486,0.0005167230650288436,971,970,0.0005167230650288436,0.00039522005484788486,0.00012150301018095874,0.00012150301018095874,True
source_density_seed2178309_target1_runs982_984,source_density,"982, 983, 984",982,984,2178309,1,sources,3,0,3,all weak,5.0,11.0,5.0,11.0,0.00048213464698252523,0.0003915065802136755,982,984,0.00048213464698252523,0.0003915065802136755,9.062806676884971e-05,0.0,True
source_density_seed832040_target1_runs995_999,source_density,"995, 998, 999",995,999,832040,1,sources,3,1,2,mixed: accepted setting exists,5.0,9.0,9.0,5.0,0.0004179126462926265,0.0005297019812177742,999,995,0.0005297019812177742,0.0004179126462926265,0.00011178933492514767,0.00011178933492514767,True
source_density_seed267914296_target1_runs1057_1058,source_density,"1057, 1058",1057,1058,267914296,1,sources,2,1,1,mixed: accepted setting exists,5.0,9.0,9.0,5.0,0.000489469268673378,0.0005079560391930624,1058,1057,0.0005079560391930624,0.000489469268673378,1.8486770519684365e-05,1.8486770519684365e-05,True
source_density_seed139583862445_target1_runs1114_1115,source_density,"1114, 1115",1114,1115,139583862445,1,sources,2,1,1,mixed: accepted setting exists,5.0,9.0,9.0,5.0,0.00048111282853482984,0.0005083545042582488,1115,1114,0.0005083545042582488,0.00048111282853482984,2.7241675723418957e-05,2.7241675723418957e-05,True
source_density_seed17167680207565_target1_runs1159_1160,source_density,"1159, 1160",1159,1160,17167680207565,1,sources,2,1,1,mixed: accepted setting exists,5.0,9.0,9.0,5.0,0.0004758490597364419,0.0005549433459421764,1160,1159,0.0005549433459421764,0.0004758490597364419,7.90942862057345e-05,7.90942862057345e-05,True
source_density_seed72723460378141_target1_runs1172_1173,source_density,"1172, 1173",1172,1173,72723460378141,1,sources,2,1,1,mixed: accepted setting exists,5.0,9.0,9.0,5.0,0.0004343082708372914,0.0005446071517505105,1173,1172,0.0005446071517505105,0.0004343082708372914,0.0001102988809132191,0.0001102988809132191,True
source_density_seed5527939710754757_target1_runs1216_1218,source_density,"1216, 1217, 1218",1216,1218,5527939710754757,1,sources,3,0,3,all weak,5.0,11.0,9.0,11.0,0.00045162443400258157,0.0003632038032129834,1217,1218,0.00048745687659920364,0.0003632038032129834,0.00012425307338622023,3.583244259662208e-05,True
