case_label,misfit,target_index,x_mm,z_mm,radius_mm,x_values_mm,z_values_mm,radii_mm,source_frequency_scale,source_time_shift_ps,source_amplitude_scale,source_ringdown_scale,source_ringdown_delay_ps,source_ringdown_frequency_scale,source_primary_coefficient,source_ringdown_coefficient
source_mismatch_ringdown050_noise10_seed3524578,0.015913821620032458,0,150.0,80.0,5.0,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.0, 6.0, 8.0]",1.1,-50.0,1.1011510188576301,0.4993091427085461,180.0,0.8,1.1011510188576301,0.5498147712184454
source_mismatch_ringdown050_noise10_seed3524578,0.016485363240124805,0,150.0,80.0,5.25,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.25, 6.0, 8.0]",1.1,-50.0,1.0958406704989097,0.49986681858103466,180.0,0.8,1.0958406704989097,0.5477743896339978
source_mismatch_ringdown050_noise10_seed3524578,0.018411313709301554,0,150.0,80.0,5.5,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.5, 6.0, 8.0]",1.1,-50.0,1.0893730827306827,0.5005723994342269,180.0,0.8,1.0893730827306827,0.5453100979015584
source_mismatch_ringdown050_noise10_seed3524578,0.020251364456430943,0,150.0,80.0,5.75,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[5.75, 6.0, 8.0]",1.1,-50.0,1.0852177862368249,0.5010698480564157,180.0,0.8,1.0852177862368249,0.5437699112578057
source_mismatch_ringdown050_noise10_seed3524578,0.029242816342290073,0,150.0,80.0,6.0,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[6.0, 6.0, 8.0]",1.1,-50.0,1.0706720200048778,0.5024528404844611,180.0,0.8,1.0706720200048778,0.5379621976786867
source_mismatch_ringdown050_noise10_seed3524578,0.03455113800990376,0,150.0,80.0,6.25,"[150.0, 250.0, 350.0]","[80.0, 100.0, 120.0]","[6.25, 6.0, 8.0]",1.1,-50.0,1.0638466095726415,0.5030334526858984,180.0,0.8,1.0638466095726415,0.5351504331415128
source_mismatch_ringdown050_noise10_seed3524578,0.025353948711212344,0,150.0,81.0,5.0,"[150.0, 250.0, 350.0]","[81.0, 100.0, 120.0]","[5.0, 6.0, 8.0]",1.1,-50.0,1.0975060238621197,0.49988422280153666,180.0,0.8,1.0975060238621197,0.5486259457583205
source_mismatch_ringdown050_noise10_seed3524578,0.02164495105442385,0,150.0,81.0,5.25,"[150.0, 250.0, 350.0]","[81.0, 100.0, 120.0]","[5.25, 6.0, 8.0]",1.1,-50.0,1.0941593172374366,0.5002895313372471,180.0,0.8,1.0941593172374366,0.5473964520289994
source_mismatch_ringdown050_noise10_seed3524578,0.01863896292893396,0,150.0,81.0,5.5,"[150.0, 250.0, 350.0]","[81.0, 100.0, 120.0]","[5.5, 6.0, 8.0]",1.1,-50.0,1.0899364375552323,0.5008273440827374,180.0,0.8,1.0899364375552323,0.5458699712397874
source_mismatch_ringdown050_noise10_seed3524578,0.017424422371999156,0,150.0,81.0,5.75,"[150.0, 250.0, 350.0]","[81.0, 100.0, 120.0]","[5.75, 6.0, 8.0]",1.1,-50.0,1.0871811043110573,0.5012296506942252,180.0,0.8,1.0871811043110573,0.5449274051551932
source_mismatch_ringdown050_noise10_seed3524578,0.01700753991923828,0,150.0,81.0,6.0,"[150.0, 250.0, 350.0]","[81.0, 100.0, 120.0]","[6.0, 6.0, 8.0]",1.1,-50.0,1.0767063413870437,0.5022700456732483,180.0,0.8,1.0767063413870437,0.5407973432651465
source_mismatch_ringdown050_noise10_seed3524578,0.018368874977510854,0,150.0,81.0,6.25,"[150.0, 250.0, 350.0]","[81.0, 100.0, 120.0]","[6.25, 6.0, 8.0]",1.1,-50.0,1.071532821491905,0.5026910226929434,180.0,0.8,1.071532821491905,0.538649929884821
