experiment,summary_path,backend,optimizer,frequencies_ghz,noise_fraction,noise_seed,objective_bandpass,objective_frequency_weights,grid_polish_enabled,grid_polish_evaluations,elapsed_time_s,best_misfit,nrms_data_primary,nrms_model,recovered_x_mm,recovered_z_mm,recovered_radius_mm,optimizer_radius_mm,true_x_mm,true_z_mm,true_radius_mm,x_error_mm,z_error_mm,radius_error_mm,nrccc_primary,max_rccc_primary,best_radius_mm,best_radius_misfit,next_radius_mm,next_radius_misfit,radius_margin_abs,radius_margin_rel
007_single_rebar_grid1mm_cli_smoke,outputs/experiments/007_single_rebar_grid1mm_cli_smoke/data/single_rebar_summary.json,gpu-cpml,powell,1.5,0.0,,,,False,,2.9371843338012695,0.09443592530715589,0.03132116706097048,0.04062419108192015,235.0,80.0,8.0,8.0,250.0,90.0,6.0,-15.0,-10.0,2.0,,,,,,,,
008_single_rebar_grid1mm_de_5src_60eval_bounded,outputs/experiments/008_single_rebar_grid1mm_de_5src_60eval_bounded/data/single_rebar_summary.json,gpu-cpml,differential-evolution,1.5,0.0,,,,False,,319.21903824806213,1.0447254550468363,0.17727007474552714,0.04036124857097422,105.74369762080745,127.80677212746008,7.829884242992174,7.829884242992174,250.0,90.0,6.0,-144.25630237919256,37.80677212746008,1.8298842429921738,,,,,,,,
009_single_rebar_grid1mm_powell_refine_from_2mm,outputs/experiments/009_single_rebar_grid1mm_powell_refine_from_2mm/data/single_rebar_summary.json,gpu-cpml,powell,1.5,0.0,,,,False,,266.6335904598236,0.0020827988702278406,0.007889618025377229,0.013453749523658073,249.5333604898392,90.65264829814728,6.954785108476757,6.954785108476757,250.0,90.0,6.0,-0.4666395101608032,0.6526482981472839,0.9547851084767567,,,,,,,,
014_single_rebar_grid1mm_gridpolish_from_run009,outputs/experiments/014_single_rebar_grid1mm_gridpolish_from_run009/data/single_rebar_summary.json,gpu-cpml,powell,1.5,0.0,,,,True,160,865.7372932434082,0.0,0.0,0.0,250.0,89.75,6.0,6.954785108476757,250.0,90.0,6.0,0.0,-0.25,0.0,,,,,,,,
015_single_rebar_grid1mm_powell_gridpolish_from_2mm,outputs/experiments/015_single_rebar_grid1mm_powell_gridpolish_from_2mm/data/single_rebar_summary.json,gpu-cpml,powell,1.5,0.0,,,,True,160,1123.6605968475342,0.0,0.0,0.0,250.0,89.75,6.0,6.954785108476757,250.0,90.0,6.0,0.0,-0.25,0.0,,,,,,,,
016_single_rebar_grid1mm_gridpolish_earlystop_from_run009,outputs/experiments/016_single_rebar_grid1mm_gridpolish_earlystop_from_run009/data/single_rebar_summary.json,gpu-cpml,powell,1.5,0.0,,,,True,1,15.841243743896484,0.0,0.0,0.0,250.0,89.75,6.0,6.954785108476757,250.0,90.0,6.0,0.0,-0.25,0.0,,,,,,,,
017_single_rebar_grid1mm_noise01_gridpolish,outputs/experiments/017_single_rebar_grid1mm_noise01_gridpolish/data/single_rebar_summary.json,gpu-cpml,powell,1.5,0.01,13,,,True,160,1119.4020609855652,0.0024832971353925103,0.010053607350588233,0.0,250.0,89.75,6.0,6.958360625181234,250.0,90.0,6.0,0.0,-0.25,0.0,,,,,,,,
018_single_rebar_grid1mm_noise05_gridpolish,outputs/experiments/018_single_rebar_grid1mm_noise05_gridpolish/data/single_rebar_summary.json,gpu-cpml,powell,1.5,0.05,13,,,True,160,1126.6508793830872,0.05856469599680084,0.05021081831096674,0.0,250.0,89.75,6.0,6.972789652487771,250.0,90.0,6.0,0.0,-0.25,0.0,,,,,,,,
019_single_rebar_grid1mm_noise05_gridpolish_stop006,outputs/experiments/019_single_rebar_grid1mm_noise05_gridpolish_stop006/data/single_rebar_summary.json,gpu-cpml,powell,1.5,0.05,13,,,True,1,15.917786836624146,0.05856469599680084,0.05021081831096674,0.0,250.0,89.75,6.0,6.954785108476757,250.0,90.0,6.0,0.0,-0.25,0.0,,,,,,,,
020_single_rebar_grid1mm_noise05_coarsepolish,outputs/experiments/020_single_rebar_grid1mm_noise05_coarsepolish/data/single_rebar_summary.json,gpu-cpml,powell,1.5,0.05,13,,,True,40,490.4905261993408,0.05856469599680084,0.05021081831096674,0.0,250.0,90.0,6.0,6.972789652487771,250.0,90.0,6.0,0.0,0.0,0.0,,,,,,,,
