series_id,series_type,run_ids,first_run,last_run,seed,target,varied_col,n_runs,n_accepted,n_weak,outcome_category,first_setting,last_setting,best_setting,worst_setting,first_margin,last_margin,best_run,worst_run,best_margin,worst_margin,best_minus_worst_margin,best_minus_first_margin,all_exact_geometry
ringdown_seed89_target0_runs744_751,ringdown,"744, 751",744,751,89,0,ringdown_value,2,2,0,all accepted,0.25,0.35,0.35,0.25,0.0005798368714573787,0.0006141948131579665,751,744,0.0006141948131579665,0.0005798368714573787,3.4357941700587785e-05,3.4357941700587785e-05,True
ringdown_seed89_target2_runs745_750,ringdown,"745, 750",745,750,89,2,ringdown_value,2,2,0,all accepted,0.25,0.35,0.35,0.25,0.0009935884493872012,0.001038879213276004,750,745,0.001038879213276004,0.0009935884493872012,4.529076388880282e-05,4.529076388880282e-05,True
ringdown_seed89_target1_runs746_749,ringdown,"746, 749",746,749,89,1,ringdown_value,2,2,0,all accepted,0.25,0.35,0.35,0.25,0.0005982895008500161,0.0006280925800414734,749,746,0.0006280925800414734,0.0005982895008500161,2.9803079191457332e-05,2.9803079191457332e-05,True
ringdown_seed89_target1_runs754_835,ringdown,"754, 835",754,835,89,1,ringdown_value,2,2,0,all accepted,0.25,0.5,0.5,0.25,0.0005319351185865198,0.0005590846504752098,835,754,0.0005590846504752098,0.0005319351185865198,2.714953188868996e-05,2.714953188868996e-05,True
ringdown_seed89_target2_runs755_843,ringdown,"755, 759, 843",755,843,89,2,ringdown_value,3,0,3,all weak,0.25,0.5,0.5,0.25,0.00043188752935175573,0.0004414916837520745,843,755,0.0004414916837520745,0.00043188752935175573,9.604154400318782e-06,9.604154400318782e-06,True
ringdown_seed89_target2_runs765_779,ringdown,"765, 779",765,779,89,2,ringdown_value,2,0,2,all weak,0.25,0.35,0.35,0.25,0.00047694269548865034,0.0004945264133283493,779,765,0.0004945264133283493,0.00047694269548865034,1.7583717839698976e-05,1.7583717839698976e-05,True
ringdown_seed89_target2_runs780_782,ringdown,"780, 782",780,782,89,2,ringdown_value,2,2,0,all accepted,0.25,0.35,0.25,0.35,0.000645316044171021,0.0006319852168151924,780,782,0.000645316044171021,0.0006319852168151924,1.3330827355828578e-05,0.0,True
ringdown_seed89_target2_runs783_868,ringdown,"783, 868",783,868,89,2,ringdown_value,2,1,1,mixed: accepted setting exists,0.25,0.5,0.25,0.5,0.0005100529265886847,0.0004616186774421549,783,868,0.0005100529265886847,0.0004616186774421549,4.843424914652977e-05,0.0,True
ringdown_seed89_target1_runs786_819,ringdown,"786, 792, 793, 794, 819",786,819,89,1,ringdown_value,5,3,2,mixed: accepted setting exists,0.25,0.459375,0.35,0.25,0.0005181916802184869,0.0005314442209853054,794,793,0.0005424899765025804,0.0004841472366548319,5.834273984774846e-05,2.4298296284093468e-05,True
ringdown_seed89_target2_runs787_844,ringdown,"787, 796, 822, 844",787,844,89,2,ringdown_value,4,4,0,all accepted,0.25,0.5,0.35,0.25,0.0005780024801298154,0.0005821194944756799,796,787,0.0006058656863329528,0.0005780024801298154,2.7863206203137397e-05,2.7863206203137397e-05,True
