series_id,series_type,title,run_ids,seed,target,varied_col,varied_values,n_runs,accepted_runs,weak_runs,best_run,best_margin,all_exact_geometry,conclusion
ringdown_seed89_target1_runs746_749,ringdown,"Ringdown-parameter series: seed89 target1, runs 746-749, ringdown_value=0.25, 0.35","746, 749",89,1,ringdown_value,"0.25, 0.35",2,"746, 749",,749,0.0006280925800414734,True,All tested rows cleared the strict 5.0e-04 base-margin cutoff; best tested run is 749.
ringdown_seed89_target2_runs745_750,ringdown,"Ringdown-parameter series: seed89 target2, runs 745-750, ringdown_value=0.25, 0.35","745, 750",89,2,ringdown_value,"0.25, 0.35",2,"745, 750",,750,0.001038879213276004,True,All tested rows cleared the strict 5.0e-04 base-margin cutoff; best tested run is 750.
ringdown_seed89_target0_runs744_751,ringdown,"Ringdown-parameter series: seed89 target0, runs 744-751, ringdown_value=0.25, 0.35","744, 751",89,0,ringdown_value,"0.25, 0.35",2,"744, 751",,751,0.0006141948131579665,True,All tested rows cleared the strict 5.0e-04 base-margin cutoff; best tested run is 751.
ringdown_seed89_target2_runs765_779,ringdown,"Ringdown-parameter series: seed89 target2, runs 765-779, ringdown_value=0.25, 0.35","765, 779",89,2,ringdown_value,"0.25, 0.35",2,,"765, 779",779,0.0004945264133283493,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 779.
ringdown_seed89_target2_runs780_782,ringdown,"Ringdown-parameter series: seed89 target2, runs 780-782, ringdown_value=0.25, 0.35","780, 782",89,2,ringdown_value,"0.25, 0.35",2,"780, 782",,780,0.000645316044171021,True,All tested rows cleared the strict 5.0e-04 base-margin cutoff; best tested run is 780.
ringdown_seed89_target2_runs783_868,ringdown,"Ringdown-parameter series: seed89 target2, runs 783-868, ringdown_value=0.25, 0.5","783, 868",89,2,ringdown_value,"0.25, 0.5",2,783,868,783,0.0005100529265886847,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 783.
ringdown_seed89_target1_runs790_798,ringdown,"Ringdown-parameter series: seed89 target1, runs 790-798, ringdown_value=0.25, 0.35","790, 798",89,1,ringdown_value,"0.25, 0.35",2,,"790, 798",790,0.0004999206288246426,True,All tested rows stayed below the strict 5.0e-04 base-margin cutoff; best tested run is 790.
ringdown_seed89_target2_runs791_869,ringdown,"Ringdown-parameter series: seed89 target2, runs 791-869, ringdown_value=0.25, 0.5","791, 869",89,2,ringdown_value,"0.25, 0.5",2,791,869,791,0.0005243426975049675,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 791.
ringdown_seed89_target1_runs786_819,ringdown,"Ringdown-parameter series: seed89 target1, runs 786-819, ringdown_value=0.25, 0.25, 0.25, 0.35, 0.459375","786, 792, 793, 794, 819",89,1,ringdown_value,"0.25, 0.25, 0.25, 0.35, 0.459375",5,"786, 794, 819","792, 793",794,0.0005424899765025804,True,At least one row cleared the strict 5.0e-04 base-margin cutoff; best tested run is 794.
ringdown_seed89_target0_runs789_842,ringdown,"Ringdown-parameter series: seed89 target0, runs 789-842, ringdown_value=0.25, 0.35, 0.459375, 0.5","789, 795, 823, 842",89,0,ringdown_value,"0.25, 0.35, 0.459375, 0.5",4,"789, 795, 823, 842",,795,0.0005954727746698522,True,All tested rows cleared the strict 5.0e-04 base-margin cutoff; best tested run is 795.
