run_id,objective_label,x_mm,z_mm,radius_mm
740,base,150.0,80.0,5.0
740,early_high,150.0,80.0,5.0
740,highband,150.0,80.0,5.0
740,late,150.0,80.0,5.0
740,late_high,150.0,80.0,5.0
740,veryhigh,150.0,80.0,5.0
741,base,350.0,120.0,8.0
741,early_high,350.0,120.0,8.0
741,highband,350.0,120.0,8.0
741,late,350.0,120.0,8.0
741,late_high,350.0,120.0,8.0
741,veryhigh,350.0,120.0,8.0
742,base,250.0,100.0,6.0
742,early_high,250.0,100.0,6.0
742,highband,250.0,100.0,6.0
742,late,250.0,100.0,6.0
742,late_high,250.0,100.0,6.0
742,veryhigh,250.0,100.0,6.0
744,base,150.0,80.0,5.0
744,early_high,150.0,80.0,5.0
744,highband,150.0,80.0,5.0
744,late,150.0,80.0,5.0
744,late_high,150.0,80.0,5.0
744,veryhigh,150.0,80.0,5.0
745,base,350.0,120.0,8.0
745,early_high,350.0,120.0,8.0
745,highband,350.0,120.0,8.0
745,late,350.0,120.0,8.0
745,late_high,350.0,120.0,8.0
745,veryhigh,350.0,120.0,8.0
746,base,250.0,100.0,6.0
746,early_high,250.0,100.0,6.0
746,highband,250.0,100.0,6.0
746,late,250.0,100.0,6.0
746,late_high,250.0,100.0,6.0
746,veryhigh,250.0,100.0,6.0
749,base,250.0,100.0,6.0
749,early_high,250.0,100.0,6.0
749,highband,250.0,100.0,6.0
749,late,250.0,100.0,6.0
749,late_high,250.0,100.0,6.0
749,veryhigh,250.0,100.0,6.0
750,base,350.0,120.0,8.0
750,early_high,350.0,120.0,8.0
750,highband,350.0,120.0,8.0
750,late,350.0,120.0,8.0
750,late_high,350.0,120.0,8.0
750,veryhigh,350.0,120.0,8.0
751,base,150.0,80.0,5.0
751,early_high,150.0,80.0,5.0
751,highband,150.0,80.0,5.0
751,late,150.0,80.0,5.0
751,late_high,150.0,80.0,5.0
751,veryhigh,150.0,80.0,5.0
754,base,250.0,100.0,6.0
754,early_high,250.0,100.0,6.0
754,highband,250.0,100.0,6.0
754,late,250.0,100.0,6.0
754,late_high,250.0,100.0,6.0
754,veryhigh,250.0,100.0,6.0
755,base,350.0,120.0,8.0
755,early_high,350.0,120.0,8.0
755,highband,350.0,120.0,8.0
755,late,350.0,120.0,8.0
755,late_high,350.0,120.0,8.0
755,veryhigh,350.0,120.0,8.0
756,base,150.0,80.0,5.0
756,early_high,150.0,80.0,5.0
756,highband,150.0,80.0,5.0
756,late,150.0,80.0,5.0
756,late_high,150.0,80.0,5.0
756,veryhigh,150.0,80.0,5.0
759,base,350.0,120.0,8.0
759,early_high,350.0,120.0,8.0
759,highband,350.0,120.0,8.0
759,late,350.0,120.0,8.0
759,late_high,350.0,120.0,8.0
759,veryhigh,350.0,120.0,8.0
760,base,350.0,120.0,8.0
760,early_high,350.0,120.0,8.0
760,highband,350.0,120.0,8.0
760,late,350.0,120.0,8.0
760,late_high,350.0,120.0,8.0
760,veryhigh,350.0,120.0,8.0
761,base,350.0,120.0,8.0
761,early_high,350.0,120.0,8.0
761,highband,350.0,120.0,8.0
761,late,350.0,120.0,8.0
761,late_high,350.0,120.0,8.0
761,veryhigh,350.0,120.0,8.0
762,base,350.0,120.0,8.0
762,early_high,350.0,120.0,8.0
762,highband,350.0,120.0,8.0
