run_number,run_dir,summary_path,status,reason,animation_path,context_summary_path,figure_notes_path,width_px,height_px,frame_count,unique_colors_midframe,nonwhite_fraction_midframe
1125,outputs/experiments/1125_coordinate_optimizer_variable_depth_radius_seed365435296162_target1_sources5_txrx60_ringdown050_objectives,outputs/experiments/1125_coordinate_optimizer_variable_depth_radius_seed365435296162_target1_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1125_coordinate_optimizer_variable_depth_radius_seed365435296162_target1_sources5_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1125_coordinate_optimizer_variable_depth_radius_seed365435296162_target1_sources5_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1125_coordinate_optimizer_variable_depth_radius_seed365435296162_target1_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,256,0.6809237255590332
1124,outputs/experiments/1124_coordinate_optimizer_variable_depth_radius_seed365435296162_target2_sources5_txrx60_ringdown050_objectives,outputs/experiments/1124_coordinate_optimizer_variable_depth_radius_seed365435296162_target2_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid wave animation artifacts,outputs/experiments/1124_coordinate_optimizer_variable_depth_radius_seed365435296162_target2_sources5_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1124_coordinate_optimizer_variable_depth_radius_seed365435296162_target2_sources5_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1124_coordinate_optimizer_variable_depth_radius_seed365435296162_target2_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,256,0.6831076103026616
1123,outputs/experiments/1123_coordinate_optimizer_variable_depth_radius_seed365435296162_target0_sources8_txrx45_ringdown050_objectives,outputs/experiments/1123_coordinate_optimizer_variable_depth_radius_seed365435296162_target0_sources8_txrx45_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1123_coordinate_optimizer_variable_depth_radius_seed365435296162_target0_sources8_txrx45_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1123_coordinate_optimizer_variable_depth_radius_seed365435296162_target0_sources8_txrx45_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1123_coordinate_optimizer_variable_depth_radius_seed365435296162_target0_sources8_txrx45_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,256,0.6819060616399408
1122,outputs/experiments/1122_coordinate_optimizer_variable_depth_radius_seed365435296162_target0_sources8_txrx50_ringdown050_objectives,outputs/experiments/1122_coordinate_optimizer_variable_depth_radius_seed365435296162_target0_sources8_txrx50_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1122_coordinate_optimizer_variable_depth_radius_seed365435296162_target0_sources8_txrx50_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1122_coordinate_optimizer_variable_depth_radius_seed365435296162_target0_sources8_txrx50_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1122_coordinate_optimizer_variable_depth_radius_seed365435296162_target0_sources8_txrx50_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,256,0.6820873652790346
1121,outputs/experiments/1121_coordinate_optimizer_variable_depth_radius_seed365435296162_target0_sources8_txrx52p5_ringdown050_objectives,outputs/experiments/1121_coordinate_optimizer_variable_depth_radius_seed365435296162_target0_sources8_txrx52p5_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1121_coordinate_optimizer_variable_depth_radius_seed365435296162_target0_sources8_txrx52p5_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1121_coordinate_optimizer_variable_depth_radius_seed365435296162_target0_sources8_txrx52p5_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1121_coordinate_optimizer_variable_depth_radius_seed365435296162_target0_sources8_txrx52p5_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,255,0.6826609440645309
1120,outputs/experiments/1120_coordinate_optimizer_variable_depth_radius_seed365435296162_target0_sources8_txrx60_ringdown050_objectives,outputs/experiments/1120_coordinate_optimizer_variable_depth_radius_seed365435296162_target0_sources8_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1120_coordinate_optimizer_variable_depth_radius_seed365435296162_target0_sources8_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1120_coordinate_optimizer_variable_depth_radius_seed365435296162_target0_sources8_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1120_coordinate_optimizer_variable_depth_radius_seed365435296162_target0_sources8_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,255,0.6820692349151252
1119,outputs/experiments/1119_gssi51600s_dzt_qc,,skipped,no compatible coordinate optimizer summary,,,,,,,,
1118,outputs/experiments/1118_coordinate_optimizer_variable_depth_radius_seed225851433717_target1_sources5_txrx60_ringdown050_objectives,outputs/experiments/1118_coordinate_optimizer_variable_depth_radius_seed225851433717_target1_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1118_coordinate_optimizer_variable_depth_radius_seed225851433717_target1_sources5_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1118_coordinate_optimizer_variable_depth_radius_seed225851433717_target1_sources5_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1118_coordinate_optimizer_variable_depth_radius_seed225851433717_target1_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,256,0.6807424219199396
1117,outputs/experiments/1117_coordinate_optimizer_variable_depth_radius_seed225851433717_target2_sources5_txrx60_ringdown050_objectives,outputs/experiments/1117_coordinate_optimizer_variable_depth_radius_seed225851433717_target2_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1117_coordinate_optimizer_variable_depth_radius_seed225851433717_target2_sources5_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1117_coordinate_optimizer_variable_depth_radius_seed225851433717_target2_sources5_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1117_coordinate_optimizer_variable_depth_radius_seed225851433717_target2_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,256,0.6829230102337663
1116,outputs/experiments/1116_coordinate_optimizer_variable_depth_radius_seed225851433717_target0_sources8_txrx60_ringdown050_objectives,outputs/experiments/1116_coordinate_optimizer_variable_depth_radius_seed225851433717_target0_sources8_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1116_coordinate_optimizer_variable_depth_radius_seed225851433717_target0_sources8_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1116_coordinate_optimizer_variable_depth_radius_seed225851433717_target0_sources8_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1116_coordinate_optimizer_variable_depth_radius_seed225851433717_target0_sources8_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,255,0.6819143027144451
1115,outputs/experiments/1115_coordinate_optimizer_variable_depth_radius_seed139583862445_target1_sources9_txrx60_ringdown050_objectives,outputs/experiments/1115_coordinate_optimizer_variable_depth_radius_seed139583862445_target1_sources9_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,generated,missing wave animation artifacts,outputs/experiments/1115_coordinate_optimizer_variable_depth_radius_seed139583862445_target1_sources9_txrx60_ringdown050_objectives/figures/geometric_wave_propagation.gif,outputs/experiments/1115_coordinate_optimizer_variable_depth_radius_seed139583862445_target1_sources9_txrx60_ringdown050_objectives/data/geometric_wave_propagation_summary.json,outputs/experiments/1115_coordinate_optimizer_variable_depth_radius_seed139583862445_target1_sources9_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,977,621,36,255,0.6810704166852091
