run_number,run_dir,summary_path,status,reason,figure_path,context_summary_path,figure_notes_path,width_px,height_px,unique_colors,nonwhite_fraction,validation_pixel_stride,validation_sample_pixels
1133,outputs/experiments/1133_coordinate_optimizer_variable_depth_radius_seed1548008755920_target2_sources5_txrx60_ringdown050_objectives,outputs/experiments/1133_coordinate_optimizer_variable_depth_radius_seed1548008755920_target2_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1133_coordinate_optimizer_variable_depth_radius_seed1548008755920_target2_sources5_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1133_coordinate_optimizer_variable_depth_radius_seed1548008755920_target2_sources5_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1133_coordinate_optimizer_variable_depth_radius_seed1548008755920_target2_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1317,0.10724505343406084,5,188363
1132,outputs/experiments/1132_coordinate_optimizer_variable_depth_radius_seed1548008755920_target0_sources8_txrx60_ringdown050_objectives,outputs/experiments/1132_coordinate_optimizer_variable_depth_radius_seed1548008755920_target0_sources8_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1132_coordinate_optimizer_variable_depth_radius_seed1548008755920_target0_sources8_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1132_coordinate_optimizer_variable_depth_radius_seed1548008755920_target0_sources8_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1132_coordinate_optimizer_variable_depth_radius_seed1548008755920_target0_sources8_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1317,0.10735654029719212,5,188363
1131,outputs/experiments/1131_coordinate_optimizer_variable_depth_radius_seed956722026041_target1_sources5_txrx60_ringdown050_objectives,outputs/experiments/1131_coordinate_optimizer_variable_depth_radius_seed956722026041_target1_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1131_coordinate_optimizer_variable_depth_radius_seed956722026041_target1_sources5_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1131_coordinate_optimizer_variable_depth_radius_seed956722026041_target1_sources5_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1131_coordinate_optimizer_variable_depth_radius_seed956722026041_target1_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1347,0.11204960634519519,5,188363
1130,outputs/experiments/1130_coordinate_optimizer_variable_depth_radius_seed956722026041_target2_sources5_txrx60_ringdown050_objectives,outputs/experiments/1130_coordinate_optimizer_variable_depth_radius_seed956722026041_target2_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1130_coordinate_optimizer_variable_depth_radius_seed956722026041_target2_sources5_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1130_coordinate_optimizer_variable_depth_radius_seed956722026041_target2_sources5_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1130_coordinate_optimizer_variable_depth_radius_seed956722026041_target2_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1347,0.11207615083641692,5,188363
1129,outputs/experiments/1129_coordinate_optimizer_variable_depth_radius_seed956722026041_target0_sources8_txrx60_ringdown050_objectives,outputs/experiments/1129_coordinate_optimizer_variable_depth_radius_seed956722026041_target0_sources8_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1129_coordinate_optimizer_variable_depth_radius_seed956722026041_target0_sources8_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1129_coordinate_optimizer_variable_depth_radius_seed956722026041_target0_sources8_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1129_coordinate_optimizer_variable_depth_radius_seed956722026041_target0_sources8_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1347,0.11215578431008214,5,188363
1128,outputs/experiments/1128_coordinate_optimizer_variable_depth_radius_seed591286729879_target1_sources5_txrx60_ringdown050_objectives,outputs/experiments/1128_coordinate_optimizer_variable_depth_radius_seed591286729879_target1_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1128_coordinate_optimizer_variable_depth_radius_seed591286729879_target1_sources5_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1128_coordinate_optimizer_variable_depth_radius_seed591286729879_target1_sources5_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1128_coordinate_optimizer_variable_depth_radius_seed591286729879_target1_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1341,0.11186379490664303,5,188363
1127,outputs/experiments/1127_coordinate_optimizer_variable_depth_radius_seed591286729879_target2_sources5_txrx60_ringdown050_objectives,outputs/experiments/1127_coordinate_optimizer_variable_depth_radius_seed591286729879_target2_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1127_coordinate_optimizer_variable_depth_radius_seed591286729879_target2_sources5_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1127_coordinate_optimizer_variable_depth_radius_seed591286729879_target2_sources5_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1127_coordinate_optimizer_variable_depth_radius_seed591286729879_target2_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1341,0.11189033939786476,5,188363
1126,outputs/experiments/1126_coordinate_optimizer_variable_depth_radius_seed591286729879_target0_sources8_txrx60_ringdown050_objectives,outputs/experiments/1126_coordinate_optimizer_variable_depth_radius_seed591286729879_target0_sources8_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1126_coordinate_optimizer_variable_depth_radius_seed591286729879_target0_sources8_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1126_coordinate_optimizer_variable_depth_radius_seed591286729879_target0_sources8_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1126_coordinate_optimizer_variable_depth_radius_seed591286729879_target0_sources8_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1342,0.11202837075221779,5,188363
1125,outputs/experiments/1125_coordinate_optimizer_variable_depth_radius_seed365435296162_target1_sources5_txrx60_ringdown050_objectives,outputs/experiments/1125_coordinate_optimizer_variable_depth_radius_seed365435296162_target1_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1125_coordinate_optimizer_variable_depth_radius_seed365435296162_target1_sources5_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1125_coordinate_optimizer_variable_depth_radius_seed365435296162_target1_sources5_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1125_coordinate_optimizer_variable_depth_radius_seed365435296162_target1_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1333,0.10960220425455106,5,188363
1124,outputs/experiments/1124_coordinate_optimizer_variable_depth_radius_seed365435296162_target2_sources5_txrx60_ringdown050_objectives,outputs/experiments/1124_coordinate_optimizer_variable_depth_radius_seed365435296162_target2_sources5_txrx60_ringdown050_objectives/data/multi_rebar_coordinate_optimizer_summary.json,skipped,existing valid pulse/noise artifacts,outputs/experiments/1124_coordinate_optimizer_variable_depth_radius_seed365435296162_target2_sources5_txrx60_ringdown050_objectives/figures/source_pulse_noise_context.png,outputs/experiments/1124_coordinate_optimizer_variable_depth_radius_seed365435296162_target2_sources5_txrx60_ringdown050_objectives/data/source_pulse_noise_context_summary.json,outputs/experiments/1124_coordinate_optimizer_variable_depth_radius_seed365435296162_target2_sources5_txrx60_ringdown050_objectives/figures/FIGURE_NOTES.md,2484,1892,1333,0.10963405764401714,5,188363
